"","club","division","saison","HF","match_joue","total_point","J1","J2","J3","J4","J5","J6","J7","J8","J9","J10","J11","J12","J13","J14","J15","J16","J17","J18","J19","J20","J21","J22","J23","J24","J25","J26"
"37","HANDBALL PLAN DE CUQUES","D1","2122","F",26,38,1,2,3,6,7,8,11,12,13,14,15,18,19,20,21,22,23,26,27,28,29,32,33,34,36,38
"38","JDA DIJON HANDBALL","D1","2122","F",26,47,2,5,6,7,10,13,16,17,20,21,22,23,24,27,30,31,32,33,34,37,38,39,42,43,44,47
"39","LES NEPTUNES DE NANTES","D1","2122","F",26,58,3,6,7,8,11,12,13,16,19,22,25,26,27,30,33,36,39,40,43,44,47,48,51,54,55,58
"40","MERIGNAC HANDBALL","D1","2122","F",26,42,2,3,5,8,9,11,14,15,16,19,22,23,24,25,26,27,28,29,30,33,34,37,38,40,41,42
"41","METZ HANDBALL","D1","2122","F",26,78,3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57,60,63,66,69,72,75,78
"42","OGC NICE COTE D'AZUR HANDBALL","D1","2122","F",26,51,1,2,4,5,6,7,10,13,15,18,21,22,25,26,27,30,31,34,37,40,43,44,45,46,49,51
"43","PARIS","D1","2122","F",26,63,3,6,9,12,15,16,17,20,23,25,26,29,32,35,38,39,42,45,46,49,52,55,58,61,62,63
"44","TOULON METROPOLE VAR HANDBALL","D1","2122","F",26,42,3,4,7,8,9,10,11,12,13,14,17,18,19,22,23,26,29,30,31,32,33,34,37,40,41,42
"45","ACHENHEIM TRUCHTERSHEIM","D2","2122","F",26,53,3,6,9,10,13,16,17,20,21,23,24,25,28,31,32,35,36,37,38,39,42,43,46,49,50,53
"46","AS CANNES-MANDELIEU HANDBALL","D2","2122","F",26,26,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
"47","ASUL VAULX EN VELIN","D2","2122","F",26,48,1,4,7,8,9,12,15,16,19,22,23,24,25,26,29,32,34,35,36,38,41,44,45,46,47,48
"48","BOUILLARGUES HANDBALL NIMES METROPOLE","D2","2122","F",26,59,3,6,7,8,11,14,17,18,20,21,24,27,28,31,34,35,38,41,42,45,47,50,52,53,56,59
"49","CLUB ATHLETIQUE BEGLAIS","D2","2122","F",26,52,3,6,7,10,13,16,17,18,20,22,25,28,29,30,31,32,35,36,39,40,41,42,43,46,49,52
"50","HANDBALL CLERMONT AUVERGNE METROPOLE","D2","2122","F",26,51,1,2,3,6,7,10,11,13,16,17,20,23,26,27,30,31,34,35,38,39,42,43,46,49,50,51
"51","HAVRE ATHLETIC CLUB HB","D2","2122","F",26,58,3,4,7,10,11,12,13,15,18,19,22,25,26,29,31,34,35,38,41,44,45,48,51,52,55,58
"52","HB OCTEVILLE SUR MER","D2","2122","F",26,39,1,2,3,6,7,8,9,10,11,12,15,18,19,22,23,24,26,29,30,31,32,33,34,35,38,39
"53","HBC AULNOYE AYMERIES","D2","2122","F",26,66,3,6,9,10,13,16,19,22,25,26,27,28,31,34,36,39,42,45,46,49,51,54,57,60,63,66
"54","NOISY LE GRAND HANDBALL","D2","2122","F",26,55,3,4,7,10,11,12,15,18,21,24,25,26,29,31,32,35,36,39,42,45,46,49,50,53,54,55
"55","RENNES METROPOLE HB","D2","2122","F",26,44,1,4,5,6,7,8,9,12,13,16,17,18,19,21,24,25,26,27,30,32,35,38,41,42,43,44
"56","ROCHECHOUART-ST-JUNIEN HANDBALL","D2","2122","F",26,38,1,2,3,4,7,8,11,12,13,16,19,20,23,24,25,26,27,28,29,30,31,32,35,36,37,38
"57","ST AMAND HANDBALL - PORTE DU HAINAUT","D2","2122","F",26,71,3,6,9,12,15,16,19,22,25,28,29,32,35,38,41,44,47,50,53,56,59,60,62,65,68,71
"58","STELLA SAINT-MAUR HANDBALL","D2","2122","F",26,68,1,2,5,8,11,14,17,20,21,24,27,30,33,34,37,40,43,46,49,52,55,58,59,62,65,68
"59","BREST BRETAGNE HANDBALL","D1","2223","F",24,62,3,6,9,12,15,18,21,22,25,25,28,31,32,35,38,39,42,45,46,47,50,53,56,59,59,62
"60","CELLES SUR BELLE MELLOIS EN POITOU","D1","2223","F",24,38,3,6,9,10,10,11,12,13,16,17,18,19,20,22,25,25,26,27,28,31,32,34,35,36,37,38
"61","CHAMBRAY TOURAINE HANDBALL","D1","2223","F",24,52,3,6,7,7,10,11,14,17,18,19,22,25,28,29,32,35,36,39,40,41,44,44,47,48,51,52
"62","ES BESANCON FEMININ","D1","2223","F",24,52,3,4,6,9,10,11,12,13,13,16,19,22,24,25,26,28,28,29,32,35,38,41,44,47,50,52
"63","HANDBALL PLAN DE CUQUES","D1","2223","F",24,40,3,4,7,8,9,12,13,14,15,18,18,19,20,21,22,23,24,25,28,29,32,35,36,39,40,40
"64","JDA DIJON HANDBALL","D1","2223","F",24,52,1,2,2,5,8,9,12,15,18,19,20,21,24,27,28,31,34,37,38,41,44,45,45,48,49,52
"65","LES NEPTUNES DE NANTES","D1","2223","F",24,56,1,4,7,10,13,16,16,19,20,23,24,25,27,30,33,36,39,40,43,46,46,48,51,52,53,56
