code_rencontre,club_recevant,coach_recevant,club_visiteur,coach_visiteur,journee,score_final_r,score_final_v,fichier,score_recevant_min,score_visiteur_min,if (...) NULL,equipe,statut_min,statut_final,effet_positif,TM_derniere_min,TM_derniere_min_adverse,HF,DM,DM_adverse,division,saison,points_recevant,points_visiteur,diff_point,diff_point_norm
PADEKQA,SAMBRE AVESNOIS HANDBALL,PETIT clement,ACHENHEIM TRUCHTERSHEIM,DURAFFOURG aurelien,J1,27,28,rencontre_D2F_1_2021_708.pdf,15,15,15,R,0,-1,0,1,1,F,1,1,D2,2021,0,0,0,0
PADEKQD,HB OCTEVILLE SUR MER,BOIVIN gautier,SAMBRE AVESNOIS HANDBALL,PETIT clement,J2,28,23,rencontre_D2F_1_2021_711.pdf,11,9,9,R,1,1,1,1,1,F,1,1,D2,2021,1,1,0,0
PADEKQE,ACHENHEIM TRUCHTERSHEIM,DURAFFOURG aurelien,NOISY LE GRAND HANDBALL,GHERRAM farid,J2,25,29,rencontre_D2F_1_2021_712.pdf,13,14,14,R,-1,-1,0,0,0,F,1,1,D2,2021,3,1,2,1.3228756555323
PADEKQF,AUNIS HB LA ROCHELLE PERIGNY,GRAMMONT laurent,STELLA SPORTS SAINT MAUR HANDBALL,SAMSON remi,J3,27,31,rencontre_D2F_1_2021_713.pdf,12,11,11,R,1,-1,0,0,1,F,1,1,D2,2021,2,6,-4,-1.0434983894999
PADEKQG,SAMBRE AVESNOIS HANDBALL,PETIT clement,HAVRE ATHLETIC CLUB HB,PELLAN stephane,J3,29,28,rencontre_D2F_1_2021_714.pdf,14,12,12,R,1,1,1,1,1,F,1,1,D2,2021,2,6,-4,-1.0434983894999
PADEKQI,NOISY LE GRAND HANDBALL,GHERRAM farid,HB OCTEVILLE SUR MER,BOIVIN gautier,J3,26,30,rencontre_D2F_1_2021_716.pdf,12,14,14,R,-1,-1,0,1,1,F,1,1,D2,2021,4,4,0,0
PADEKRE,SAINT GREGOIRE RENNES METROPOLE HB,MANTES olivier,STELLA SPORTS SAINT MAUR HANDBALL,SAMSON remi,J9,26,25,rencontre_D2F_1_2021_738.pdf,11,13,13,R,-1,1,1,0,1,F,1,1,D2,2021,14,21,-7,-0.800760762397139
PADEKRF,SAMBRE AVESNOIS HANDBALL,PETIT clement,HB OCTEVILLE SUR MER,BOIVIN gautier,J9,25,21,rencontre_D2F_1_2021_739.pdf,10,10,10,R,0,1,1,1,1,F,0,1,D2,2021,18,16,2,0.562696751954747
PADEKRI,HAVRE ATHLETIC CLUB HB,PELLAN stephane,SAMBRE AVESNOIS HANDBALL,PETIT clement,J10,28,26,rencontre_D2F_1_2021_742.pdf,14,11,11,R,1,1,1,1,1,F,1,1,D2,2021,23,21,2,0
PADEKRK,HB OCTEVILLE SUR MER,BOIVIN gautier,NOISY LE GRAND HANDBALL,GHERRAM farid,J10,24,28,rencontre_D2F_1_2021_744.pdf,12,13,13,R,-1,-1,0,1,1,F,1,1,D2,2021,17,13,4,0.285298701078728
PADEKRL,AUNIS HB LA ROCHELLE PERIGNY,GRAMMONT laurent,SAMBRE AVESNOIS HANDBALL,PETIT clement,J11,27,22,rencontre_D2F_1_2021_745.pdf,13,11,11,R,1,1,1,1,1,F,1,1,D2,2021,12,22,-10,-0.624758017671771
PADEKRQ,SAMBRE AVESNOIS HANDBALL,PETIT clement,NOISY LE GRAND HANDBALL,GHERRAM farid,J12,25,24,rencontre_D2F_1_2021_750.pdf,13,10,10,R,1,1,1,1,1,F,1,1,D2,2021,23,19,4,0.033259505261887
PADEKRR,HB OCTEVILLE SUR MER,BOIVIN gautier,STELLA SPORTS SAINT MAUR HANDBALL,SAMSON remi,J12,22,25,rencontre_D2F_1_2021_751.pdf,10,11,11,R,-1,-1,0,1,1,F,1,1,D2,2021,21,28,-7,-1.43015872626114
PADEKRS,HAVRE ATHLETIC CLUB HB,PELLAN stephane,SAINT GREGOIRE RENNES METROPOLE HB,MANTES olivier,J12,27,28,rencontre_D2F_1_2021_752.pdf,14,15,15,R,-1,-1,0,1,1,F,1,1,D2,2021,27,19,8,0.565411589452078
PADEKRT,AUNIS HB LA ROCHELLE PERIGNY,GRAMMONT laurent,NOISY LE GRAND HANDBALL,GHERRAM farid,J13,26,39,rencontre_D2F_1_2021_753.pdf,15,18,18,R,-1,-1,0,0,1,F,0,1,D2,2021,16,20,-4,-0.80422235230271
PADEKRX,HB OCTEVILLE SUR MER,BOIVIN gautier,AUNIS HB LA ROCHELLE PERIGNY,GRAMMONT laurent,J14,38,21,rencontre_D2F_1_2021_757.pdf,13,15,15,R,-1,1,1,0,1,F,1,1,D2,2021,25,17,8,0.751087041922649
PADEKRZ,HAVRE ATHLETIC CLUB HB,PELLAN stephane,ACHENHEIM TRUCHTERSHEIM,DURAFFOURG aurelien,J14,30,29,rencontre_D2F_1_2021_759.pdf,15,18,18,R,-1,1,1,1,1,F,1,1,D2,2021,31,28,3,0.255086165181277
PADEKSA,SAMBRE AVESNOIS HANDBALL,PETIT clement,STELLA SPORTS SAINT MAUR HANDBALL,SAMSON remi,J14,28,25,rencontre_D2F_1_2021_760.pdf,15,12,12,R,1,1,1,1,1,F,1,1,D2,2021,28,32,-4,-0.439315062256644
PADEKSC,AS CANNES-MANDELIEU HANDBALL,POPOVIC jelena,CLUB ATHLETIQUE BEGLAIS,LUBETH jean,J1,26,29,rencontre_D2F_2_2021_762.pdf,11,13,13,R,-1,-1,0,1,1,F,0,1,D2,2021,0,0,0,0
PADEKSL,ROCHECHOUART-ST-JUNIEN HANDBALL 87,PAQUIER nicolas,CELLES SUR BELLE MELLOIS EN POITOU,VINCENT thierry,J3,24,35,rencontre_D2F_2_2021_771.pdf,16,13,13,R,1,-1,0,1,1,F,1,1,D2,2021,NA,6,NA,NA
PADEKSO,CELLES SUR BELLE MELLOIS EN POITOU,VINCENT thierry,LE POUZIN HB,BOYRON mathieu,J4,32,19,rencontre_D2F_2_2021_774.pdf,15,13,13,R,1,1,1,1,1,F,1,0,D2,2021,9,3,6,1.84805913883868
PADEKTD,ASUL VAULX EN VELIN,SEUTCHIE ludovic,ROCHECHOUART-ST-JUNIEN HANDBALL,PAQUIER nicolas,J8,27,25,rencontre_D2F_2_2021_789.pdf,12,13,13,R,-1,1,1,1,1,F,0,0,D2,2021,15,13,2,0.239295117575675
PADEKTE,CLUB ATHLETIQUE BEGLAIS,LUBETH jean,AS CANNES-MANDELIEU HANDBALL,SEDANO stephane,J8,33,26,rencontre_D2F_2_2021_790.pdf,12,11,11,R,1,1,1,1,1,F,1,1,D2,2021,13,11,2,0.239295117575675
PADEKTJ,BOUILLARGUES HANDBALL NIMES METROPOLE,CENDRE delphine,CLUB ATHLETIQUE BEGLAIS,LUBETH jean,J9,26,26,rencontre_D2F_2_2021_795.pdf,14,13,13,R,1,0,0,1,1,F,1,1,D2,2021,18,16,2,0.562696751954747
PADEKTM,AS CANNES-MANDELIEU HANDBALL,SEDANO stephane,BOUILLARGUES HANDBALL NIMES METROPOLE,CENDRE delphine,J10,27,35,rencontre_D2F_2_2021_798.pdf,19,18,18,R,1,-1,0,1,1,F,1,1,D2,2021,15,20,-5,-0.998545453775547
PADEKTP,ASUL VAULX EN VELIN,SEUTCHIE ludovic,BOUILLARGUES HANDBALL NIMES METROPOLE,CENDRE delphine,J11,23,25,rencontre_D2F_2_2021_801.pdf,8,9,9,R,-1,-1,0,1,1,F,1,1,D2,2021,22,23,-1,0.397573283972945
PADEKTQ,LE POUZIN HB,BOYRON mathieu,CELLES SUR BELLE MELLOIS EN POITOU,VINCENT thierry,J11,24,36,rencontre_D2F_2_2021_802.pdf,15,15,15,R,0,-1,0,1,1,F,1,1,D2,2021,10,30,-20,-1.7606816861659
PADEKTR,HANDBALL CLERMONT AUVERGNE METROPOLE,KABOUSS jamal,AS CANNES-MANDELIEU HANDBALL,SEDANO stephane,J11,40,33,rencontre_D2F_2_2021_803.pdf,17,17,17,R,0,1,1,1,1,F,1,1,D2,2021,18,16,2,0.738350384521184
PADEKTW,AS CANNES-MANDELIEU HANDBALL,SEDANO stephane,ROCHECHOUART-ST-JUNIEN HANDBALL,PAQUIER nicolas,J12,26,20,rencontre_D2F_2_2021_808.pdf,12,11,11,R,1,1,1,1,1,F,1,1,D2,2021,17,19,-2,-0.7649686210234
PADEKTX,ASUL VAULX EN VELIN,SEUTCHIE ludovic,HANDBALL CLERMONT AUVERGNE METROPOLE,KABOUSS jamal,J13,32,29,rencontre_D2F_2_2021_809.pdf,16,15,15,R,1,1,1,1,1,F,1,1,D2,2021,24,23,1,0.0236535985971385
PADEKUB,CLUB ATHLETIQUE BEGLAIS,CASARAMONA julien,ASUL VAULX EN VELIN,SEUTCHIE ludovic,J14,22,22,rencontre_D2F_2_2021_813.pdf,14,11,11,R,1,0,0,1,1,F,1,1,D2,2021,26,27,-1,-0.141714536211821
PADEKUC,HANDBALL CLERMONT AUVERGNE METROPOLE,DIENNA jean,ROCHECHOUART-ST-JUNIEN HANDBALL,PAQUIER nicolas,J14,33,31,rencontre_D2F_2_2021_814.pdf,15,13,13,R,1,1,1,1,1,F,1,0,D2,2021,24,23,1,0.0566858144847283
PADEKUE,BOUILLARGUES HANDBALL NIMES METROPOLE,CENDRE delphine,LE POUZIN HB,BOYRON mathieu,J14,38,32,rencontre_D2F_2_2021_816.pdf,20,17,17,R,1,1,1,1,1,F,1,1,D2,2021,29,15,14,1.3462880940123
PADFCSB,CHAMBRAY TOURAINE HANDBALL,DELARUE jerome,JDA DIJON HANDBALL,MAZEL christophe,J1,27,27,rencontre_D1F_2021_7919.pdf,12,11,11,R,1,0,0,0,1,F,1,1,D1,2021,0,0,0,0
PADFCSE,PARIS,MESSAOUDI yacine,HBC ST AMAND LES EAUX PORTE DU HAINAUT,SAUVAL florence,J2,32,17,rencontre_D1F_2021_7922.pdf,12,10,10,R,1,1,1,1,1,F,1,1,D1,2021,1,NA,NA,NA
PADFCSG,FLEURY LOIRET HANDBALL,CASSAN christophe,TOULON,PUIGSEGUR laurent,J2,28,22,rencontre_D1F_2021_7924.pdf,10,9,9,R,1,1,1,1,1,F,1,1,D1,2021,3,1,2,1.02062072615966
PADFCSJ,OGC NICE COTE D'AZUR HANDBALL,KOLEV marjan,JDA DIJON HANDBALL,MAZEL christophe,J2,25,24,rencontre_D1F_2021_7927.pdf,13,13,13,R,0,1,1,1,1,F,1,1,D1,2021,1,2,-1,-0.816496580927726
PADFCSL,PARIS,MESSAOUDI yacine,MERIGNAC HANDBALL,CHAGNARD christophe,J3,28,22,rencontre_D1F_2021_7929.pdf,15,15,15,R,0,1,1,1,1,F,1,1,D1,2021,4,2,2,0.903696114115064
PADFCTB,MERIGNAC HANDBALL,CHAGNARD christophe,OGC NICE COTE D'AZUR HANDBALL,KOLEV marjan,J5,24,21,rencontre_D1F_2021_7945.pdf,11,10,10,R,1,1,1,0,0,F,1,1,D1,2021,4,6,-2,-0.67806350362081
PADFCTR,MERIGNAC HANDBALL,CHAGNARD christophe,ES BESANCON FEMININ,TERVEL raphaelle,J7,24,29,rencontre_D1F_2021_7961.pdf,12,11,11,R,1,-1,0,1,1,F,1,1,D1,2021,8,14,-6,-1.43086593591613
PADFCUD,OGC NICE COTE D'AZUR HANDBALL,KOLEV marjan,ES BESANCON FEMININ,TERVEL raphaelle,J9,31,25,rencontre_D1F_2021_7973.pdf,12,11,11,R,1,1,1,1,1,F,1,1,D1,2021,14,18,-4,0.0423789689763006
PADFCUH,MERIGNAC HANDBALL,CHAGNARD christophe,HBC ST AMAND LES EAUX PORTE DU HAINAUT,SAUVAL florence,J9,26,26,rencontre_D1F_2021_7977.pdf,12,14,14,R,-1,0,1,1,1,F,1,1,D1,2021,10,NA,NA,NA
PADFCUI,JDA DIJON HANDBALL,MAZEL christophe,PARIS,MESSAOUDI yacine,J10,21,21,rencontre_D1F_2021_7978.pdf,11,12,12,R,-1,0,1,0,0,F,1,1,D1,2021,10,21,-11,-1.62221421130763
PADFCUL,FLEURY LOIRET HANDBALL,CASSAN christophe,OGC NICE COTE D'AZUR HANDBALL,KOLEV marjan,J10,25,30,rencontre_D1F_2021_7981.pdf,13,11,11,R,1,-1,0,0,0,F,1,1,D1,2021,17,17,0,0
PADFCUR,FLEURY LOIRET HANDBALL,CASSAN christophe,NANTES ATLANTIQUE HANDBALL,SAURINA guillaume,J11,24,36,rencontre_D1F_2021_7987.pdf,13,16,16,R,-1,-1,0,0,0,F,1,1,D1,2021,18,22,-4,-0.875765563786594
PADFCUU,MERIGNAC HANDBALL,CHAGNARD christophe,HANDBALL PLAN DE CUQUES,SPINCER angelique,J11,29,19,rencontre_D1F_2021_7990.pdf,12,10,10,R,1,1,1,1,1,F,0,1,D1,2021,13,14,-1,-0.509166025457322
PADFCUV,CHAMBRAY TOURAINE HANDBALL,DELARUE jerome,TOULON,PUIGSEGUR laurent,J11,27,26,rencontre_D1F_2021_7991.pdf,13,16,16,R,-1,1,1,1,1,F,1,1,D1,2021,21,18,3,-0.0203666410182929
PADFCVD,FLEURY LOIRET HANDBALL,CASSAN christophe,PARIS,MESSAOUDI yacine,J13,23,25,rencontre_D1F_2021_7999.pdf,13,13,13,R,0,-1,0,0,0,F,1,0,D1,2021,20,27,-7,-0.596745423496216
PADFCVE,BOURG DE PEAGE DROME HANDBALL,COMTE camille,BREST BRETAGNE HANDBALL,BEZEAU laurent,J13,26,29,rencontre_D1F_2021_8000.pdf,11,13,13,R,-1,-1,0,1,0,F,1,1,D1,2021,25,34,-9,-0.845389349952973
PADFCVG,MERIGNAC HANDBALL,CHAGNARD christophe,JDA DIJON HANDBALL,MAZEL christophe,J13,23,26,rencontre_D1F_2021_8002.pdf,8,11,11,R,-1,-1,0,0,1,F,1,1,D1,2021,17,15,2,0.522152245559189
PADFCVI,CHAMBRAY TOURAINE HANDBALL,DELARUE jerome,METZ HANDBALL,MAYONNADE emmanuel,J13,23,29,rencontre_D1F_2021_8004.pdf,14,16,16,R,-1,-1,0,1,0,F,1,1,D1,2021,27,34,-7,-0.596745423496216
PADFGXC,BOURG DE PEAGE DROME HANDBALL,COMTE camille,CHAMBRAY TOURAINE HANDBALL,DELARUE jerome,J3,20,29,rencontre_D1F_2021_7931.pdf,11,12,12,R,-1,-1,0,1,1,F,1,1,D1,2021,6,3,3,1.29099444873581
PADFQRL,CESSON RENNES METROPOLE HB,LERICHE sebastien,SAINT RAPHAEL VHB,FORTUNEANU dan,J1,27,27,rencontre_D1H_2021_351.pdf,13,12,12,R,1,0,0,1,1,H,1,1,D1,2021,0,NA,NA,NA
PADFQRS,PARIS SAINT-GERMAIN HANDBALL,GUTIERREZ raul,PROVENCE AIX UNIVERSITE CLUB HANDBALL,ANTI thierry,J1,34,31,rencontre_D1H_2021_358.pdf,14,12,12,R,1,1,1,1,1,H,1,0,D1,2021,0,0,0,0
PADFQSA,TREMBLAY HANDBALL,SILVA joel,CHAMBERY SAVOIE HB,MATHE erick,J2,24,27,rencontre_D1H_2021_366.pdf,13,14,14,R,-1,-1,0,1,1,H,1,1,D1,2021,1,1,0,0
PADFQSF,UNION SPORTIVE IVRY HANDBALL,QUINTALLET sebastien,DUNKERQUE HANDBALL GRAND LITTORAL,CAZAL patrick,J3,20,23,rencontre_D1H_2021_371.pdf,6,8,8,R,-1,-1,0,1,1,H,1,1,D1,2021,3,3,0,0
PADFQSG,HBC NANTES,RODRIGUEZ alberto,FENIX TOULOUSE HANDBALL,GARDENT philippe,J3,31,28,rencontre_D1H_2021_372.pdf,14,12,12,R,1,1,1,1,1,H,1,1,D1,2021,6,4,2,0.613571991077896
PADFQSH,USAM NIMES GARD,MAURICE franck,MONTPELLIER HANDBALL,CANAYER patrice,J3,24,25,rencontre_D1H_2021_373.pdf,11,14,14,R,-1,-1,0,1,1,H,1,1,D1,2021,6,6,0,0
PADFQSL,DUNKERQUE HANDBALL GRAND LITTORAL,CAZAL patrick,SAINT RAPHAEL VHB,FORTUNEANU dan,J4,24,25,rencontre_D1H_2021_377.pdf,13,11,11,R,1,-1,0,1,1,H,1,1,D1,2021,6,NA,NA,NA
PADFQSM,LIMOGES HAND,HAYATOUNE tarik,ISTRES PROVENCE HANDBALL,DEROT gilles,J4,27,27,rencontre_D1H_2021_378.pdf,12,13,13,R,-1,0,1,1,1,H,1,1,D1,2021,NA,6,NA,NA
PADFQSN,MONTPELLIER HANDBALL,CANAYER patrice,HBC NANTES,RODRIGUEZ alberto,J4,27,27,rencontre_D1H_2021_379.pdf,14,12,12,R,1,0,0,1,1,H,0,1,D1,2021,9,9,0,0
PADFQSP,PARIS SAINT-GERMAIN HANDBALL,GUTIERREZ raul,FENIX TOULOUSE HANDBALL,GARDENT philippe,J4,41,35,rencontre_D1H_2021_381.pdf,20,18,18,R,1,1,1,1,1,H,1,1,D1,2021,9,5,4,1.33155910322827
PADFQSR,CESSON RENNES METROPOLE HB,LERICHE sebastien,LIMOGES HAND,HAYATOUNE tarik,J5,26,30,rencontre_D1H_2021_383.pdf,13,10,10,R,1,-1,0,0,0,H,1,1,D1,2021,8,NA,NA,NA
PADFQSX,SAINT RAPHAEL VHB,FORTUNEANU dan,C'CHARTRES METROPOLE HANDBALL,SALAET toni,J5,33,34,rencontre_D1H_2021_389.pdf,14,15,15,R,-1,-1,0,1,1,H,1,1,D1,2021,NA,3,NA,NA
PADFQSY,FENIX TOULOUSE HANDBALL,GARDENT philippe,DUNKERQUE HANDBALL GRAND LITTORAL,CAZAL patrick,J5,27,30,rencontre_D1H_2021_390.pdf,15,15,15,R,0,-1,0,1,1,H,1,1,D1,2021,6,7,-1,0
PADFQTA,C'CHARTRES METROPOLE HANDBALL,SALAET toni,FENIX TOULOUSE HANDBALL,GARDENT philippe,J6,25,27,rencontre_D1H_2021_392.pdf,14,16,16,R,-1,-1,0,1,1,H,1,1,D1,2021,6,7,-1,-0.0395408291925355
PADFQTC,DUNKERQUE HANDBALL GRAND LITTORAL,CAZAL patrick,CESSON RENNES METROPOLE HB,LERICHE sebastien,J6,32,29,rencontre_D1H_2021_394.pdf,16,15,15,R,1,1,1,1,1,H,1,1,D1,2021,10,9,1,0.434949121117891
PADFQTD,LIMOGES HAND,HAYATOUNE tarik,HBC NANTES,RODRIGUEZ alberto,J6,32,31,rencontre_D1H_2021_395.pdf,13,15,15,R,-1,1,1,1,1,H,1,1,D1,2021,NA,14,NA,NA
PADFQTV,USAM NIMES GARD,MAURICE franck,PARIS SAINT-GERMAIN HANDBALL,GUTIERREZ raul,J8,27,31,rencontre_D1H_2021_413.pdf,16,15,15,R,1,-1,0,1,1,H,1,1,D1,2021,16,21,-5,-0.955236474666137
PADFQUD,FENIX TOULOUSE HANDBALL,GARDENT philippe,US CRETEIL HANDBALL,MONTORIER pierre,J9,30,29,rencontre_D1H_2021_421.pdf,14,12,12,R,1,1,1,1,1,H,1,1,D1,2021,14,10,4,0.699378606180235
PADFQUK,HBC NANTES,RODRIGUEZ alberto,CESSON RENNES METROPOLE HB,LERICHE sebastien,J10,41,21,rencontre_D1H_2021_428.pdf,14,11,11,R,1,1,1,0,1,H,0,1,D1,2021,21,14,7,0.658249262793544
PADFQUT,SAINT RAPHAEL VHB,FORTUNEANU dan,LIMOGES HAND,HAYATOUNE tarik,J11,35,30,rencontre_D1H_2021_437.pdf,15,15,15,R,0,1,1,1,1,H,1,0,D1,2021,NA,NA,NA,NA
PADFQUU,TREMBLAY HANDBALL,SILVA joel,C'CHARTRES METROPOLE HANDBALL,SALAET toni,J11,23,28,rencontre_D1H_2021_438.pdf,10,11,11,R,-1,-1,0,1,0,H,1,1,D1,2021,11,15,-4,-0.750939261482638
PADFQUW,C'CHARTRES METROPOLE HANDBALL,SALAET toni,DUNKERQUE HANDBALL GRAND LITTORAL,CAZAL patrick,J12,27,23,rencontre_D1H_2021_440.pdf,13,13,13,R,0,1,1,1,1,H,1,1,D1,2021,18,20,-2,0.28407443957531
PADFQUZ,HBC NANTES,RODRIGUEZ alberto,PARIS SAINT-GERMAIN HANDBALL,GUTIERREZ raul,J12,24,26,rencontre_D1H_2021_443.pdf,11,12,12,R,-1,-1,0,1,1,H,1,1,D1,2021,27,33,-6,-0.202910313982364
PADFQVA,USAM NIMES GARD,MAURICE franck,SAINT RAPHAEL VHB,FORTUNEANU dan,J12,30,29,rencontre_D1H_2021_444.pdf,14,14,14,R,0,1,1,1,1,H,1,1,D1,2021,24,NA,NA,NA
PADFQVD,PROVENCE AIX UNIVERSITE CLUB HANDBALL,ANTI thierry,HBC NANTES,RODRIGUEZ alberto,J13,31,29,rencontre_D1H_2021_447.pdf,14,12,12,R,1,1,1,1,1,H,1,1,D1,2021,32,28,4,1.47709789175199
PADFQVF,C'CHARTRES METROPOLE HANDBALL,SALAET toni,LIMOGES HAND,HAYATOUNE tarik,J13,32,35,rencontre_D1H_2021_449.pdf,6,8,8,R,-1,-1,0,1,1,H,1,1,D1,2021,21,NA,NA,NA
PADFQVI,MONTPELLIER HANDBALL,CANAYER patrice,PARIS SAINT-GERMAIN HANDBALL,GUTIERREZ raul,J13,32,36,rencontre_D1H_2021_452.pdf,18,16,16,R,1,-1,0,1,1,H,1,1,D1,2021,34,36,-2,0
PADFQVT,CESSON RENNES METROPOLE HB,LERICHE sebastien,UNION SPORTIVE IVRY HANDBALL,QUINTALLET sebastien,J15,28,32,rencontre_D1H_2021_463.pdf,16,17,17,R,-1,-1,0,1,1,H,1,1,D1,2021,23,19,4,0.305995030681052
PADFQVV,C'CHARTRES METROPOLE HANDBALL,SALAET toni,USAM NIMES GARD,MAURICE franck,J15,27,35,rencontre_D1H_2021_465.pdf,13,16,16,R,-1,-1,0,1,1,H,1,1,D1,2021,25,33,-8,-0.795587079770736
PADFQVW,DUNKERQUE HANDBALL GRAND LITTORAL,CAZAL patrick,TREMBLAY HANDBALL,SILVA joel,J15,25,24,rencontre_D1H_2021_466.pdf,12,11,11,R,1,1,1,1,1,H,1,1,D1,2021,22,17,5,0.397793539885368
PADFQVX,LIMOGES HAND,HAYATOUNE tarik,PROVENCE AIX UNIVERSITE CLUB HANDBALL,ANTI thierry,J15,31,31,rencontre_D1H_2021_467.pdf,17,15,15,R,1,0,0,0,0,H,0,1,D1,2021,NA,38,NA,NA
PADFQVY,MONTPELLIER HANDBALL,CANAYER patrice,FENIX TOULOUSE HANDBALL,GARDENT philippe,J15,34,31,rencontre_D1H_2021_468.pdf,16,16,16,R,0,1,1,1,1,H,1,1,D1,2021,38,27,11,0.948584595111262
PADFQWB,PROVENCE AIX UNIVERSITE CLUB HANDBALL,ANTI thierry,CESSON RENNES METROPOLE HB,LERICHE sebastien,J16,33,28,rencontre_D1H_2021_471.pdf,15,12,12,R,1,1,1,1,1,H,1,1,D1,2021,40,24,16,0.770660090395287
PADFQWC,ISTRES PROVENCE HANDBALL,DEROT gilles,DUNKERQUE HANDBALL GRAND LITTORAL,CAZAL patrick,J16,29,28,rencontre_D1H_2021_472.pdf,17,17,17,R,0,1,1,1,1,H,1,1,D1,2021,22,25,-3,-0.521328884679165
PADFQWD,UNION SPORTIVE IVRY HANDBALL,QUINTALLET sebastien,C'CHARTRES METROPOLE HANDBALL,SALAET toni,J16,31,23,rencontre_D1H_2021_473.pdf,16,13,13,R,1,1,1,1,1,H,0,1,D1,2021,22,26,-4,-0.589328304419926
PADFQWE,USAM NIMES GARD,MAURICE franck,CHAMBERY SAVOIE HB,MATHE erick,J16,28,32,rencontre_D1H_2021_474.pdf,12,13,13,R,-1,-1,0,1,0,H,1,1,D1,2021,36,27,9,0.294664152209963
PADFQWG,SAINT RAPHAEL VHB,FORTUNEANU dan,MONTPELLIER HANDBALL,CANAYER patrice,J16,29,30,rencontre_D1H_2021_476.pdf,18,16,16,R,1,-1,0,1,1,H,1,1,D1,2021,NA,41,NA,NA
PADFQWP,MONTPELLIER HANDBALL,CANAYER patrice,UNION SPORTIVE IVRY HANDBALL,QUINTALLET sebastien,J17,34,26,rencontre_D1H_2021_485.pdf,14,13,13,R,1,1,1,1,1,H,0,1,D1,2021,44,25,19,1.38438661366265
PADFQWQ,HBC NANTES,RODRIGUEZ alberto,PROVENCE AIX UNIVERSITE CLUB HANDBALL,ANTI thierry,J17,23,23,rencontre_D1H_2021_486.pdf,12,9,9,R,1,0,0,1,1,H,1,1,D1,2021,36,43,-7,-0.302834571738705
PADFQWR,PROVENCE AIX UNIVERSITE CLUB HANDBALL,ANTI thierry,C'CHARTRES METROPOLE HANDBALL,SALAET toni,J18,24,25,rencontre_D1H_2021_487.pdf,9,10,10,R,-1,-1,0,1,1,H,0,1,D1,2021,45,28,17,0.727977037429958
PADFQWW,SAINT RAPHAEL VHB,FORTUNEANU dan,CESSON RENNES METROPOLE HB,LERICHE sebastien,J18,27,25,rencontre_D1H_2021_492.pdf,8,10,10,R,-1,1,1,0,1,H,1,1,D1,2021,NA,26,NA,NA
PADFQWX,FENIX TOULOUSE HANDBALL,GARDENT philippe,CHAMBERY SAVOIE HB,MATHE erick,J18,25,26,rencontre_D1H_2021_493.pdf,12,14,14,R,-1,-1,0,1,1,H,1,1,D1,2021,29,31,-2,-0.296583237471464
PADFQWY,TREMBLAY HANDBALL,SILVA joel,LIMOGES HAND,HAYATOUNE tarik,J18,30,29,rencontre_D1H_2021_494.pdf,17,14,14,R,1,1,1,1,1,H,1,1,D1,2021,22,NA,NA,NA
PADFQWZ,PROVENCE AIX UNIVERSITE CLUB HANDBALL,ANTI thierry,SAINT RAPHAEL VHB,FORTUNEANU dan,J19,26,28,rencontre_D1H_2021_495.pdf,11,14,14,R,-1,-1,0,1,1,H,1,1,D1,2021,46,NA,NA,NA
PADFQXB,C'CHARTRES METROPOLE HANDBALL,SALAET toni,ISTRES PROVENCE HANDBALL,DEROT gilles,J19,29,28,rencontre_D1H_2021_497.pdf,14,14,14,R,0,1,1,1,1,H,1,1,D1,2021,31,29,2,-0.29649972666444
PADFQXF,HBC NANTES,RODRIGUEZ alberto,USAM NIMES GARD,MAURICE franck,J19,31,27,rencontre_D1H_2021_501.pdf,16,14,14,R,1,1,1,1,1,H,1,1,D1,2021,41,42,-1,-0.518874521662771
PADFQXG,PARIS SAINT-GERMAIN HANDBALL,GUTIERREZ raul,UNION SPORTIVE IVRY HANDBALL,QUINTALLET sebastien,J19,34,25,rencontre_D1H_2021_502.pdf,14,16,16,R,-1,1,1,1,1,H,1,1,D1,2021,53,27,26,1.4824986333222
PADFQXL,MONTPELLIER HANDBALL,CANAYER patrice,LIMOGES HAND,HAYATOUNE tarik,J20,37,29,rencontre_D1H_2021_507.pdf,19,16,16,R,1,1,1,1,1,H,1,1,D1,2021,50,NA,NA,NA
PADFQXW,TREMBLAY HANDBALL,SILVA joel,CESSON RENNES METROPOLE HB,LERICHE sebastien,J21,26,27,rencontre_D1H_2021_518.pdf,10,13,13,R,-1,-1,0,1,1,H,1,1,D1,2021,27,27,0,0
PADFQXY,CHAMBERY SAVOIE HB,MATHE erick,US CRETEIL HANDBALL,ESPARRE christophe,J22,28,30,rencontre_D1H_2021_520.pdf,14,15,15,R,-1,-1,0,1,0,H,1,1,D1,2021,41,26,15,0.930765114050741
PADFQYC,USAM NIMES GARD,MAURICE franck,PROVENCE AIX UNIVERSITE CLUB HANDBALL,ANTI thierry,J22,25,26,rencontre_D1H_2021_524.pdf,13,11,11,R,1,-1,0,1,1,H,1,1,D1,2021,49,51,-2,0.00903655450534699
PADFQYG,C'CHARTRES METROPOLE HANDBALL,SALAET toni,CHAMBERY SAVOIE HB,MATHE erick,J23,21,22,rencontre_D1H_2021_528.pdf,13,11,11,R,1,-1,0,1,1,H,1,1,D1,2021,37,42,-5,-0.955427888935096
