code_rencontre,club_recevant,coach_recevant,club_visiteur,coach_visiteur,journee,score_final_r,score_final_v,fichier,score_recevant_min,score_visiteur_min,if (...) NULL,equipe,statut_min,statut_final,effet_positif,TM_derniere_min,TM_derniere_min_adverse,HF,DM,DM_adverse,division,saison,points_recevant,points_visiteur,diff_point,diff_point_norm
TAEUALR,CHAMBRAY TOURAINE HANDBALL,LANFRANCHI mathieu,MERIGNAC HANDBALL,CHAGNARD christophe,J21,32,24,rencontre_D1F_2324_670.pdf,16,13,13,R,1,1,1,1,1,F,1,1,D1,2324,45,31,14,0.913274742040019
TAEUALV,STRASBOURG ACHENHEIM TRUCHTERSHEIM HANDBALL,BASNY jan,TOULON METROPOLE VAR HANDBALL,SILVA joel,J22,26,26,rencontre_D1F_2324_674.pdf,12,10,10,R,1,0,0,1,1,F,1,1,D1,2324,29,29,0,0
TAEUALZ,MERIGNAC HANDBALL,CHAGNARD christophe,JDA BOURGOGNE DIJON HANDBALL,FAVIER anthony,J22,25,29,rencontre_D1F_2324_678.pdf,11,12,12,R,-1,-1,0,1,1,F,1,1,D1,2324,32,41,-9,-0.402701683378465
TAEUAMD,CHAMBRAY TOURAINE HANDBALL,LANFRANCHI mathieu,ST AMAND HANDBALL - PORTE DU HAINAUT,SZABO edina,J23,30,24,rencontre_D1F_2324_682.pdf,14,11,11,R,1,1,1,1,1,F,1,1,D1,2324,50,33,17,1.11189490866489
TAEUAME,JDA BOURGOGNE DIJON HANDBALL,FAVIER anthony,PARIS,MESSAOUDI yacine,J23,35,31,rencontre_D1F_2324_683.pdf,17,14,14,R,1,1,1,1,1,F,1,1,D1,2324,44,56,-12,-1.01748873717448
TAEUAMF,LES NEPTUNES DE NANTES,THOMSEN helle,OGC NICE COTE D'AZUR HANDBALL,ALCACER clement,J23,36,27,rencontre_D1F_2324_684.pdf,18,15,15,R,1,1,1,0,1,F,1,1,D1,2324,54,37,17,1.11189490866489
TAEUAMH,STELLA SAINT-MAUR HANDBALL,CARRACEDO felix,HANDBALL PLAN DE CUQUES,SPINCER angelique,J23,23,28,rencontre_D1F_2324_686.pdf,11,13,13,R,-1,-1,0,1,1,F,1,1,D1,2324,29,46,-17,-1.38462384852609
TAEUAMI,STRASBOURG ACHENHEIM TRUCHTERSHEIM HANDBALL,BASNY jan,MERIGNAC HANDBALL,CHAGNARD christophe,J23,24,23,rencontre_D1F_2324_687.pdf,9,12,12,R,-1,1,1,1,1,F,0,0,D1,2324,31,33,-2,-0.283218514471246
TAEUAMJ,METZ HANDBALL,MAYONNADE emmanuel,CHAMBRAY TOURAINE HANDBALL,LANFRANCHI mathieu,J24,37,25,rencontre_D1F_2324_688.pdf,16,14,14,R,1,1,1,0,1,F,1,1,D1,2324,67,53,14,0.566918622683697
TAEUAMM,OGC NICE COTE D'AZUR HANDBALL,ALCACER clement,JDA BOURGOGNE DIJON HANDBALL,FAVIER anthony,J24,28,31,rencontre_D1F_2324_691.pdf,15,15,15,R,0,-1,0,1,1,F,1,1,D1,2324,38,47,-9,-0.482206644581536
TAEUAMQ,CHAMBRAY TOURAINE HANDBALL,LANFRANCHI mathieu,BREST BRETAGNE HANDBALL,MOREL pablo,J25,28,33,rencontre_D1F_2324_695.pdf,17,16,16,R,1,-1,0,1,0,F,1,1,D1,2324,54,67,-13,-0.794352046042086
TAEUAMT,OGC NICE COTE D'AZUR HANDBALL,ALCACER clement,MERIGNAC HANDBALL,CHAGNARD christophe,J25,34,34,rencontre_D1F_2324_698.pdf,16,18,18,R,-1,0,1,0,1,F,1,1,D1,2324,39,35,4,0.682646289567417
TAEUAMY,BREST BRETAGNE HANDBALL,MOREL pablo,ES BESANCON FEMININ,MIZOULE sebastien,J26,27,27,rencontre_D1F_2324_703.pdf,14,11,11,R,1,0,0,1,0,F,1,1,D1,2324,72,53,19,0.868243142124459
TAEUANB,MERIGNAC HANDBALL,CHAGNARD christophe,PARIS,MESSAOUDI yacine,J26,33,29,rencontre_D1F_2324_706.pdf,15,15,15,R,0,1,1,1,1,F,1,1,D1,2324,40,62,-22,-1.67446891695431
TAEUANC,ST AMAND HANDBALL - PORTE DU HAINAUT,SZABO edina,OGC NICE COTE D'AZUR HANDBALL,ALCACER clement,J26,30,36,rencontre_D1F_2324_707.pdf,16,16,16,R,0,-1,0,1,1,F,1,1,D1,2324,37,44,-7,-0.744208407535251
TAEUAND,STELLA SAINT-MAUR HANDBALL,CARRACEDO felix,TOULON METROPOLE VAR HANDBALL,SILVA joel,J26,27,26,rencontre_D1F_2324_708.pdf,12,10,10,R,1,1,1,0,1,F,1,0,D1,2324,35,37,-2,-0.43412157106223
