"","club","division","saison","HF","match_joue","total_point","J1","J2","J3","J4","J5","J6","J7","J8","J9","J10","J11","J12","J13","J14","J15","J16","J17","J18","J19","J20","J21","J22","J23","J24","J25","J26","J27","J28","J29","J30"
"34","DUNKERQUE HANDBALL GRAND LITTORAL","D1","2122","H",30,50,1,2,3,4,7,8,11,12,15,18,19,20,21,24,25,26,27,30,31,34,35,38,41,42,43,44,45,46,49,50
"35","FENIX TOULOUSE HANDBALL","D1","2122","H",30,62,1,2,3,6,7,8,11,14,16,18,21,24,26,29,32,33,36,37,39,42,45,48,51,54,55,56,59,60,61,62
"36","GRAND NANCY METROPOLE HANDBALL","D1","2122","H",30,41,1,2,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,24,25,26,27,28,29,32,33,36,39,40,41
"37","HBC NANTES","D1","2122","H",30,79,1,4,7,9,10,13,16,19,22,25,28,31,34,35,38,41,44,47,50,51,54,57,60,61,64,67,70,73,76,79
"38","ISTRES PROVENCE HANDBALL","D1","2122","H",30,47,1,2,4,7,8,9,10,12,13,14,17,18,20,22,23,24,26,27,28,29,30,31,32,33,36,37,38,41,44,47
"39","LIMOGES","D1","2122","H",30,48,1,4,5,6,9,11,12,13,16,18,19,20,23,24,27,28,29,32,35,36,37,38,39,40,41,42,43,44,47,48
"40","MONTPELLIER HANDBALL","D1","2122","H",30,71,2,5,6,9,10,13,14,17,18,19,22,23,26,29,32,35,36,39,42,45,48,51,54,57,58,61,62,65,68,71
"41","PARIS SAINT-GERMAIN HANDBALL","D1","2122","H",30,90,3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57,60,63,66,69,72,75,78,81,84,87,90
"42","PROVENCE AIX UNIVERSITE CLUB HANDBALL","D1","2122","H",30,74,3,6,7,9,12,15,18,19,22,25,28,31,34,35,38,41,44,47,48,51,53,54,57,60,63,66,67,70,73,74
"43","SAINT RAPHAEL VAR HANDBALL","D1","2122","H",30,61,2,5,8,11,12,14,17,18,21,22,25,28,29,32,33,34,36,37,40,41,42,45,46,49,52,53,56,59,60,61
"44","SARAN LOIRET HANDBALL","D1","2122","H",30,42,1,2,3,4,7,10,11,12,13,16,17,18,19,20,21,22,25,26,27,28,31,32,33,34,35,38,39,40,41,42
"45","US CRETEIL HANDBALL","D1","2122","H",30,51,3,6,7,8,11,12,13,14,15,17,18,21,23,25,26,27,30,33,34,37,40,41,42,43,44,47,48,49,50,51
"46","USAM NIMES GARD","D1","2122","H",30,66,3,6,9,12,13,14,15,17,20,22,23,24,27,28,30,33,34,35,37,40,41,44,47,50,53,56,59,60,63,66
"47","ANGERS SCO HANDBALL","D2","2122","H",30,43,1,2,5,6,7,8,10,11,12,13,16,17,19,20,21,22,23,24,25,28,29,30,31,33,34,37,38,39,40,43
"48","BILLERE HANDBALL PAU PYRENEES","D2","2122","H",30,62,3,5,6,7,8,10,12,15,16,19,20,23,24,27,28,30,31,32,35,38,41,42,45,47,50,52,55,58,61,62
"49","CAEN HANDBALL","D2","2122","H",30,55,1,2,3,6,7,10,12,15,16,19,22,23,26,29,32,34,35,37,40,41,42,43,44,45,46,47,50,53,54,55
"50","CAVIGAL NICE HANDBALL","D2","2122","H",30,67,3,4,7,8,10,12,15,16,17,18,21,24,27,30,33,34,37,39,42,43,45,48,50,52,53,55,58,61,64,67
"51","DIJON METROPOLE HANDBALL","D2","2122","H",30,67,3,6,7,10,13,16,18,19,22,25,28,29,30,33,34,37,40,43,44,45,47,48,51,52,55,57,60,63,64,67
"52","GRAND BESANCON DOUBS HANDBALL","D2","2122","H",30,49,1,2,4,5,7,10,12,15,18,19,21,22,24,25,26,27,30,31,32,33,36,37,38,39,41,43,44,45,48,49
