"code_rencontre","club_recevant","coach_recevant","club_visiteur","coach_visiteur","score_final_r","score_final_v","fichier","journee","score_recevant_59_min","score_visiteur_59_min","equipe","statut_59_min","statut_final","effet_positif","TM_derniere_min","TM_derniere_min_adverse","HF","DM","DM_adverse","division","saison","club_ref","club_opp","points_classement","points_opp","diff_classement"
"SAEDKJT","ACHENHEIM TRUCHTERSHEIM","BASNY jan","SAMBRE AVESNOIS HANDBALL","PETIT clement",29,28,"rencontre_D2F_1_2223_363.pdf","J2",28,28,"R",0,1,1,0,0,"F",0,0,"D2","2223","achenheim truchtersheim","sambre avesnois handball",63,54,-9
"SAEDKJX","CLUB ATHLETIQUE BEGLAIS","VASSEUR julien","HAVRE ATHLETIC CLUB HB","PELLAN stephane",23,24,"rencontre_D2F_1_2223_367.pdf","J3",23,23,"R",0,-1,0,1,1,"F",0,0,"D2","2223","club athletique beglais","havre athletic club hb",43,45,2
"SAEDKKB","HANDBALL CLERMONT AUVERGNE METROPOLE 63","SAUVAL florence","LOMME LILLE METROPOLE HB","WORM laurent",31,29,"rencontre_D2F_1_2223_371.pdf","J3",31,28,"R",1,1,1,0,0,"F",1,0,"D2","2223","handball clermont auvergne metropole 63","lomme lille metropole hb",53,41,-12
"SAEDKKC","HAVRE ATHLETIC CLUB HB","PELLAN stephane","SAINT GREGOIRE RENNES METROPOLE HB","MANTES olivier",22,23,"rencontre_D2F_1_2223_372.pdf","J4",20,23,"R",-1,-1,0,1,1,"F",0,1,"D2","2223","havre athletic club hb","saint gregoire rennes metropole hb",45,38,-7
"SAEDKKF","LOMME LILLE METROPOLE HB","WORM laurent","SAMBRE AVESNOIS HANDBALL","PETIT clement",27,29,"rencontre_D2F_1_2223_375.pdf","J4",27,29,"R",-1,-1,0,1,1,"F",0,0,"D2","2223","lomme lille metropole hb","sambre avesnois handball",41,54,13
"SAEDKKI","TOULOUSE FEMININ HANDBALL","SEUTCHIE ludovic","CLUB ATHLETIQUE BEGLAIS","VASSEUR julien",27,29,"rencontre_D2F_1_2223_378.pdf","J4",25,28,"R",-1,-1,0,0,1,"F",0,0,"D2","2223","toulouse feminin handball","club athletique beglais",44,43,-1
"SAEDKKJ","ASUL VAULX EN VELIN","MODENEL sebastien","HAVRE ATHLETIC CLUB HB","PELLAN stephane",29,27,"rencontre_D2F_1_2223_379.pdf","J5",28,26,"R",1,1,1,0,0,"F",0,0,"D2","2223","asul vaulx en velin","havre athletic club hb",38,45,7
"SAEDKKK","SAINT GREGOIRE RENNES METROPOLE HB","MANTES olivier","TOULOUSE FEMININ HANDBALL","SEUTCHIE ludovic",20,21,"rencontre_D2F_1_2223_380.pdf","J5",20,20,"R",0,-1,0,0,1,"F",0,0,"D2","2223","saint gregoire rennes metropole hb","toulouse feminin handball",38,44,6
"SAEDKKP","HANDBALL CLERMONT AUVERGNE METROPOLE 63","SAUVAL florence","BOUILLARGUES HANDBALL NIMES METROPOLE","CENDRE delphine",24,23,"rencontre_D2F_1_2223_385.pdf","J5",24,22,"R",1,1,1,1,0,"F",0,0,"D2","2223","handball clermont auvergne metropole 63","bouillargues handball nimes metropole",53,45,-8
"SAEDKKZ","SAINT GREGOIRE RENNES METROPOLE HB","MANTES olivier","NOISY LE GRAND HANDBALL","GHERRAM farid",22,25,"rencontre_D2F_1_2223_395.pdf","J7",22,24,"R",-1,-1,0,0,1,"F",0,0,"D2","2223","saint gregoire rennes metropole hb","noisy le grand handball",38,55,17
"SAEDKLA","CLUB ATHLETIQUE BEGLAIS","VASSEUR julien","LOMME LILLE METROPOLE HB","WORM laurent",28,27,"rencontre_D2F_1_2223_396.pdf","J7",27,27,"R",0,1,1,0,1,"F",0,0,"D2","2223","club athletique beglais","lomme lille metropole hb",43,41,-2
"SAEDKLD","SAMBRE AVESNOIS HANDBALL","PETIT clement","HANDBALL CLERMONT AUVERGNE METROPOLE","SAUVAL florence",23,22,"rencontre_D2F_1_2223_399.pdf","J7",23,22,"R",1,1,1,1,0,"F",0,1,"D2","2223","sambre avesnois handball","handball clermont auvergne metropole 63",54,53,-1
