"code_rencontre","club_recevant","coach_recevant","club_visiteur","coach_visiteur","score_final_r","score_final_v","fichier","journee","score_recevant_59_min","score_visiteur_59_min","equipe","statut_59_min","statut_final","effet_positif","TM_derniere_min","TM_derniere_min_adverse","HF","DM","DM_adverse","division","saison","club_ref","club_opp","points_classement","points_opp","diff_classement"
"SAEDKPO","SAINT GREGOIRE RENNES METROPOLE HB","MANTES olivier","BOUILLARGUES HANDBALL NIMES METROPOLE","CENDRE delphine",26,27,"rencontre_D2F_1_2223_514.pdf","J24",26,26,"R",0,-1,0,0,1,"F",0,0,"D2","2223","saint gregoire rennes metropole hb","bouillargues handball nimes metropole",38,45,7
"SAEDKPP","CLUB ATHLETIQUE BEGLAIS","VASSEUR julien","HANDBALL CLERMONT AUVERGNE METROPOLE","SAUVAL florence",24,23,"rencontre_D2F_1_2223_515.pdf","J24",23,23,"R",0,1,1,0,1,"F",0,0,"D2","2223","club athletique beglais","handball clermont auvergne metropole 63",43,53,10
"SAEDKPS","TOULOUSE FEMININ HANDBALL","PUIGSEGUR laurent","LOMME LILLE METROPOLE HB","SANZ aurore",26,24,"rencontre_D2F_1_2223_518.pdf","J24",25,24,"R",1,1,1,1,0,"F",0,0,"D2","2223","toulouse feminin handball","lomme lille metropole hb",44,41,-3
"SAEDKPU","SAINT GREGOIRE RENNES METROPOLE HB","MANTES olivier","HAVRE ATHLETIC CLUB HB","PELLAN stephane",25,25,"rencontre_D2F_1_2223_520.pdf","J25",25,24,"R",1,0,0,0,0,"F",1,1,"D2","2223","saint gregoire rennes metropole hb","havre athletic club hb",38,45,7
"SAEDKPV","CLUB ATHLETIQUE BEGLAIS","VASSEUR julien","TOULOUSE FEMININ HANDBALL","PUIGSEGUR laurent",25,25,"rencontre_D2F_1_2223_521.pdf","J25",25,24,"R",1,0,0,0,0,"F",0,0,"D2","2223","club athletique beglais","toulouse feminin handball",43,44,1
"SAEDKPW","PALENTE BESANCON HANDBALL","SECK cheikh","ACHENHEIM TRUCHTERSHEIM","BASNY jan",33,33,"rencontre_D2F_1_2223_522.pdf","J25",32,33,"R",-1,0,1,0,1,"F",0,1,"D2","2223","palente besancon handball","achenheim truchtersheim",36,63,27
"SAEDKPX","STELLA SAINT-MAUR HANDBALL","SAMSON remi","NOISY LE GRAND HANDBALL","GHERRAM farid",27,31,"rencontre_D2F_1_2223_523.pdf","J25",27,30,"R",-1,-1,0,0,0,"F",1,0,"D2","2223","stella saint-maur handball","noisy le grand handball",66,55,-11
"SAEDKPY","SAMBRE AVESNOIS HANDBALL","PETIT clement","LOMME LILLE METROPOLE HB","SANZ aurore",24,23,"rencontre_D2F_1_2223_524.pdf","J25",22,22,"R",0,1,1,0,1,"F",0,0,"D2","2223","sambre avesnois handball","lomme lille metropole hb",54,41,-13
"SAEDKQB","BOUILLARGUES HANDBALL NIMES METROPOLE","CENDRE delphine","HANDBALL CLERMONT AUVERGNE METROPOLE","SAUVAL florence",27,28,"rencontre_D2F_1_2223_527.pdf","J26",27,27,"R",0,-1,0,1,0,"F",0,0,"D2","2223","bouillargues handball nimes metropole","handball clermont auvergne metropole 63",45,53,8
"SAEDKQG","TOULOUSE FEMININ HANDBALL","PUIGSEGUR laurent","SAINT GREGOIRE RENNES METROPOLE HB","MANTES olivier",20,23,"rencontre_D2F_1_2223_532.pdf","J26",20,23,"R",-1,-1,0,0,1,"F",0,1,"D2","2223","toulouse feminin handball","saint gregoire rennes metropole hb",44,38,-6
"SAEDYUR","ES BESANCON FEMININ","MIZOULE sebastien","BREST BRETAGNE HANDBALL","MOREL pablo",24,27,"rencontre_D1F_2223_3005.pdf","J6",24,26,"R",-1,-1,0,0,0,"F",1,0,"D1","2223","es besancon feminin","brest bretagne handball",52,62,10
"SAEDZFO","TREMBLAY-EN-FRANCE HANDBALL","HAMANI cherif","BORDEAUX HANDBALL","PEYRABOUT benoit",23,24,"rencontre_D2H_2223_362.pdf","J1",22,23,"R",-1,-1,0,0,1,"H",0,0,"D2","2223","tremblay-en-france handball","bordeaux handball",47,30,-17
"SAEDZFS","CAEN HANDBALL","BEDOS roch","SARAN LOIRET HB","COURTIAL fabien",28,26,"rencontre_D2H_2223_366.pdf","J1",28,25,"R",1,1,1,1,0,"H",1,0,"D2","2223","caen handball","saran loiret hb",33,48,15
"SAEDZFT","NANCY METROPOLE HB","SYLLA yerime","STRASBOURG HANDBALL","LATHOUD denis",28,26,"rencontre_D2H_2223_367.pdf","J1",27,25,"R",1,1,1,1,0,"H",1,0,"D2","2223","nancy handball","strasbourg handball",29,-1,-30
"SAEDZFU","BILLERE HANDBALL","DEHERME daniel","BESANCON HANDBALL","GUILLAUME benoit",35,34,"rencontre_D2H_2223_368.pdf","J1",35,34,"R",1,1,1,1,1,"H",0,1,"D2","2223","billere handball","besancon handball",32,17,-15
"SAEDZFV","VILLEURBANNE HANDBALL","ZUZO semir","DIJON METROPOLE HB","CHADUTEAUD ulrich",27,28,"rencontre_D2H_2223_369.pdf","J1",26,26,"R",0,-1,0,1,1,"H",0,0,"D2","2223","villeurbanne handball","dijon metropole hb",10,47,37
"SAEDZGA","MASSY ESSONNE HB","LEFEBVRE thomas","FRONTIGNAN HANDBALL","ANTONIO MARCOS asier",33,28,"rencontre_D2H_2223_374.pdf","J2",31,28,"R",1,1,1,0,0,"H",0,0,"D2","2223","massy essonne hb","frontignan handball",24,42,18
"SAEDZGF","BESANCON HANDBALL","GUILLAUME benoit","SARAN LOIRET HB","COURTIAL fabien",30,31,"rencontre_D2H_2223_379.pdf","J3",30,30,"R",0,-1,0,0,0,"H",0,0,"D2","2223","besancon handball","saran loiret hb",17,48,31
"SAEDZGH","VALENCE HANDBALL","BENKAHLA aziz","SARREBOURG MOSELLE SUD HANDBALL","CALBRY arnaud",25,28,"rencontre_D2H_2223_381.pdf","J3",25,26,"R",-1,-1,0,1,0,"H",1,0,"D2","2223","valence handball","sarrebourg moselle sud handball",17,30,13
"SAEDZGJ","FRONTIGNAN HANDBALL","ANTONIO MARCOS asier","BILLERE HANDBALL","DEHERME daniel",29,28,"rencontre_D2H_2223_383.pdf","J3",29,27,"R",1,1,1,1,0,"H",0,0,"D2","2223","frontignan handball","billere handball",42,32,-10
"SAEDZGR","SARAN LOIRET HB","COURTIAL fabien","DIJON METROPOLE HB","CHADUTEAUD ulrich",31,30,"rencontre_D2H_2223_391.pdf","J4",30,28,"R",1,1,1,0,1,"H",0,0,"D2","2223","saran loiret hb","dijon metropole hb",48,47,-1
"SAEDZGU","BORDEAUX HANDBALL","Officiel B GARDENT philippe","PONTAULT-COMBAULT HANDBALL","Officiel B RUFFE didier",30,32,"rencontre_D2H_2223_394.pdf","J5",30,32,"R",-1,-1,0,0,1,"H",1,0,"D2","2223","bordeaux handball","pontault-combault handball",30,43,13
"SAEDZGV","VALENCE HANDBALL","BENKAHLA aziz","FRONTIGNAN HANDBALL","ANTONIO MARCOS asier",25,25,"rencontre_D2H_2223_395.pdf","J5",25,24,"R",1,0,0,0,0,"H",0,0,"D2","2223","valence handball","frontignan handball",17,42,25
"SAEDZGW","MASSY ESSONNE HB","LEFEBVRE thomas","SARREBOURG MOSELLE SUD HANDBALL","CALBRY arnaud",30,33,"rencontre_D2H_2223_396.pdf","J5",29,32,"R",-1,-1,0,0,0,"H",0,0,"D2","2223","massy essonne hb","sarrebourg moselle sud handball",24,30,6
"SAEDZGX","TREMBLAY-EN-FRANCE HANDBALL","HAMANI cherif","BILLERE HANDBALL","DEHERME daniel",30,28,"rencontre_D2H_2223_397.pdf","J5",30,27,"R",1,1,1,0,0,"H",0,0,"D2","2223","tremblay-en-france handball","billere handball",47,32,-15
"SAEDZGZ","STRASBOURG HANDBALL","LATHOUD denis","CHERBOURG HB","FERNANDEZ ROURA eduard",28,31,"rencontre_D2H_2223_399.pdf","J5",27,29,"R",-1,-1,0,0,1,"H",1,1,"D2","2223","strasbourg handball","cherbourg hb",-1,23,24
"SAEDZHE","SARAN LOIRET HB","COURTIAL fabien","VALENCE HANDBALL","BENKAHLA aziz",30,30,"rencontre_D2H_2223_404.pdf","J6",28,29,"R",-1,0,1,1,0,"H",0,1,"D2","2223","saran loiret hb","valence handball",48,17,-31
"SAEDZHG","FRONTIGNAN HANDBALL","ANTONIO MARCOS asier","DIJON METROPOLE HB","CHADUTEAUD ulrich",28,31,"rencontre_D2H_2223_406.pdf","J6",27,30,"R",-1,-1,0,0,0,"H",0,1,"D2","2223","frontignan handball","dijon metropole hb",42,47,5
"SAEDZHJ","SARREBOURG MOSELLE SUD HANDBALL","CALBRY arnaud","NANCY METROPOLE HB","SYLLA yerime",28,26,"rencontre_D2H_2223_409.pdf","J6",27,25,"R",1,1,1,0,0,"H",0,0,"D2","2223","sarrebourg moselle sud handball","nancy handball",30,29,-1
"SAEDZHO","SARREBOURG MOSELLE SUD HANDBALL","CALBRY arnaud","BESANCON HANDBALL","GUILLAUME benoit",32,30,"rencontre_D2H_2223_414.pdf","J7",31,29,"R",1,1,1,0,0,"H",1,0,"D2","2223","sarrebourg moselle sud handball","besancon handball",30,17,-13
"SAEDZHP","STRASBOURG HANDBALL","LATHOUD denis","BORDEAUX HANDBALL","PEYRABOUT benoit",22,23,"rencontre_D2H_2223_415.pdf","J7",22,23,"R",-1,-1,0,0,1,"H",0,0,"D2","2223","strasbourg handball","bordeaux handball",-1,30,31
"SAEDZHT","BESANCON HANDBALL","GUILLAUME benoit","TREMBLAY-EN-FRANCE HANDBALL","HAMANI cherif",33,36,"rencontre_D2H_2223_419.pdf","J8",32,35,"R",-1,-1,0,0,0,"H",1,0,"D2","2223","besancon handball","tremblay-en-france handball",17,47,30
"SAEDZHU","SARAN LOIRET HB","COURTIAL fabien","BILLERE HANDBALL","DEHERME daniel",33,29,"rencontre_D2H_2223_420.pdf","J8",32,29,"R",1,1,1,0,0,"H",0,1,"D2","2223","saran loiret hb","billere handball",48,32,-16
"SAEDZHW","CHERBOURG HB","FERNANDEZ ROURA eduard","VILLEURBANNE HANDBALL","ZUZO semir",20,15,"rencontre_D2H_2223_422.pdf","J8",18,15,"R",1,1,1,0,0,"H",0,0,"D2","2223","cherbourg hb","villeurbanne handball",23,10,-13
"SAEDZIB","STRASBOURG HANDBALL","CHAUDEUR louis","CAEN HANDBALL","BEDOS roch",24,27,"rencontre_D2H_2223_427.pdf","J9",24,26,"R",-1,-1,0,0,0,"H",0,0,"D2","2223","strasbourg handball","caen handball",-1,33,34
"SAEDZIC","FRONTIGNAN HANDBALL","ANTONIO MARCOS asier","SARAN LOIRET HB","COURTIAL fabien",36,35,"rencontre_D2H_2223_428.pdf","J9",35,34,"R",1,1,1,1,1,"H",0,1,"D2","2223","frontignan handball","saran loiret hb",42,48,6
"SAEDZIG","DIJON METROPOLE HB","CHADUTEAUD ulrich","BORDEAUX HANDBALL","PEYRABOUT benoit",26,29,"rencontre_D2H_2223_432.pdf","J9",25,28,"R",-1,-1,0,0,0,"H",0,0,"D2","2223","dijon metropole hb","bordeaux handball",47,30,-17
"SAEDZII","TREMBLAY-EN-FRANCE HANDBALL","HAMANI cherif","MASSY ESSONNE HB","LEFEBVRE thomas",29,27,"rencontre_D2H_2223_434.pdf","J10",29,27,"R",1,1,1,0,0,"H",0,0,"D2","2223","tremblay-en-france handball","massy essonne hb",47,24,-23
"SAEDZIK","CAEN HANDBALL","BEDOS roch","VILLEURBANNE HANDBALL","BOUGEANT frederic",28,27,"rencontre_D2H_2223_436.pdf","J10",27,26,"R",1,1,1,1,0,"H",1,0,"D2","2223","caen handball","villeurbanne handball",33,10,-23
"SAEDZIL","SARAN LOIRET HB","COURTIAL fabien","STRASBOURG HANDBALL","CHAUDEUR louis",33,29,"rencontre_D2H_2223_437.pdf","J10",32,29,"R",1,1,1,0,0,"H",0,1,"D2","2223","saran loiret hb","strasbourg handball",48,-1,-49
"SAEDZIN","PONTAULT-COMBAULT HANDBALL","SAURINA guillaume","FRONTIGNAN HANDBALL","ANTONIO MARCOS asier",36,34,"rencontre_D2H_2223_439.pdf","J10",34,32,"R",1,1,1,0,0,"H",0,0,"D2","2223","pontault-combault handball","frontignan handball",43,42,-1
"SAEDZIP","BORDEAUX HANDBALL","PEYRABOUT benoit","BILLERE HANDBALL","DEHERME daniel",22,23,"rencontre_D2H_2223_441.pdf","J10",21,22,"R",-1,-1,0,0,0,"H",0,0,"D2","2223","bordeaux handball","billere handball",30,32,2
"SAEDZIZ","PONTAULT-COMBAULT HANDBALL","SAURINA guillaume","SARAN LOIRET HB","COURTIAL fabien",30,32,"rencontre_D2H_2223_451.pdf","J12",29,31,"R",-1,-1,0,0,1,"H",0,0,"D2","2223","pontault-combault handball","saran loiret hb",43,48,5
"SAEDZJA","CHERBOURG HB","FERNANDEZ ROURA eduard","FRONTIGNAN HANDBALL","ANTONIO MARCOS asier",26,30,"rencontre_D2H_2223_452.pdf","J12",26,29,"R",-1,-1,0,0,0,"H",0,0,"D2","2223","cherbourg hb","frontignan handball",23,42,19
"SAEDZJD","MASSY ESSONNE HB","LEFEBVRE thomas","BILLERE HANDBALL","DEHERME daniel",31,29,"rencontre_D2H_2223_455.pdf","J12",30,29,"R",1,1,1,0,1,"H",1,0,"D2","2223","massy essonne hb","billere handball",24,32,8
"SAEDZJF","BORDEAUX HANDBALL","PEYRABOUT benoit","SARREBOURG MOSELLE SUD HANDBALL","CALBRY arnaud",26,25,"rencontre_D2H_2223_457.pdf","J12",26,25,"R",1,1,1,0,1,"H",0,0,"D2","2223","bordeaux handball","sarrebourg moselle sud handball",30,30,0
"SAEDZJG","BILLERE HANDBALL","DEHERME daniel","NANCY METROPOLE HB","SYLLA yerime",25,26,"rencontre_D2H_2223_458.pdf","J13",25,25,"R",0,-1,0,1,0,"H",0,0,"D2","2223","billere handball","nancy handball",32,29,-3
"SAEDZJK","FRONTIGNAN HANDBALL","ANTONIO MARCOS asier","BESANCON HANDBALL","GUILLAUME benoit",41,37,"rencontre_D2H_2223_462.pdf","J13",39,36,"R",1,1,1,1,0,"H",0,0,"D2","2223","frontignan handball","besancon handball",42,17,-25
"SAEDZJL","SARAN LOIRET HB","COURTIAL fabien","BORDEAUX HANDBALL","PEYRABOUT benoit",30,30,"rencontre_D2H_2223_463.pdf","J13",30,28,"R",1,0,0,1,1,"H",0,1,"D2","2223","saran loiret hb","bordeaux handball",48,30,-18
"SAEDZJM","STRASBOURG HANDBALL","CHAUDEUR louis","SARREBOURG MOSELLE SUD HANDBALL","CALBRY arnaud",25,26,"rencontre_D2H_2223_464.pdf","J13",25,25,"R",0,-1,0,0,1,"H",0,0,"D2","2223","strasbourg handball","sarrebourg moselle sud handball",-1,30,31
"SAEDZJP","BESANCON HANDBALL","GUILLAUME benoit","VALENCE HANDBALL","BENKAHLA aziz",29,30,"rencontre_D2H_2223_467.pdf","J14",29,29,"R",0,-1,0,0,1,"H",1,0,"D2","2223","besancon handball","valence handball",17,17,0
"SAEDZJR","NANCY METROPOLE HB","SYLLA yerime","VILLEURBANNE HANDBALL","BOUGEANT frederic",28,27,"rencontre_D2H_2223_469.pdf","J14",28,27,"R",1,1,1,0,0,"H",0,0,"D2","2223","nancy handball","villeurbanne handball",29,10,-19
"SAEDZJU","SARREBOURG MOSELLE SUD HANDBALL","CALBRY arnaud","BILLERE HANDBALL","DEHERME daniel",30,31,"rencontre_D2H_2223_472.pdf","J14",29,30,"R",-1,-1,0,0,0,"H",0,0,"D2","2223","sarrebourg moselle sud handball","billere handball",30,32,2
"SAEDZKB","VALENCE HANDBALL","BENKAHLA aziz","STRASBOURG HANDBALL","CHAUDEUR louis",26,25,"rencontre_D2H_2223_479.pdf","J15",25,25,"R",0,1,1,1,1,"H",0,0,"D2","2223","valence handball","strasbourg handball",17,-1,-18
"SAEDZKE","VILLEURBANNE HANDBALL","BOUGEANT frederic","CAEN HANDBALL","BEDOS roch",27,30,"rencontre_D2H_2223_482.pdf","J16",27,29,"R",-1,-1,0,0,1,"H",0,0,"D2","2223","villeurbanne handball","caen handball",10,33,23
"SAEDZKM","STRASBOURG HANDBALL","MANGIN pierre","VILLEURBANNE HANDBALL","BOUGEANT frederic",29,28,"rencontre_D2H_2223_490.pdf","J17",28,28,"R",0,1,1,0,0,"H",1,0,"D2","2223","strasbourg handball","villeurbanne handball",-1,10,11
"SAEDZKR","SARAN LOIRET HB","COURTIAL fabien","MASSY ESSONNE HB","LEFEBVRE thomas",33,30,"rencontre_D2H_2223_495.pdf","J17",32,30,"R",1,1,1,1,0,"H",0,1,"D2","2223","saran loiret hb","massy essonne hb",48,24,-24
"SAEDZKT","BILLERE HANDBALL","DEHERME daniel","TREMBLAY-EN-FRANCE HANDBALL","HAMANI cherif",25,26,"rencontre_D2H_2223_497.pdf","J17",24,25,"R",-1,-1,0,1,1,"H",0,0,"D2","2223","billere handball","tremblay-en-france handball",32,47,15
"SAEDZKU","VILLEURBANNE HANDBALL","BOUGEANT frederic","SARREBOURG MOSELLE SUD HANDBALL","CALBRY arnaud",23,26,"rencontre_D2H_2223_498.pdf","J18",22,24,"R",-1,-1,0,0,0,"H",0,1,"D2","2223","villeurbanne handball","sarrebourg moselle sud handball",10,30,20
"SAEDZKV","BESANCON HANDBALL","GUILLAUME benoit","BILLERE HANDBALL","DEHERME daniel",36,34,"rencontre_D2H_2223_499.pdf","J18",35,32,"R",1,1,1,1,0,"H",0,1,"D2","2223","besancon handball","billere handball",17,32,15
"SAEDZKY","MASSY ESSONNE HB","LEFEBVRE thomas","VALENCE HANDBALL","BENKAHLA aziz",28,29,"rencontre_D2H_2223_502.pdf","J18",27,29,"R",-1,-1,0,0,0,"H",0,1,"D2","2223","massy essonne hb","valence handball",24,17,-7
"SAEDZKZ","FRONTIGNAN HANDBALL","ANTONIO MARCOS asier","CAEN HANDBALL","BEDOS roch",32,31,"rencontre_D2H_2223_503.pdf","J18",31,30,"R",1,1,1,1,1,"H",1,1,"D2","2223","frontignan handball","caen handball",42,33,-9
"SAEDZLD","SARAN LOIRET HB","COURTIAL fabien","VILLEURBANNE HANDBALL","BOUGEANT frederic",32,30,"rencontre_D2H_2223_507.pdf","J19",31,28,"R",1,1,1,1,0,"H",0,0,"D2","2223","saran loiret hb","villeurbanne handball",48,10,-38
"SAEDZLE","PONTAULT-COMBAULT HANDBALL","SAURINA guillaume","VALENCE HANDBALL","BENKAHLA aziz",29,27,"rencontre_D2H_2223_508.pdf","J19",29,27,"R",1,1,1,1,1,"H",1,0,"D2","2223","pontault-combault handball","valence handball",43,17,-26
"SAEDZLL","VALENCE HANDBALL","BENKAHLA aziz","BESANCON HANDBALL","GUILLAUME benoit",26,29,"rencontre_D2H_2223_515.pdf","J20",26,27,"R",-1,-1,0,1,0,"H",0,0,"D2","2223","valence handball","besancon handball",17,17,0
"SAEDZLM","CHERBOURG HB","FERNANDEZ ROURA eduard","DIJON METROPOLE HB","CHADUTEAUD ulrich",25,25,"rencontre_D2H_2223_516.pdf","J20",24,25,"R",-1,0,1,1,1,"H",0,1,"D2","2223","cherbourg hb","dijon metropole hb",23,47,24
"SAEDZLN","MASSY ESSONNE HB","LEFEBVRE thomas","PONTAULT-COMBAULT HANDBALL","SAURINA guillaume",25,26,"rencontre_D2H_2223_517.pdf","J20",25,25,"R",0,-1,0,0,0,"H",0,0,"D2","2223","massy essonne hb","pontault-combault handball",24,43,19
"SAEDZLO","CAEN HANDBALL","BEDOS roch","STRASBOURG HANDBALL","MANGIN pierre",29,28,"rencontre_D2H_2223_518.pdf","J20",28,27,"R",1,1,1,0,1,"H",0,0,"D2","2223","caen handball","strasbourg handball",33,-1,-34
"SAEDZLQ","TREMBLAY-EN-FRANCE HANDBALL","HAMANI cherif","SARREBOURG MOSELLE SUD HANDBALL","CALBRY arnaud",32,31,"rencontre_D2H_2223_520.pdf","J20",31,31,"R",0,1,1,1,1,"H",0,0,"D2","2223","tremblay-en-france handball","sarrebourg moselle sud handball",47,30,-17
"SAEDZLR","VILLEURBANNE HANDBALL","BOUGEANT frederic","BILLERE HANDBALL","DEHERME daniel",28,27,"rencontre_D2H_2223_521.pdf","J20",28,26,"R",1,1,1,0,0,"H",0,0,"D2","2223","villeurbanne handball","billere handball",10,32,22
"SAEDZLS","BESANCON HANDBALL","GUILLAUME benoit","MASSY ESSONNE HB","LEFEBVRE thomas",36,34,"rencontre_D2H_2223_522.pdf","J21",36,33,"R",1,1,1,0,0,"H",0,0,"D2","2223","besancon handball","massy essonne hb",17,24,7
"SAEDZLU","FRONTIGNAN HANDBALL","ANTONIO MARCOS asier","VILLEURBANNE HANDBALL","BOUGEANT frederic",35,34,"rencontre_D2H_2223_524.pdf","J21",34,34,"R",0,1,1,0,1,"H",0,1,"D2","2223","frontignan handball","villeurbanne handball",42,10,-32
"SAEDZLW","CAEN HANDBALL","BEDOS roch","TREMBLAY-EN-FRANCE HANDBALL","HAMANI cherif",34,31,"rencontre_D2H_2223_526.pdf","J21",33,30,"R",1,1,1,1,0,"H",0,0,"D2","2223","caen handball","tremblay-en-france handball",33,47,14
"SAEDZMA","BILLERE HANDBALL","DEHERME daniel","SARREBOURG MOSELLE SUD HANDBALL","CALBRY arnaud",27,28,"rencontre_D2H_2223_530.pdf","J22",26,27,"R",-1,-1,0,1,0,"H",0,1,"D2","2223","billere handball","sarrebourg moselle sud handball",32,30,-2
"SAEDZMF","CHERBOURG HB","FERNANDEZ ROURA eduard","BORDEAUX HANDBALL","PEYRABOUT benoit",28,29,"rencontre_D2H_2223_535.pdf","J22",26,28,"R",-1,-1,0,1,0,"H",0,0,"D2","2223","cherbourg hb","bordeaux handball",23,30,7
"SAEDZMK","DIJON METROPOLE HB","CHADUTEAUD ulrich","SARAN LOIRET HB","COURTIAL fabien",30,29,"rencontre_D2H_2223_540.pdf","J23",29,29,"R",0,1,1,0,0,"H",1,1,"D2","2223","dijon metropole hb","saran loiret hb",47,48,1
"SAEDZML","STRASBOURG HANDBALL","MANGIN pierre","BILLERE HANDBALL","DEHERME daniel",24,26,"rencontre_D2H_2223_541.pdf","J23",22,25,"R",-1,-1,0,0,0,"H",0,0,"D2","2223","strasbourg handball","billere handball",-1,32,33
"SAEDZMN","SARREBOURG MOSELLE SUD HANDBALL","CALBRY arnaud","VALENCE HANDBALL","BENKAHLA aziz",28,27,"rencontre_D2H_2223_543.pdf","J23",28,26,"R",1,1,1,1,0,"H",1,0,"D2","2223","sarrebourg moselle sud handball","valence handball",30,17,-13
"SAEDZMS","BILLERE HANDBALL","DEHERME daniel","FRONTIGNAN HANDBALL","ANTONIO MARCOS asier",32,31,"rencontre_D2H_2223_548.pdf","J24",31,29,"R",1,1,1,0,0,"H",0,0,"D2","2223","billere handball","frontignan handball",32,42,10
"SAEDZMW","PONTAULT-COMBAULT HANDBALL","SAURINA guillaume","DIJON METROPOLE HB","CHADUTEAUD ulrich",26,24,"rencontre_D2H_2223_552.pdf","J24",25,23,"R",1,1,1,0,1,"H",0,1,"D2","2223","pontault-combault handball","dijon metropole hb",43,47,4
"SAEDZNB","SARREBOURG MOSELLE SUD HANDBALL","CALBRY arnaud","BORDEAUX HANDBALL","PEYRABOUT benoit",26,26,"rencontre_D2H_2223_557.pdf","J25",26,24,"R",1,0,0,1,1,"H",0,0,"D2","2223","sarrebourg moselle sud handball","bordeaux handball",30,30,0
"SAEDZNC","NANCY HANDBALL","SYLLA yerime","PONTAULT-COMBAULT HANDBALL","SAURINA guillaume",28,30,"rencontre_D2H_2223_558.pdf","J25",27,29,"R",-1,-1,0,0,0,"H",0,0,"D2","2223","nancy handball","pontault-combault handball",29,43,14
"SAEDZNH","VALENCE HANDBALL","BENKAHLA aziz","VILLEURBANNE HANDBALL","BOUGEANT frederic",32,29,"rencontre_D2H_2223_563.pdf","J26",30,29,"R",1,1,1,0,1,"H",0,0,"D2","2223","valence handball","villeurbanne handball",17,10,-7
"SAEDZNI","MASSY ESSONNE HB","LEFEBVRE thomas","TREMBLAY-EN-FRANCE HANDBALL","HAMANI cherif",26,30,"rencontre_D2H_2223_564.pdf","J26",26,29,"R",-1,-1,0,0,1,"H",0,0,"D2","2223","massy essonne hb","tremblay-en-france handball",24,47,23
"SAEDZNJ","PONTAULT-COMBAULT HANDBALL","SAURINA guillaume","SARREBOURG MOSELLE SUD HANDBALL","CALBRY arnaud",28,29,"rencontre_D2H_2223_565.pdf","J26",28,28,"R",0,-1,0,0,1,"H",0,0,"D2","2223","pontault-combault handball","sarrebourg moselle sud handball",43,30,-13
"SAEDZNP","SARREBOURG MOSELLE SUD HANDBALL","CALBRY arnaud","MASSY ESSONNE HB","LEFEBVRE thomas",35,34,"rencontre_D2H_2223_571.pdf","J27",35,32,"R",1,1,1,0,0,"H",1,0,"D2","2223","sarrebourg moselle sud handball","massy essonne hb",30,24,-6
"SAEDZNS","CAEN HANDBALL","BEDOS roch","DIJON METROPOLE HB","CHADUTEAUD ulrich",27,26,"rencontre_D2H_2223_574.pdf","J27",25,25,"R",0,1,1,1,0,"H",0,1,"D2","2223","caen handball","dijon metropole hb",33,47,14
"SAEDZNU","BILLERE HANDBALL","DEHERME daniel","SARAN LOIRET HB","COURTIAL fabien",30,31,"rencontre_D2H_2223_576.pdf","J27",29,30,"R",-1,-1,0,0,0,"H",0,0,"D2","2223","billere handball","saran loiret hb",32,48,16
"SAEDZNV","VILLEURBANNE HANDBALL","BOUGEANT frederic","PONTAULT-COMBAULT HANDBALL","SAURINA guillaume",31,32,"rencontre_D2H_2223_577.pdf","J27",31,32,"R",-1,-1,0,0,1,"H",0,1,"D2","2223","villeurbanne handball","pontault-combault handball",10,43,33
"SAEDZNW","BORDEAUX HANDBALL","PEYRABOUT benoit","CAEN HANDBALL","BEDOS roch",26,25,"rencontre_D2H_2223_578.pdf","J28",25,25,"R",0,1,1,0,1,"H",0,0,"D2","2223","bordeaux handball","caen handball",30,33,3
"SAEDZNX","BESANCON HANDBALL","GUILLAUME benoit","SARREBOURG MOSELLE SUD HANDBALL","CALBRY arnaud",28,30,"rencontre_D2H_2223_579.pdf","J28",27,29,"R",-1,-1,0,0,0,"H",0,0,"D2","2223","besancon handball","sarrebourg moselle sud handball",17,30,13
"SAEDZNY","MASSY ESSONNE HB","LEFEBVRE thomas","VILLEURBANNE HANDBALL","BOUGEANT frederic",33,35,"rencontre_D2H_2223_580.pdf","J28",33,35,"R",-1,-1,0,0,0,"H",0,0,"D2","2223","massy essonne hb","villeurbanne handball",24,10,-14
"SAEDZOA","CHERBOURG HB","FERNANDEZ ROURA eduard","NANCY HANDBALL","SYLLA yerime",37,34,"rencontre_D2H_2223_582.pdf","J28",36,34,"R",1,1,1,1,1,"H",0,0,"D2","2223","cherbourg hb","nancy handball",23,29,6
"SAEDZOB","VALENCE HANDBALL","BENKAHLA aziz","BILLERE HANDBALL","DEHERME daniel",30,31,"rencontre_D2H_2223_583.pdf","J28",29,30,"R",-1,-1,0,1,0,"H",0,0,"D2","2223","valence handball","billere handball",17,32,15
"SAEDZOE","VILLEURBANNE HANDBALL","BOUGEANT frederic","BORDEAUX HANDBALL","PEYRABOUT benoit",29,31,"rencontre_D2H_2223_586.pdf","J29",28,31,"R",-1,-1,0,0,0,"H",0,0,"D2","2223","villeurbanne handball","bordeaux handball",10,30,20
"SAEDZOK","CAEN HANDBALL","BEDOS roch","BESANCON HANDBALL","GUILLAUME benoit",30,29,"rencontre_D2H_2223_592.pdf","J29",30,28,"R",1,1,1,1,0,"H",0,0,"D2","2223","caen handball","besancon handball",33,17,-16
"SAEDZOO","CHERBOURG HB","FERNANDEZ ROURA eduard","CAEN HANDBALL","BEDOS roch",29,31,"rencontre_D2H_2223_596.pdf","J30",29,30,"R",-1,-1,0,0,1,"H",0,0,"D2","2223","cherbourg hb","caen handball",23,33,10
