code_rencontre,club_recevant,coach_recevant,club_visiteur,coach_visiteur,journee,score_final_r,score_final_v,fichier,score_recevant_29_min,score_visiteur_29_min,temps_proche_30_min,score_recevant_30_min,score_visiteur_30_min,equipe,statut_29_min,statut_30_min,statut_final,effet_positif,TM_derniere_min,TM_derniere_min_adverse,HF,DM,DM_adverse,division,saison
PADEKQA,SAMBRE AVESNOIS HANDBALL,PETIT clement,ACHENHEIM TRUCHTERSHEIM,DURAFFOURG aurelien,J1,27,28,rencontre_D2F_1_2021_708.pdf,15,15,1765,15,16,R,0,-1,-1,0,0,0,F,0,0,D2,2021
PADEKQD,HB OCTEVILLE SUR MER,BOIVIN gautier,SAMBRE AVESNOIS HANDBALL,PETIT clement,J2,28,23,rencontre_D2F_1_2021_711.pdf,11,9,1735,11,9,R,1,1,1,1,0,0,F,0,0,D2,2021
PADEKQE,ACHENHEIM TRUCHTERSHEIM,DURAFFOURG aurelien,NOISY LE GRAND HANDBALL,GHERRAM farid,J2,25,29,rencontre_D2F_1_2021_712.pdf,13,14,1756,14,14,R,-1,0,-1,1,0,0,F,0,1,D2,2021
PADEKQF,AUNIS HB LA ROCHELLE PERIGNY,GRAMMONT laurent,STELLA SPORTS SAINT MAUR HANDBALL,SAMSON remi,J3,27,31,rencontre_D2F_1_2021_713.pdf,12,11,1786,13,11,R,1,1,-1,1,0,0,F,0,1,D2,2021
PADEKQG,SAMBRE AVESNOIS HANDBALL,PETIT clement,HAVRE ATHLETIC CLUB HB,PELLAN stephane,J3,29,28,rencontre_D2F_1_2021_714.pdf,14,12,1777,15,12,R,1,1,1,1,0,0,F,0,0,D2,2021
PADEKQI,NOISY LE GRAND HANDBALL,GHERRAM farid,HB OCTEVILLE SUR MER,BOIVIN gautier,J3,26,30,rencontre_D2F_1_2021_716.pdf,12,14,1798,12,14,R,-1,-1,-1,0,0,0,F,0,0,D2,2021
PADEKRE,SAINT GREGOIRE RENNES METROPOLE HB,MANTES olivier,STELLA SPORTS SAINT MAUR HANDBALL,SAMSON remi,J9,26,25,rencontre_D2F_1_2021_738.pdf,11,13,1796,11,13,R,-1,-1,1,0,0,0,F,1,1,D2,2021
PADEKRF,SAMBRE AVESNOIS HANDBALL,PETIT clement,HB OCTEVILLE SUR MER,BOIVIN gautier,J9,25,21,rencontre_D2F_1_2021_739.pdf,10,10,1783,11,10,R,0,1,1,1,0,0,F,0,1,D2,2021
PADEKRI,HAVRE ATHLETIC CLUB HB,PELLAN stephane,SAMBRE AVESNOIS HANDBALL,PETIT clement,J10,28,26,rencontre_D2F_1_2021_742.pdf,14,11,1757,14,12,R,1,1,1,1,0,0,F,0,0,D2,2021
PADEKRK,HB OCTEVILLE SUR MER,BOIVIN gautier,NOISY LE GRAND HANDBALL,GHERRAM farid,J10,24,28,rencontre_D2F_1_2021_744.pdf,12,13,1786,12,14,R,-1,-1,-1,0,0,0,F,0,0,D2,2021
PADEKRL,AUNIS HB LA ROCHELLE PERIGNY,GRAMMONT laurent,SAMBRE AVESNOIS HANDBALL,PETIT clement,J11,27,22,rencontre_D2F_1_2021_745.pdf,13,11,1792,13,12,R,1,1,1,1,0,0,F,0,0,D2,2021
PADEKRQ,SAMBRE AVESNOIS HANDBALL,PETIT clement,NOISY LE GRAND HANDBALL,GHERRAM farid,J12,25,24,rencontre_D2F_1_2021_750.pdf,13,10,1785,13,11,R,1,1,1,1,0,0,F,0,0,D2,2021
PADEKRR,HB OCTEVILLE SUR MER,BOIVIN gautier,STELLA SPORTS SAINT MAUR HANDBALL,SAMSON remi,J12,22,25,rencontre_D2F_1_2021_751.pdf,10,11,1792,10,12,R,-1,-1,-1,0,0,0,F,0,1,D2,2021
PADEKRS,HAVRE ATHLETIC CLUB HB,PELLAN stephane,SAINT GREGOIRE RENNES METROPOLE HB,MANTES olivier,J12,27,28,rencontre_D2F_1_2021_752.pdf,14,15,1741,14,15,R,-1,-1,-1,0,0,0,F,0,0,D2,2021
PADEKRT,AUNIS HB LA ROCHELLE PERIGNY,GRAMMONT laurent,NOISY LE GRAND HANDBALL,GHERRAM farid,J13,26,39,rencontre_D2F_1_2021_753.pdf,15,18,1792,16,19,R,-1,-1,-1,0,0,0,F,0,1,D2,2021
PADEKRX,HB OCTEVILLE SUR MER,BOIVIN gautier,AUNIS HB LA ROCHELLE PERIGNY,GRAMMONT laurent,J14,38,21,rencontre_D2F_1_2021_757.pdf,13,15,1798,14,17,R,-1,-1,1,0,0,0,F,1,0,D2,2021
PADEKRZ,HAVRE ATHLETIC CLUB HB,PELLAN stephane,ACHENHEIM TRUCHTERSHEIM,DURAFFOURG aurelien,J14,30,29,rencontre_D2F_1_2021_759.pdf,15,18,1771,16,18,R,-1,-1,1,0,0,0,F,0,0,D2,2021
PADEKSA,SAMBRE AVESNOIS HANDBALL,PETIT clement,STELLA SPORTS SAINT MAUR HANDBALL,SAMSON remi,J14,28,25,rencontre_D2F_1_2021_760.pdf,15,12,1787,15,13,R,1,1,1,1,1,0,F,0,1,D2,2021
PADEKSC,AS CANNES-MANDELIEU HANDBALL,POPOVIC jelena,CLUB ATHLETIQUE BEGLAIS,LUBETH jean,J1,26,29,rencontre_D2F_2_2021_762.pdf,11,13,1781,12,14,R,-1,-1,-1,0,0,0,F,0,0,D2,2021
PADEKSL,ROCHECHOUART-ST-JUNIEN HANDBALL 87,PAQUIER nicolas,CELLES SUR BELLE MELLOIS EN POITOU,VINCENT thierry,J3,24,35,rencontre_D2F_2_2021_771.pdf,16,13,1737,16,13,R,1,1,-1,1,0,0,F,0,0,D2,2021
PADEKSO,CELLES SUR BELLE MELLOIS EN POITOU,VINCENT thierry,LE POUZIN HB,BOYRON mathieu,J4,32,19,rencontre_D2F_2_2021_774.pdf,15,13,1779,15,13,R,1,1,1,1,0,0,F,0,0,D2,2021
PADEKTD,ASUL VAULX EN VELIN,SEUTCHIE ludovic,ROCHECHOUART-ST-JUNIEN HANDBALL,PAQUIER nicolas,J8,27,25,rencontre_D2F_2_2021_789.pdf,12,13,1770,13,14,R,-1,-1,1,0,0,0,F,0,0,D2,2021
PADEKTE,CLUB ATHLETIQUE BEGLAIS,LUBETH jean,AS CANNES-MANDELIEU HANDBALL,SEDANO stephane,J8,33,26,rencontre_D2F_2_2021_790.pdf,12,11,1754,12,12,R,1,0,1,0,0,0,F,0,0,D2,2021
PADEKTJ,BOUILLARGUES HANDBALL NIMES METROPOLE,CENDRE delphine,CLUB ATHLETIQUE BEGLAIS,LUBETH jean,J9,26,26,rencontre_D2F_2_2021_795.pdf,14,13,1779,15,14,R,1,1,0,1,0,0,F,0,0,D2,2021
PADEKTM,AS CANNES-MANDELIEU HANDBALL,SEDANO stephane,BOUILLARGUES HANDBALL NIMES METROPOLE,CENDRE delphine,J10,27,35,rencontre_D2F_2_2021_798.pdf,19,18,1795,20,18,R,1,1,-1,1,0,0,F,1,1,D2,2021
PADEKTP,ASUL VAULX EN VELIN,SEUTCHIE ludovic,BOUILLARGUES HANDBALL NIMES METROPOLE,CENDRE delphine,J11,23,25,rencontre_D2F_2_2021_801.pdf,8,9,1790,9,10,R,-1,-1,-1,0,0,0,F,1,0,D2,2021
PADEKTQ,LE POUZIN HB 07,BOYRON mathieu,CELLES SUR BELLE MELLOIS EN POITOU,VINCENT thierry,J11,24,36,rencontre_D2F_2_2021_802.pdf,15,15,1799,16,15,R,0,1,-1,1,0,0,F,0,0,D2,2021
PADEKTR,HANDBALL CLERMONT AUVERGNE METROPOLE 63,KABOUSS jamal,AS CANNES-MANDELIEU HANDBALL,SEDANO stephane,J11,40,33,rencontre_D2F_2_2021_803.pdf,17,17,1797,17,19,R,0,-1,1,0,1,0,F,0,1,D2,2021
PADEKTW,AS CANNES-MANDELIEU HANDBALL,SEDANO stephane,ROCHECHOUART-ST-JUNIEN HANDBALL,PAQUIER nicolas,J12,26,20,rencontre_D2F_2_2021_808.pdf,12,11,1796,14,12,R,1,1,1,1,0,1,F,0,0,D2,2021
PADEKTX,ASUL VAULX EN VELIN,SEUTCHIE ludovic,HANDBALL CLERMONT AUVERGNE METROPOLE,KABOUSS jamal,J13,32,29,rencontre_D2F_2_2021_809.pdf,16,15,1783,17,16,R,1,1,1,1,0,1,F,0,0,D2,2021
PADEKUB,CLUB ATHLETIQUE BEGLAIS,CASARAMONA julien,ASUL VAULX EN VELIN,SEUTCHIE ludovic,J14,22,22,rencontre_D2F_2_2021_813.pdf,14,11,1790,14,12,R,1,1,0,1,1,0,F,0,0,D2,2021
PADEKUC,HANDBALL CLERMONT AUVERGNE METROPOLE 63,DIENNA jean,ROCHECHOUART-ST-JUNIEN HANDBALL,PAQUIER nicolas,J14,33,31,rencontre_D2F_2_2021_814.pdf,15,13,1788,15,13,R,1,1,1,1,0,0,F,1,0,D2,2021
PADEKUE,BOUILLARGUES HANDBALL NIMES METROPOLE,CENDRE delphine,LE POUZIN HB,BOYRON mathieu,J14,38,32,rencontre_D2F_2_2021_816.pdf,20,17,1710,20,17,R,1,1,1,1,0,0,F,0,1,D2,2021
PADFCSB,CHAMBRAY TOURAINE HANDBALL,DELARUE jerome,JDA DIJON HANDBALL,MAZEL christophe,J1,27,27,rencontre_D1F_2021_7919.pdf,12,11,1741,12,12,R,1,0,0,0,0,0,F,0,0,D1,2021
PADFCSE,PARIS 92,MESSAOUDI yacine,HBC ST AMAND LES EAUX PORTE DU HAINAUT,SAUVAL florence,J2,32,17,rencontre_D1F_2021_7922.pdf,12,10,1792,13,11,R,1,1,1,1,0,0,F,0,0,D1,2021
PADFCSG,FLEURY LOIRET HANDBALL,CASSAN christophe,TOULON,PUIGSEGUR laurent,J2,28,22,rencontre_D1F_2021_7924.pdf,10,9,1787,11,9,R,1,1,1,1,0,0,F,0,1,D1,2021
PADFCSL,PARIS 92,MESSAOUDI yacine,MERIGNAC HANDBALL,CHAGNARD christophe,J3,28,22,rencontre_D1F_2021_7929.pdf,15,15,1780,16,15,R,0,1,1,1,0,0,F,0,1,D1,2021
PADFCTB,MERIGNAC HANDBALL,CHAGNARD christophe,OGC NICE COTE D'AZUR HANDBALL,KOLEV marjan,J5,24,21,rencontre_D1F_2021_7945.pdf,11,10,1797,11,11,R,1,0,1,0,0,0,F,0,0,D1,2021
PADFCTR,MERIGNAC HANDBALL,CHAGNARD christophe,ES BESANCON FEMININ,TERVEL raphaelle,J7,24,29,rencontre_D1F_2021_7961.pdf,12,11,1780,12,12,R,1,0,-1,0,0,0,F,0,1,D1,2021
PADFCUD,OGC NICE COTE D'AZUR HANDBALL,KOLEV marjan,ES BESANCON FEMININ,TERVEL raphaelle,J9,31,25,rencontre_D1F_2021_7973.pdf,12,11,1795,13,11,R,1,1,1,1,0,0,F,0,0,D1,2021
PADFCUH,MERIGNAC HANDBALL,CHAGNARD christophe,HBC ST AMAND LES EAUX PORTE DU HAINAUT,SAUVAL florence,J9,26,26,rencontre_D1F_2021_7977.pdf,12,14,1765,12,14,R,-1,-1,0,0,0,1,F,1,1,D1,2021
PADFCUI,JDA DIJON HANDBALL,MAZEL christophe,PARIS,MESSAOUDI yacine,J10,21,21,rencontre_D1F_2021_7978.pdf,11,12,1755,11,12,R,-1,-1,0,0,0,0,F,1,0,D1,2021
PADFCUL,FLEURY LOIRET HANDBALL,CASSAN christophe,OGC NICE COTE D'AZUR HANDBALL,KOLEV marjan,J10,25,30,rencontre_D1F_2021_7981.pdf,13,11,1765,14,11,R,1,1,-1,1,0,0,F,0,1,D1,2021
PADFCUR,FLEURY LOIRET HANDBALL,CASSAN christophe,NANTES ATLANTIQUE HANDBALL,SAURINA guillaume,J11,24,36,rencontre_D1F_2021_7987.pdf,13,16,1689,13,16,R,-1,-1,-1,0,0,0,F,0,0,D1,2021
PADFCUU,MERIGNAC HANDBALL,CHAGNARD christophe,HANDBALL PLAN DE CUQUES,SPINCER angelique,J11,29,19,rencontre_D1F_2021_7990.pdf,12,10,1795,13,11,R,1,1,1,1,0,0,F,0,0,D1,2021
PADFCUV,CHAMBRAY TOURAINE HANDBALL,DELARUE jerome,TOULON,PUIGSEGUR laurent,J11,27,26,rencontre_D1F_2021_7991.pdf,13,16,1747,13,17,R,-1,-1,1,0,0,0,F,0,0,D1,2021
PADFCVD,FLEURY LOIRET HANDBALL,CASSAN christophe,PARIS,MESSAOUDI yacine,J13,23,25,rencontre_D1F_2021_7999.pdf,13,13,1787,13,14,R,0,-1,-1,0,0,0,F,0,0,D1,2021
PADFCVE,BOURG DE PEAGE DROME HANDBALL,COMTE camille,BREST BRETAGNE HANDBALL,BEZEAU laurent,J13,26,29,rencontre_D1F_2021_8000.pdf,11,13,1683,11,13,R,-1,-1,-1,0,0,0,F,0,0,D1,2021
PADFCVG,MERIGNAC HANDBALL,CHAGNARD christophe,JDA DIJON HANDBALL,MAZEL christophe,J13,23,26,rencontre_D1F_2021_8002.pdf,8,11,1758,9,11,R,-1,-1,-1,0,0,0,F,0,0,D1,2021
PADFCVI,CHAMBRAY TOURAINE HANDBALL,DELARUE jerome,METZ HANDBALL,MAYONNADE emmanuel,J13,23,29,rencontre_D1F_2021_8004.pdf,14,16,1701,14,16,R,-1,-1,-1,0,0,0,F,0,0,D1,2021
PADFGXC,BOURG DE PEAGE DROME HANDBALL,COMTE camille,CHAMBRAY TOURAINE HANDBALL,DELARUE jerome,J3,20,29,rencontre_D1F_2021_7931.pdf,11,12,1798,11,13,R,-1,-1,-1,0,0,0,F,0,0,D1,2021
PADFQRL,CESSON RENNES METROPOLE HB,LERICHE sebastien,SAINT RAPHAEL VHB,FORTUNEANU dan,J1,27,27,rencontre_D1H_2021_351.pdf,13,12,1768,14,12,R,1,1,0,1,0,0,H,0,0,D1,2021
PADFQRS,PARIS SAINT-GERMAIN HANDBALL,GUTIERREZ raul,PAYS AIX UNIVERSITE CLUB HANDBALL,ANTI thierry,J1,34,31,rencontre_D1H_2021_358.pdf,14,12,1799,15,13,R,1,1,1,1,0,0,H,1,0,D1,2021
PADFQSA,TREMBLAY EN FRANCE HANDBALL,SILVA joel,CHAMBERY SAVOIE HB,MATHE erick,J2,24,27,rencontre_D1H_2021_366.pdf,13,14,1707,13,14,R,-1,-1,-1,0,0,0,H,0,0,D1,2021
PADFQSF,UNION SPORTIVE IVRY HANDBALL,QUINTALLET sebastien,DUNKERQUE HANDBALL GRAND LITTORAL,CAZAL patrick,J3,20,23,rencontre_D1H_2021_371.pdf,6,8,1788,7,8,R,-1,-1,-1,0,0,0,H,1,0,D1,2021
PADFQSG,HBC NANTAIS,RODRIGUEZ alberto,FENIX TOULOUSE HANDBALL,GARDENT philippe,J3,31,28,rencontre_D1H_2021_372.pdf,14,12,1769,15,12,R,1,1,1,1,0,0,H,0,0,D1,2021
PADFQSH,USAM NIMES GARD,MAURICE franck,MONTPELLIER HANDBALL,CANAYER patrice,J3,24,25,rencontre_D1H_2021_373.pdf,11,14,1686,11,14,R,-1,-1,-1,0,0,0,H,0,0,D1,2021
PADFQSL,DUNKERQUE HANDBALL GRAND LITTORAL,CAZAL patrick,SAINT RAPHAEL VHB,FORTUNEANU dan,J4,24,25,rencontre_D1H_2021_377.pdf,13,11,1776,14,12,R,1,1,-1,1,0,0,H,1,1,D1,2021
PADFQSM,LIMOGES HAND 87,HAYATOUNE tarik,ISTRES PROVENCE HANDBALL,DEROT gilles,J4,27,27,rencontre_D1H_2021_378.pdf,12,13,1798,13,14,R,-1,-1,0,0,0,0,H,0,0,D1,2021
PADFQSN,MONTPELLIER HANDBALL,CANAYER patrice,HBC NANTAIS,RODRIGUEZ alberto,J4,27,27,rencontre_D1H_2021_379.pdf,14,12,1725,14,12,R,1,1,0,1,0,0,H,0,0,D1,2021
PADFQSP,PARIS SAINT-GERMAIN HANDBALL,GUTIERREZ raul,FENIX TOULOUSE HANDBALL,GARDENT philippe,J4,41,35,rencontre_D1H_2021_381.pdf,20,18,1761,21,18,R,1,1,1,1,0,0,H,0,0,D1,2021
PADFQSR,CESSON RENNES METROPOLE HB,LERICHE sebastien,LIMOGES HAND,HAYATOUNE tarik,J5,26,30,rencontre_D1H_2021_383.pdf,13,10,1768,13,11,R,1,1,-1,1,0,0,H,0,1,D1,2021
PADFQSS,CHAMBERY SAVOIE HB,MATHE erick,USAM NIMES GARD,BOURGUIGNON gabriel,J5,29,29,rencontre_D1H_2021_384.pdf,13,13,1760,13,14,R,0,-1,0,0,0,0,H,1,1,D1,2021
PADFQSX,SAINT RAPHAEL VHB,FORTUNEANU dan,C'CHARTRES METROPOLE HANDBALL,SALAET toni,J5,33,34,rencontre_D1H_2021_389.pdf,14,15,1793,14,15,R,-1,-1,-1,0,0,0,H,0,1,D1,2021
PADFQSY,FENIX TOULOUSE HANDBALL,GARDENT philippe,DUNKERQUE HANDBALL GRAND LITTORAL,CAZAL patrick,J5,27,30,rencontre_D1H_2021_390.pdf,15,15,1777,16,15,R,0,1,-1,1,0,0,H,0,0,D1,2021
PADFQTA,C'CHARTRES METROPOLE HANDBALL,SALAET toni,FENIX TOULOUSE HANDBALL,GARDENT philippe,J6,25,27,rencontre_D1H_2021_392.pdf,14,16,1727,14,16,R,-1,-1,-1,0,0,0,H,0,0,D1,2021
PADFQTC,DUNKERQUE HANDBALL GRAND LITTORAL,CAZAL patrick,CESSON RENNES METROPOLE HB,LERICHE sebastien,J6,32,29,rencontre_D1H_2021_394.pdf,16,15,1772,17,16,R,1,1,1,1,0,0,H,0,0,D1,2021
PADFQTD,LIMOGES HAND 87,HAYATOUNE tarik,HBC NANTAIS,RODRIGUEZ alberto,J6,32,31,rencontre_D1H_2021_395.pdf,13,15,1787,13,15,R,-1,-1,1,0,0,0,H,1,1,D1,2021
PADFQTV,USAM NIMES GARD,MAURICE franck,PARIS SAINT-GERMAIN HANDBALL,GUTIERREZ raul,J8,27,31,rencontre_D1H_2021_413.pdf,16,15,1797,16,16,R,1,0,-1,0,0,1,H,0,0,D1,2021
PADFQUD,FENIX TOULOUSE HANDBALL,GARDENT philippe,US CRETEIL HANDBALL,MONTORIER pierre,J9,30,29,rencontre_D1H_2021_421.pdf,14,12,1797,15,12,R,1,1,1,1,1,0,H,0,0,D1,2021
PADFQUK,HBC NANTAIS,RODRIGUEZ alberto,CESSON RENNES METROPOLE HB,LERICHE sebastien,J10,41,21,rencontre_D1H_2021_428.pdf,14,11,1773,14,12,R,1,1,1,1,0,0,H,0,0,D1,2021
PADFQUT,SAINT RAPHAEL VHB,FORTUNEANU dan,LIMOGES HAND,HAYATOUNE tarik,J11,35,30,rencontre_D1H_2021_437.pdf,15,15,1792,16,15,R,0,1,1,1,0,0,H,0,0,D1,2021
PADFQUU,TREMBLAY EN FRANCE HANDBALL,SILVA joel,C'CHARTRES METROPOLE HANDBALL,SALAET toni,J11,23,28,rencontre_D1H_2021_438.pdf,10,11,1759,11,11,R,-1,0,-1,1,0,0,H,1,0,D1,2021
PADFQUZ,HBC NANTAIS,RODRIGUEZ alberto,PARIS SAINT-GERMAIN HANDBALL,GUTIERREZ raul,J12,24,26,rencontre_D1H_2021_443.pdf,11,12,1704,11,12,R,-1,-1,-1,0,0,0,H,0,0,D1,2021
PADFQVA,USAM NIMES GARD,MAURICE franck,SAINT RAPHAEL VHB,FORTUNEANU dan,J12,30,29,rencontre_D1H_2021_444.pdf,14,14,1783,14,15,R,0,-1,1,0,0,0,H,0,0,D1,2021
PADFQVD,PAYS AIX UNIVERSITE CLUB HANDBALL,ANTI thierry,HBC NANTAIS,RODRIGUEZ alberto,J13,31,29,rencontre_D1H_2021_447.pdf,14,12,1746,14,12,R,1,1,1,1,1,0,H,0,0,D1,2021
PADFQVF,C'CHARTRES METROPOLE HANDBALL,SALAET toni,LIMOGES HAND,HAYATOUNE tarik,J13,32,35,rencontre_D1H_2021_449.pdf,6,8,1139,6,8,R,-1,-1,-1,0,0,0,H,0,0,D1,2021
PADFQVI,MONTPELLIER HANDBALL,CANAYER patrice,PARIS SAINT-GERMAIN HANDBALL,GUTIERREZ raul,J13,32,36,rencontre_D1H_2021_452.pdf,18,16,1786,19,17,R,1,1,-1,1,0,1,H,0,0,D1,2021
PADFQVT,CESSON RENNES METROPOLE HB,LERICHE sebastien,UNION SPORTIVE IVRY HANDBALL,QUINTALLET sebastien,J15,28,32,rencontre_D1H_2021_463.pdf,16,17,1734,16,17,R,-1,-1,-1,0,0,0,H,0,0,D1,2021
PADFQVV,C'CHARTRES METROPOLE HANDBALL,SALAET toni,USAM NIMES GARD,MAURICE franck,J15,27,35,rencontre_D1H_2021_465.pdf,13,16,1798,13,17,R,-1,-1,-1,0,0,0,H,0,1,D1,2021
PADFQVW,DUNKERQUE HANDBALL GRAND LITTORAL,CAZAL patrick,TREMBLAY EN FRANCE HANDBALL,SILVA joel,J15,25,24,rencontre_D1H_2021_466.pdf,12,11,1783,12,12,R,1,0,1,0,1,0,H,0,0,D1,2021
PADFQVX,LIMOGES HAND 87,HAYATOUNE tarik,PAYS AIX UNIVERSITE CLUB HANDBALL,ANTI thierry,J15,31,31,rencontre_D1H_2021_467.pdf,17,15,1799,18,16,R,1,1,0,1,0,0,H,0,0,D1,2021
PADFQVY,MONTPELLIER HANDBALL,CANAYER patrice,FENIX TOULOUSE HANDBALL,GARDENT philippe,J15,34,31,rencontre_D1H_2021_468.pdf,16,16,1764,17,16,R,0,1,1,1,0,0,H,0,0,D1,2021
PADFQWB,PAYS AIX UNIVERSITE CLUB HANDBALL,ANTI thierry,CESSON RENNES METROPOLE HB,LERICHE sebastien,J16,33,28,rencontre_D1H_2021_471.pdf,15,12,1755,15,13,R,1,1,1,1,0,0,H,0,0,D1,2021
PADFQWD,UNION SPORTIVE IVRY HANDBALL,QUINTALLET sebastien,C'CHARTRES METROPOLE HANDBALL,SALAET toni,J16,31,23,rencontre_D1H_2021_473.pdf,16,13,1751,16,13,R,1,1,1,1,1,0,H,0,0,D1,2021
PADFQWE,USAM NIMES GARD,MAURICE franck,CHAMBERY SAVOIE HB,MATHE erick,J16,28,32,rencontre_D1H_2021_474.pdf,12,13,1772,13,14,R,-1,-1,-1,0,0,0,H,1,0,D1,2021
PADFQWG,SAINT RAPHAEL VHB,FORTUNEANU dan,MONTPELLIER HANDBALL,CANAYER patrice,J16,29,30,rencontre_D1H_2021_476.pdf,18,16,1779,19,16,R,1,1,-1,1,0,0,H,0,1,D1,2021
PADFQWP,MONTPELLIER HANDBALL,CANAYER patrice,UNION SPORTIVE IVRY HANDBALL,QUINTALLET sebastien,J17,34,26,rencontre_D1H_2021_485.pdf,14,13,1740,15,13,R,1,1,1,1,0,0,H,0,1,D1,2021
PADFQWQ,HBC NANTAIS,RODRIGUEZ alberto,PAYS AIX UNIVERSITE CLUB HANDBALL,ANTI thierry,J17,23,23,rencontre_D1H_2021_486.pdf,12,9,1772,13,10,R,1,1,0,1,0,0,H,0,0,D1,2021
PADFQWR,PAYS AIX UNIVERSITE CLUB HANDBALL,ANTI thierry,C'CHARTRES METROPOLE HANDBALL,SALAET toni,J18,24,25,rencontre_D1H_2021_487.pdf,9,10,1799,10,10,R,-1,0,-1,1,0,0,H,0,0,D1,2021
PADFQWW,SAINT RAPHAEL VHB,FORTUNEANU dan,CESSON RENNES METROPOLE HB,LERICHE sebastien,J18,27,25,rencontre_D1H_2021_492.pdf,8,10,1767,8,10,R,-1,-1,1,0,0,0,H,0,0,D1,2021
PADFQWX,FENIX TOULOUSE HANDBALL,GARDENT philippe,CHAMBERY SAVOIE HB,MATHE erick,J18,25,26,rencontre_D1H_2021_493.pdf,12,14,1798,12,14,R,-1,-1,-1,0,0,0,H,0,0,D1,2021
PADFQWY,TREMBLAY EN FRANCE HANDBALL,SILVA joel,LIMOGES HAND,HAYATOUNE tarik,J18,30,29,rencontre_D1H_2021_494.pdf,17,14,1683,17,14,R,1,1,1,1,0,0,H,0,0,D1,2021
PADFQWZ,PAYS AIX UNIVERSITE CLUB HANDBALL,ANTI thierry,SAINT RAPHAEL VHB,FORTUNEANU dan,J19,26,28,rencontre_D1H_2021_495.pdf,11,14,1782,12,14,R,-1,-1,-1,0,0,0,H,0,0,D1,2021
PADFQXB,C'CHARTRES METROPOLE HANDBALL,SALAET toni,ISTRES PROVENCE HANDBALL,DEROT gilles,J19,29,28,rencontre_D1H_2021_497.pdf,14,14,1794,14,15,R,0,-1,1,0,1,0,H,1,1,D1,2021
PADFQXF,HBC NANTAIS,RODRIGUEZ alberto,USAM NIMES GARD,MAURICE franck,J19,31,27,rencontre_D1H_2021_501.pdf,16,14,1731,16,14,R,1,1,1,1,0,0,H,1,0,D1,2021
PADFQXG,PARIS SAINT-GERMAIN HANDBALL,GUTIERREZ raul,UNION SPORTIVE IVRY HANDBALL,QUINTALLET sebastien,J19,34,25,rencontre_D1H_2021_502.pdf,14,16,1736,14,16,R,-1,-1,1,0,0,0,H,0,0,D1,2021
PADFQXL,MONTPELLIER HANDBALL,CANAYER patrice,LIMOGES HAND,HAYATOUNE tarik,J20,37,29,rencontre_D1H_2021_507.pdf,19,16,1778,19,16,R,1,1,1,1,1,0,H,1,1,D1,2021
PADFQXW,TREMBLAY EN FRANCE HANDBALL,SILVA joel,CESSON RENNES METROPOLE HB,LERICHE sebastien,J21,26,27,rencontre_D1H_2021_518.pdf,10,13,1750,11,13,R,-1,-1,-1,0,0,0,H,0,0,D1,2021
PADFQXY,CHAMBERY SAVOIE HB,MATHE erick,US CRETEIL HANDBALL,ESPARRE christophe,J22,28,30,rencontre_D1H_2021_520.pdf,14,15,1765,14,15,R,-1,-1,-1,0,1,0,H,0,0,D1,2021
PADFQYC,USAM NIMES GARD,MAURICE franck,PAYS AIX UNIVERSITE CLUB HANDBALL,ANTI thierry,J22,25,26,rencontre_D1H_2021_524.pdf,13,11,1794,14,12,R,1,1,-1,1,0,1,H,0,0,D1,2021
PADFQYE,FENIX TOULOUSE HANDBALL,GARDENT philippe,HBC NANTAIS,RODRIGUEZ alberto,J22,29,29,rencontre_D1H_2021_526.pdf,13,13,1760,13,14,R,0,-1,0,0,0,0,H,1,0,D1,2021
PADFQYG,C'CHARTRES METROPOLE HANDBALL,SALAET toni,CHAMBERY SAVOIE HB,MATHE erick,J23,21,22,rencontre_D1H_2021_528.pdf,13,11,1774,13,12,R,1,1,-1,1,0,0,H,0,0,D1,2021
PADFQYH,ISTRES PROVENCE HANDBALL,DEROT gilles,UNION SPORTIVE IVRY HANDBALL,QUINTALLET sebastien,J23,30,28,rencontre_D1H_2021_529.pdf,11,12,1787,12,12,R,-1,0,1,1,0,0,H,0,1,D1,2021
PADFQYL,SAINT RAPHAEL VHB,FORTUNEANU dan,USAM NIMES GARD,MAURICE franck,J23,30,34,rencontre_D1H_2021_533.pdf,16,13,1741,16,13,R,1,1,-1,1,0,0,H,0,1,D1,2021
PADFQYS,USAM NIMES GARD,MAURICE franck,CESSON RENNES METROPOLE HB,LERICHE sebastien,J24,29,27,rencontre_D1H_2021_540.pdf,12,12,1798,13,12,R,0,1,1,1,0,0,H,0,0,D1,2021
PADFQYU,FENIX TOULOUSE HANDBALL,GARDENT philippe,SAINT RAPHAEL VHB,FORTUNEANU dan,J24,32,27,rencontre_D1H_2021_542.pdf,14,11,1778,15,11,R,1,1,1,1,0,0,H,1,0,D1,2021
PADFQYW,CESSON RENNES METROPOLE HB,LERICHE sebastien,MONTPELLIER HANDBALL,CANAYER patrice,J25,28,33,rencontre_D1H_2021_544.pdf,14,17,1791,15,18,R,-1,-1,-1,0,0,0,H,0,1,D1,2021
PADFQYZ,LIMOGES HAND 87,HAYATOUNE tarik,PARIS SAINT-GERMAIN HANDBALL,GUTIERREZ raul,J25,28,41,rencontre_D1H_2021_547.pdf,18,21,1779,19,21,R,-1,-1,-1,0,0,1,H,0,0,D1,2021
