code_rencontre,club_recevant,coach_recevant,club_visiteur,coach_visiteur,journee,score_final_r,score_final_v,fichier,score_recevant_29_min,score_visiteur_29_min,temps_proche_30_min,score_recevant_30_min,score_visiteur_30_min,equipe,statut_29_min,statut_30_min,statut_final,effet_positif,TM_derniere_min,TM_derniere_min_adverse,HF,DM,DM_adverse,division,saison
SAEEAFV,CESSON RENNES METROPOLE HB,LERICHE sebastien,PAYS AIX UNIVERSITE CLUB HANDBALL,ANTI thierry,J12,25,28,rencontre_D1H_2223_4040.pdf,13,13,1798,13,15,R,0,-1,-1,0,0,0,H,0,0,D1,2223
SAEEAFW,C'CHARTRES METROPOLE HANDBALL,SALAET toni,USAM NIMES GARD,CHAUVET jerome,J12,28,31,rencontre_D1H_2223_4041.pdf,14,13,1789,15,14,R,1,1,-1,1,0,0,H,1,1,D1,2223
SAEEAGA,PARIS SAINT-GERMAIN HANDBALL,GUTIERREZ raul,CESSON RENNES METROPOLE HB,LERICHE sebastien,J13,36,32,rencontre_D1H_2223_4045.pdf,17,14,1779,17,15,R,1,1,1,1,1,0,H,0,0,D1,2223
SAEEAGC,CHAMBERY SAVOIE HB,MATHE erick,ISTRES PROVENCE HANDBALL,DEROT gilles,J13,32,25,rencontre_D1H_2223_4047.pdf,13,10,1779,14,11,R,1,1,1,1,0,0,H,0,0,D1,2223
SAEEAGF,US CRETEIL HANDBALL,DELGADO fernando,LIMOGES HAND,RODRIGUEZ alberto,J13,24,32,rencontre_D1H_2223_4050.pdf,14,17,1719,14,17,R,-1,-1,-1,0,0,0,H,0,0,D1,2223
SAEEAGH,SELESTAT ALSACE HANDBALL,BUSSELIER laurent,MONTPELLIER HANDBALL,CANAYER patrice,J13,28,33,rencontre_D1H_2223_4052.pdf,13,16,1785,13,17,R,-1,-1,-1,0,0,0,H,0,0,D1,2223
SAEEAGI,PAYS AIX UNIVERSITE CLUB HANDBALL,ANTI thierry,HBC NANTES,COJEAN gregory,J14,27,35,rencontre_D1H_2223_4053.pdf,14,16,1752,15,16,R,-1,-1,-1,0,0,0,H,0,0,D1,2223
SAEEAGJ,MONTPELLIER HANDBALL,CANAYER patrice,PARIS SAINT-GERMAIN HANDBALL,GUTIERREZ raul,J14,31,30,rencontre_D1H_2223_4054.pdf,17,16,1796,17,17,R,1,0,1,0,0,1,H,0,0,D1,2223
SAEEAGK,FENIX TOULOUSE HANDBALL,ANDELKOVIC danijel,CHAMBERY SAVOIE HB,MATHE erick,J14,30,31,rencontre_D1H_2223_4055.pdf,14,16,1789,14,17,R,-1,-1,-1,0,0,1,H,1,0,D1,2223
SAEEAGL,CESSON RENNES METROPOLE HB,LERICHE sebastien,USAM NIMES GARD,VRANJES ljubomir,J14,22,23,rencontre_D1H_2223_4056.pdf,8,9,1691,8,9,R,-1,-1,-1,0,0,0,H,0,0,D1,2223
