;club;division;saison;HF;match_joue;total_point;J1;J2;J3;J4;J5;J6;J7;J8;J9;J10;J11;J12;J13;J14;J15;J16;J17;J18;J19;J20;J21;J22;J23;J24;J25;J26;J27;J28;J29;J30
29;SAMBRE AVESNOIS HANDBALL;D2;2021;F;14;31;1;1;3;3;3;3;1;3;3;1;1;3;2;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
30;STELLA SPORTS SAINT MAUR HANDBALL;D2;2021;F;14;33;3;3;3;2;3;1;3;3;1;3;3;3;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;BOURG DE PEAGE DROME HANDBALL;D1;2122;F;26;61;3;3;3;3;3;3;1;3;3;2;1;3;3;1;3;1;3;1;3;1;3;1;3;3;3;1;NA;NA;NA;NA
32;BREST BRETAGNE HANDBALL;D1;2122;F;26;68;1;3;3;3;3;3;1;3;1;3;3;3;3;3;3;3;3;3;3;3;3;3;1;3;3;1;NA;NA;NA;NA
33;CELLES SUR BELLE MELLOIS EN POITOU;D1;2122;F;26;34;3;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;3;2;1;1;1;1;2;1;1;NA;NA;NA;NA
34;CHAMBRAY TOURAINE HANDBALL;D1;2122;F;26;53;1;1;1;3;3;2;3;3;2;1;1;3;3;3;3;3;1;1;2;1;1;3;1;1;3;3;NA;NA;NA;NA
35;ES BESANCON FEMININ;D1;2122;F;26;61;1;3;3;1;1;3;3;1;3;3;1;3;3;1;1;3;3;3;3;3;3;3;3;1;2;3;NA;NA;NA;NA
36;FLEURY LOIRET HANDBALL;D1;2122;F;26;32;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;NA;NA;NA;NA
37;HANDBALL PLAN DE CUQUES;D1;2122;F;26;38;1;1;1;3;1;1;3;1;1;1;1;3;1;1;1;1;1;3;1;1;1;3;1;1;2;2;NA;NA;NA;NA
38;JDA DIJON HANDBALL;D1;2122;F;26;47;2;3;1;1;3;3;3;1;3;1;1;1;1;3;3;1;1;1;1;3;1;1;3;1;1;3;NA;NA;NA;NA
39;LES NEPTUNES DE NANTES;D1;2122;F;26;58;3;3;1;1;3;1;1;3;3;3;3;1;1;3;3;3;3;1;3;1;3;1;3;3;1;3;NA;NA;NA;NA
40;MERIGNAC HANDBALL;D1;2122;F;26;42;2;1;2;3;1;2;3;1;1;3;3;1;1;1;1;1;1;1;1;3;1;3;1;2;1;1;NA;NA;NA;NA
41;METZ HANDBALL;D1;2122;F;26;78;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;NA;NA;NA;NA
42;OGC NICE COTE D'AZUR HANDBALL;D1;2122;F;26;51;1;1;2;1;1;1;3;3;2;3;3;1;3;1;1;3;1;3;3;3;3;1;1;1;3;2;NA;NA;NA;NA
43;PARIS;D1;2122;F;26;63;3;3;3;3;3;1;1;3;3;2;1;3;3;3;3;1;3;3;1;3;3;3;3;3;1;1;NA;NA;NA;NA
44;TOULON METROPOLE VAR HANDBALL;D1;2122;F;26;42;3;1;3;1;1;1;1;1;1;1;3;1;1;3;1;3;3;1;1;1;1;1;3;3;1;1;NA;NA;NA;NA
45;ACHENHEIM TRUCHTERSHEIM;D2;2122;F;26;53;3;3;3;1;3;3;1;3;1;2;1;1;3;3;1;3;1;1;1;1;3;1;3;3;1;3;NA;NA;NA;NA
46;AS CANNES-MANDELIEU HANDBALL;D2;2122;F;26;26;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA
47;ASUL VAULX EN VELIN;D2;2122;F;26;48;1;3;3;1;1;3;3;1;3;3;1;1;1;1;3;3;2;1;1;2;3;3;1;1;1;1;NA;NA;NA;NA
48;BOUILLARGUES HANDBALL NIMES METROPOLE;D2;2122;F;26;59;3;3;1;1;3;3;3;1;2;1;3;3;1;3;3;1;3;3;1;3;2;3;2;1;3;3;NA;NA;NA;NA
49;CLUB ATHLETIQUE BEGLAIS;D2;2122;F;26;52;3;3;1;3;3;3;1;1;2;2;3;3;1;1;1;1;3;1;3;1;1;1;1;3;3;3;NA;NA;NA;NA
50;HANDBALL CLERMONT AUVERGNE METROPOLE;D2;2122;F;26;51;1;1;1;3;1;3;1;2;3;1;3;3;3;1;3;1;3;1;3;1;3;1;3;3;1;1;NA;NA;NA;NA
51;HAVRE ATHLETIC CLUB HB;D2;2122;F;26;58;3;1;3;3;1;1;1;2;3;1;3;3;1;3;2;3;1;3;3;3;1;3;3;1;3;3;NA;NA;NA;NA
52;HB OCTEVILLE SUR MER;D2;2122;F;26;39;1;1;1;3;1;1;1;1;1;1;3;3;1;3;1;1;2;3;1;1;1;1;1;1;3;1;NA;NA;NA;NA
53;HBC AULNOYE AYMERIES;D2;2122;F;26;66;3;3;3;1;3;3;3;3;3;1;1;1;3;3;2;3;3;3;1;3;2;3;3;3;3;3;NA;NA;NA;NA
54;NOISY LE GRAND HANDBALL;D2;2122;F;26;55;3;1;3;3;1;1;3;3;3;3;1;1;3;2;1;3;1;3;3;3;1;3;1;3;1;1;NA;NA;NA;NA
55;RENNES METROPOLE HB;D2;2122;F;26;44;1;3;1;1;1;1;1;3;1;3;1;1;1;2;3;1;1;1;3;2;3;3;3;1;1;1;NA;NA;NA;NA
56;ROCHECHOUART-ST-JUNIEN HANDBALL;D2;2122;F;26;38;1;1;1;1;3;1;3;1;1;3;3;1;3;1;1;1;1;1;1;1;1;1;3;1;1;1;NA;NA;NA;NA
57;ST AMAND HANDBALL - PORTE DU HAINAUT;D2;2122;F;26;71;3;3;3;3;3;1;3;3;3;3;1;3;3;3;3;3;3;3;3;3;3;1;2;3;3;3;NA;NA;NA;NA
58;STELLA SAINT-MAUR HANDBALL;D2;2122;F;26;68;1;1;3;3;3;3;3;3;1;3;3;3;3;1;3;3;3;3;3;3;3;3;1;3;3;3;NA;NA;NA;NA
59;BREST BRETAGNE HANDBALL;D1;2223;F;24;62;3;3;3;3;3;3;3;1;3;NA;3;3;1;3;3;1;3;3;1;1;3;3;3;3;NA;3;NA;NA;NA;NA
60;CELLES SUR BELLE MELLOIS EN POITOU;D1;2223;F;24;38;3;3;3;1;NA;1;1;1;3;1;1;1;1;2;3;NA;1;1;1;3;1;2;1;1;1;1;NA;NA;NA;NA
61;CHAMBRAY TOURAINE HANDBALL;D1;2223;F;24;52;3;3;1;NA;3;1;3;3;1;1;3;3;3;1;3;3;1;3;1;1;3;NA;3;1;3;1;NA;NA;NA;NA
62;ES BESANCON FEMININ;D1;2223;F;24;52;3;1;2;3;1;1;1;1;NA;3;3;3;2;1;1;2;NA;1;3;3;3;3;3;3;3;2;NA;NA;NA;NA
63;HANDBALL PLAN DE CUQUES;D1;2223;F;24;40;3;1;3;1;1;3;1;1;1;3;NA;1;1;1;1;1;1;1;3;1;3;3;1;3;1;NA;NA;NA;NA;NA
64;JDA DIJON HANDBALL;D1;2223;F;24;52;1;1;NA;3;3;1;3;3;3;1;1;1;3;3;1;3;3;3;1;3;3;1;NA;3;1;3;NA;NA;NA;NA
65;LES NEPTUNES DE NANTES;D1;2223;F;24;56;1;3;3;3;3;3;NA;3;1;3;1;1;2;3;3;3;3;1;3;3;NA;2;3;1;1;3;NA;NA;NA;NA
66;MERIGNAC HANDBALL;D1;2223;F;24;36;1;1;1;1;1;1;3;1;3;3;1;3;NA;1;1;1;2;3;NA;2;1;1;1;1;1;1;NA;NA;NA;NA
67;METZ HANDBALL;D1;2223;F;24;72;NA;3;3;3;3;3;3;3;3;3;3;3;3;NA;3;3;3;3;3;3;3;3;3;3;3;3;NA;NA;NA;NA
68;OGC NICE COTE D'AZUR HANDBALL;D1;2223;F;24;47;1;1;1;1;1;3;1;3;1;3;3;NA;2;3;3;1;3;1;3;NA;1;1;3;1;3;3;NA;NA;NA;NA
69;PARIS;D1;2223;F;24;51;3;3;2;3;3;NA;3;1;3;1;3;1;3;2;NA;3;2;3;2;1;1;3;1;1;1;2;NA;NA;NA;NA
70;ST AMAND HANDBALL - PORTE DU HAINAUT;D1;2223;F;24;34;1;NA;1;1;1;1;1;3;1;1;1;3;1;3;1;2;1;1;1;2;1;1;1;NA;3;1;NA;NA;NA;NA
71;TOULON METROPOLE VAR HANDBALL;D1;2223;F;24;32;1;1;1;1;1;3;1;NA;1;1;1;1;2;1;1;1;1;NA;2;1;1;1;1;3;3;1;NA;NA;NA;NA
72;ACHENHEIM TRUCHTERSHEIM;D2;2223;F;24;63;3;3;1;3;3;3;3;3;3;1;3;NA;3;1;1;3;3;3;3;3;3;NA;3;3;2;3;NA;NA;NA;NA
73;ASUL VAULX EN VELIN;D2;2223;F;24;38;1;NA;3;1;3;1;1;1;1;1;2;3;1;1;NA;1;1;1;2;1;1;3;3;1;3;1;NA;NA;NA;NA
74;BOUILLARGUES HANDBALL NIMES METROPOLE;D2;2223;F;24;45;1;3;NA;3;1;1;1;3;3;3;1;3;1;1;3;NA;2;3;1;1;1;1;3;3;1;1;NA;NA;NA;NA
75;CLUB ATHLETIQUE BEGLAIS;D2;2223;F;24;43;3;3;1;3;1;1;3;NA;1;1;1;1;3;3;3;1;NA;1;1;1;1;1;3;3;2;1;NA;NA;NA;NA
76;HANDBALL CLERMONT AUVERGNE METROPOLE;D2;2223;F;24;56;1;3;3;NA;3;3;1;1;1;3;3;3;2;3;3;3;3;3;2;3;1;1;3;1;NA;3;NA;NA;NA;NA
