;club;division;saison;HF;match_joue;total_point;J1;J2;J3;J4;J5;J6;J7;J8;J9;J10;J11;J12;J13;J14;J15;J16;J17;J18;J19;J20;J21;J22;J23;J24;J25;J26;J27;J28;J29;J30
137;SARREBOURG MOSELLE SUD HANDBALL;D2;2021;H;22;35;1;1;1;3;1;3;1;2;1;1;1;3;1;1;1;2;NA;1;NA;NA;1;2;NA;3;3;1;NA;NA;NA;NA
138;SELESTAT ALSACE HANDBALL;D2;2021;H;25;45;3;3;3;3;3;1;3;1;1;2;1;1;2;1;3;1;1;1;1;1;1;3;1;1;3;NA;NA;NA;NA;NA
139;STRASBOURG EUROMETROPOLE HB;D2;2021;H;25;48;1;2;1;1;2;3;3;2;1;1;1;1;1;3;3;3;3;1;1;2;3;1;1;3;1;3;NA;NA;NA;NA
140;UMS PONTAULT-COMBAULT HANDBALL;D2;2021;H;26;68;3;3;1;3;3;3;1;1;3;3;1;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;NA;NA;NA;NA
141;VALENCE HANDBALL;D2;2021;H;25;45;3;1;1;1;1;1;3;2;1;2;3;1;3;3;1;3;1;1;1;3;1;1;NA;3;3;1;NA;NA;NA;NA
142;C'CHARTRES METROPOLE HANDBALL;D1;2122;H;30;52;3;1;2;1;3;3;1;3;1;1;1;3;1;3;1;3;1;1;2;1;1;3;1;3;1;1;1;1;1;3
143;CESSON RENNES METROPOLE HB;D1;2122;H;30;57;3;1;3;1;3;1;3;3;2;1;3;1;2;1;2;3;3;1;3;1;3;1;1;1;1;1;3;1;1;3
144;CHAMBERY SAVOIE HB;D1;2122;H;30;69;3;1;3;3;1;1;3;3;1;3;1;3;1;3;3;3;1;3;1;3;2;1;3;3;3;3;3;3;1;3
145;DUNKERQUE HANDBALL GRAND LITTORAL;D1;2122;H;30;50;1;1;1;1;3;1;3;1;3;3;1;1;1;3;1;1;1;3;1;3;1;3;3;1;1;1;1;1;3;1
146;FENIX TOULOUSE HANDBALL;D1;2122;H;30;62;1;1;1;3;1;1;3;3;2;2;3;3;2;3;3;1;3;1;2;3;3;3;3;3;1;1;3;1;1;1
147;GRAND NANCY METROPOLE HANDBALL;D1;2122;H;30;41;1;1;3;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;3;1;3;3;1;1
148;HBC NANTES;D1;2122;H;30;79;1;3;3;2;1;3;3;3;3;3;3;3;3;1;3;3;3;3;3;1;3;3;3;1;3;3;3;3;3;3
149;ISTRES PROVENCE HANDBALL;D1;2122;H;30;47;1;1;2;3;1;1;1;2;1;1;3;1;2;2;1;1;2;1;1;1;1;1;1;1;3;1;1;3;3;3
150;LIMOGES;D1;2122;H;30;48;1;3;1;1;3;2;1;1;3;2;1;1;3;1;3;1;1;3;3;1;1;1;1;1;1;1;1;1;3;1
151;MONTPELLIER HANDBALL;D1;2122;H;30;71;2;3;1;3;1;3;1;3;1;1;3;1;3;3;3;3;1;3;3;3;3;3;3;3;1;3;1;3;3;3
152;PARIS SAINT-GERMAIN HANDBALL;D1;2122;H;30;90;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
153;PROVENCE AIX UNIVERSITE CLUB HANDBALL;D1;2122;H;30;74;3;3;1;2;3;3;3;1;3;3;3;3;3;1;3;3;3;3;1;3;2;1;3;3;3;3;1;3;3;1
154;SAINT RAPHAEL VAR HANDBALL;D1;2122;H;30;61;2;3;3;3;1;2;3;1;3;1;3;3;1;3;1;1;2;1;3;1;1;3;1;3;3;1;3;3;1;1
155;SARAN LOIRET HANDBALL;D1;2122;H;30;42;1;1;1;1;3;3;1;1;1;3;1;1;1;1;1;1;3;1;1;1;3;1;1;1;1;3;1;1;1;1
156;US CRETEIL HANDBALL;D1;2122;H;30;51;3;3;1;1;3;1;1;1;1;2;1;3;2;2;1;1;3;3;1;3;3;1;1;1;1;3;1;1;1;1
157;USAM NIMES GARD;D1;2122;H;30;66;3;3;3;3;1;1;1;2;3;2;1;1;3;1;2;3;1;1;2;3;1;3;3;3;3;3;3;1;3;3
158;ANGERS SCO HANDBALL;D2;2122;H;30;43;1;1;3;1;1;1;2;1;1;1;3;1;2;1;1;1;1;1;1;3;1;1;1;2;1;3;1;1;1;3
159;BILLERE HANDBALL PAU PYRENEES;D2;2122;H;30;62;3;2;1;1;1;2;2;3;1;3;1;3;1;3;1;2;1;1;3;3;3;1;3;2;3;2;3;3;3;1
160;CAEN HANDBALL;D2;2122;H;30;55;1;1;1;3;1;3;2;3;1;3;3;1;3;3;3;2;1;2;3;1;1;1;1;1;1;1;3;3;1;1
161;CAVIGAL NICE HANDBALL;D2;2122;H;30;67;3;1;3;1;2;2;3;1;1;1;3;3;3;3;3;1;3;2;3;1;2;3;2;2;1;2;3;3;3;3
162;DIJON METROPOLE HANDBALL;D2;2122;H;30;67;3;3;1;3;3;3;2;1;3;3;3;1;1;3;1;3;3;3;1;1;2;1;3;1;3;2;3;3;1;3
163;GRAND BESANCON DOUBS HANDBALL;D2;2122;H;30;49;1;1;2;1;2;3;2;3;3;1;2;1;2;1;1;1;3;1;1;1;3;1;1;1;2;2;1;1;3;1
164;JS CHERBOURGEOISE MANCHE HANDBALL;D2;2122;H;30;73;1;3;1;1;3;3;3;1;3;2;3;3;3;1;3;2;3;3;1;3;3;3;2;3;3;3;3;3;3;1
165;MASSY ESSONNE HANDBALL;D2;2122;H;30;63;3;3;3;1;3;1;1;3;1;3;1;1;1;3;3;1;2;1;3;3;2;3;3;1;3;2;1;1;3;3
166;PONTAULT-COMBAULT HANDBALL;D2;2122;H;30;72;1;3;3;3;3;2;1;1;3;1;2;1;3;3;3;3;2;3;3;3;3;3;3;3;1;2;1;3;3;3
167;SARREBOURG MOSELLE SUD HANDBALL;D2;2122;H;30;52;1;1;3;1;1;1;3;1;3;3;1;3;1;1;1;3;2;1;2;3;1;3;1;3;1;1;3;1;1;1
168;SELESTAT ALSACE HANDBALL;D2;2122;H;30;67;3;3;3;3;3;1;2;1;3;2;1;1;1;3;3;3;3;2;3;1;1;1;3;1;3;3;3;1;3;3
169;STRASBOURG EUROMETROPOLE HB;D2;2122;H;30;49;1;2;1;3;1;3;1;1;1;1;3;3;3;1;1;3;1;3;2;1;1;1;1;3;2;1;1;1;1;1
170;TREMBLAY HANDBALL;D2;2122;H;30;65;3;1;3;3;3;1;2;3;3;3;1;3;1;1;3;2;2;3;1;1;2;3;2;2;3;2;3;1;1;3
171;UNION SPORTIVE IVRY HANDBALL;D2;2122;H;30;82;3;3;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1;3;1;3;3;1
172;VALENCE HANDBALL;D2;2122;H;30;46;3;1;1;3;1;2;1;3;1;1;1;1;1;1;1;1;1;2;1;3;3;3;2;1;2;1;1;1;1;1
173;VILLEURBANNE HANDBALL;D2;2122;H;30;48;1;3;2;1;1;1;2;3;1;1;1;3;3;1;1;1;1;1;1;1;1;1;1;3;2;2;1;3;1;3
174;C'CHARTRES METROPOLE HANDBALL;D1;2223;H;30;48;3;1;1;1;1;3;1;2;3;1;1;1;1;3;3;1;1;1;1;1;3;1;1;1;1;2;1;1;3;3
175;CESSON RENNES METROPOLE HB;D1;2223;H;30;55;3;3;1;3;3;1;3;3;1;3;1;1;1;1;2;1;1;1;3;1;1;3;3;1;3;1;1;2;1;2
176;CHAMBERY SAVOIE HB;D1;2223;H;30;72;1;3;3;3;3;1;3;1;1;3;3;1;3;3;2;3;3;3;3;3;1;3;3;3;1;3;3;2;3;1
177;DUNKERQUE HANDBALL GRAND LITTORAL;D1;2223;H;30;56;3;1;1;3;3;1;1;2;3;3;3;1;1;1;2;1;3;1;1;3;1;1;3;1;3;1;3;3;1;1
178;FENIX TOULOUSE HANDBALL;D1;2223;H;30;67;3;1;3;1;3;1;3;2;3;1;3;3;3;1;3;1;3;3;2;1;2;1;3;3;3;3;1;1;3;3
179;HBC NANTES;D1;2223;H;30;80;3;3;3;3;3;3;1;3;3;3;1;3;3;3;1;3;3;3;3;3;2;3;3;3;3;3;3;2;1;3
180;ISTRES PROVENCE HANDBALL;D1;2223;H;30;44;1;1;1;1;1;1;3;1;1;1;3;1;1;2;2;3;1;2;1;1;1;1;3;1;1;2;1;3;1;1
181;LIMOGES;D1;2223;H;30;55;1;3;3;1;1;1;3;1;3;1;3;3;3;1;1;3;1;2;2;1;1;3;1;3;3;1;1;1;1;2
182;MONTPELLIER HANDBALL;D1;2223;H;30;82;3;1;3;3;3;3;3;3;3;3;3;3;3;3;1;3;3;3;3;3;3;3;1;3;1;3;3;3;3;3
183;PARIS SAINT-GERMAIN HANDBALL;D1;2223;H;30;84;3;3;1;3;3;3;3;3;3;3;3;3;3;1;3;3;3;3;1;3;3;3;3;3;3;3;3;3;3;3
184;PROVENCE AIX UNIVERSITE CLUB HANDBALL;D1;2223;H;30;54;1;3;3;3;1;3;3;1;1;1;3;3;2;1;3;1;1;1;1;1;2;3;1;3;1;1;3;1;1;1
185;SAINT RAPHAEL VAR HANDBALL;D1;2223;H;30;56;3;1;1;1;1;3;1;3;1;3;1;3;3;1;1;1;3;3;1;3;3;1;1;1;1;1;3;1;3;3
186;SELESTAT ALSACE HANDBALL;D1;2223;H;30;42;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;1;3;1;1;2;1;3;1;1;2;1;3;1;1
187;US CRETEIL HANDBALL;D1;2223;H;30;46;1;1;3;1;1;3;1;1;3;1;1;1;1;2;3;1;3;1;3;1;2;1;1;1;3;1;1;1;1;1
188;US IVRY HANDBALL;D1;2223;H;30;48;1;3;1;3;1;1;1;2;1;1;1;1;2;3;1;1;1;1;3;3;2;1;1;1;1;2;1;3;3;1
189;USAM NIMES GARD;D1;2223;H;30;71;1;3;3;1;3;3;1;3;1;3;1;3;1;3;3;3;1;1;3;3;3;3;1;3;3;3;3;2;3;3
190;BESANCON HANDBALL;D2;2223;H;30;47;1;1;1;3;1;3;1;1;1;1;3;3;1;1;1;1;1;3;1;3;3;1;1;3;1;1;1;1;1;2
191;BILLERE HANDBALL PAU PYRENEES;D2;2223;H;30;62;3;1;1;3;1;3;1;1;3;3;2;1;1;3;3;1;1;1;3;1;2;1;3;3;3;3;1;3;3;3
192;BORDEAUX HANDBALL;D2;2223;H;30;64;3;3;3;3;1;1;3;1;3;1;1;3;2;1;1;3;3;2;1;1;2;3;3;1;2;3;1;3;3;3
193;CAEN HANDBALL;D2;2223;H;30;63;3;3;3;1;1;1;1;3;3;3;2;2;2;1;3;3;3;1;1;3;3;3;1;1;1;1;3;1;3;3
194;CHERBOURG HB;D2;2223;H;30;53;1;3;1;1;3;1;1;3;1;3;1;1;2;1;1;2;3;1;3;2;3;1;1;3;3;1;1;3;1;1
195;DIJON METROPOLE HANDBALL;D2;2223;H;30;77;3;3;3;1;3;3;3;3;1;3;3;3;3;2;3;3;3;2;3;2;3;3;3;1;3;3;1;3;1;3
196;FRONTIGNAN THAU HANDBALL;D2;2223;H;30;72;3;1;3;3;2;1;3;3;3;1;1;3;3;3;3;3;3;3;3;3;3;1;3;1;3;1;3;1;3;2
197;MASSY ESSONNE HANDBALL;D2;2223;H;30;54;3;3;1;1;1;3;1;1;3;1;3;3;3;2;3;2;1;1;1;1;1;1;3;3;1;1;1;1;3;1
198;NANCY METROPOLE;D2;2223;H;30;59;3;1;1;1;3;1;3;3;1;3;1;1;3;3;1;3;1;3;3;1;1;2;1;2;1;3;3;1;3;2
199;PONTAULT-COMBAULT HANDBALL;D2;2223;H;30;73;3;3;2;3;3;3;3;3;1;3;3;1;1;3;3;3;1;3;3;3;1;3;3;3;3;1;3;3;1;1
200;SARAN LOIRET HANDBALL;D2;2223;H;30;78;1;3;3;3;3;2;3;3;1;3;3;3;2;3;3;1;3;1;3;3;3;3;1;3;3;3;3;3;3;3
201;SARREBOURG MOSELLE SUD HANDBALL;D2;2223;H;30;61;1;1;3;3;3;3;3;1;3;1;1;1;3;1;1;1;1;3;3;1;1;3;3;1;2;3;3;3;1;3
202;STRASBOURG HANDBALL;D2;2223;H;30;35;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;3;1;1;1;1;1;1;1;1;1;3;1;1;1
203;TREMBLAY HANDBALL;D2;2223;H;30;77;1;3;2;3;3;3;3;3;3;3;3;3;3;2;1;3;3;3;1;3;1;3;3;3;3;3;3;1;3;2
204;VALENCE HANDBALL;D2;2223;H;30;47;1;1;1;1;2;2;1;1;2;1;3;2;1;3;3;1;1;3;1;1;3;1;1;2;1;3;1;1;1;1
205;VILLEURBANNE HANDBALL;D2;2223;H;30;38;1;1;3;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;3;1;2;1;1;1;1;1;3;1;1
206;C'CHARTRES METROPOLE HANDBALL;D1;2324;H;30;50;1;1;3;1;3;1;3;3;1;1;1;1;1;1;3;1;3;2;3;3;1;1;1;1;1;1;1;3;1;2
207;CESSON RENNES METROPOLE HB;D1;2324;H;30;51;1;1;1;1;1;3;1;3;1;1;1;3;1;1;1;3;1;3;3;1;3;2;2;3;1;1;1;3;1;2
208;CHAMBERY SAVOIE HB;D1;2324;H;30;61;1;1;3;1;3;3;1;1;1;3;3;1;3;3;3;3;3;1;1;1;3;1;1;3;2;3;1;3;1;3
209;DIJON METROPOLE HANDBALL;D1;2324;H;30;40;2;1;1;1;1;1;1;2;1;1;3;1;1;1;1;3;1;1;1;1;1;1;1;3;3;1;1;1;1;1
210;DUNKERQUE HANDBALL GRAND LITTORAL;D1;2324;H;30;56;1;3;1;1;2;1;3;1;1;3;1;1;3;1;3;1;1;3;3;1;3;3;1;1;3;1;3;2;3;1
211;FENIX TOULOUSE HANDBALL;D1;2324;H;30;69;3;3;1;3;3;3;3;3;3;3;1;1;1;3;3;2;1;3;2;3;1;3;3;1;2;1;3;3;3;1
212;HBC NANTES;D1;2324;H;30;84;3;3;3;2;1;3;3;3;3;3;3;3;3;1;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3
213;LIMOGES;D1;2324;H;30;66;1;3;1;2;3;3;1;1;3;3;3;3;1;3;3;2;1;1;3;1;1;3;3;3;3;1;2;2;3;3
214;MONTPELLIER HANDBALL;D1;2324;H;30;78;3;3;3;3;3;3;3;3;3;2;1;3;3;1;1;3;3;1;3;3;3;3;3;3;2;3;3;1;3;3
215;PARIS SAINT-GERMAIN HANDBALL;D1;2324;H;30;85;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;1;3;3;3;3;1;3;3
216;PROVENCE AIX UNIVERSITE CLUB HANDBALL;D1;2324;H;30;60;3;1;3;3;1;1;3;3;1;1;1;3;1;3;3;1;3;1;3;3;1;1;1;3;3;3;3;1;1;1
217;SAINT-RAPHAEL VHB;D1;2324;H;30;58;1;3;3;3;2;2;3;1;3;2;1;3;3;1;1;3;1;3;1;3;1;2;1;1;2;1;1;1;3;2
218;SARAN LOIRET HANDBALL;D1;2324;H;30;47;3;1;1;3;1;1;1;1;1;2;1;3;1;3;1;1;1;2;1;3;1;1;2;1;1;3;1;1;3;1
219;US CRETEIL HANDBALL;D1;2324;H;30;46;1;1;1;1;1;2;1;2;3;2;3;1;1;1;1;1;1;2;1;1;1;1;3;1;1;3;2;3;1;2
220;US IVRY HANDBALL;D1;2324;H;30;47;2;1;1;1;1;1;1;1;3;1;3;1;3;3;1;1;3;1;1;1;3;1;3;1;1;1;1;1;1;3
221;USAM NIMES GARD;D1;2324;H;30;62;3;3;3;3;3;1;1;1;1;1;3;1;3;3;1;1;3;3;1;1;3;3;3;1;1;3;3;3;1;1
222;ANGERS SCO HANDBALL;D2;2324;H;28;41;1;3;1;3;3;1;1;NA;3;2;1;2;1;1;1;1;1;1;NA;1;1;2;1;1;1;1;1;1;3;1
223;BILLERE HANDBALL PAU PYRENEES;D2;2324;H;28;52;NA;1;1;1;1;1;3;1;3;1;1;3;3;3;3;3;3;3;2;1;NA;1;1;3;1;1;2;1;1;3
224;CAEN HANDBALL;D2;2324;H;28;46;3;1;1;2;1;1;1;1;1;2;3;NA;1;1;1;1;3;1;1;3;1;1;NA;3;3;3;1;3;1;1
225;FRONTIGNAN THAU HANDBALL;D2;2324;H;28;61;3;1;3;3;3;1;2;1;3;1;3;3;3;1;NA;1;1;NA;3;1;3;1;3;3;3;3;2;3;1;2
226;GRAND BESANCON DOUBS HANDBALL;D2;2324;H;28;55;3;1;NA;1;3;3;1;1;1;1;1;2;1;3;1;3;1;3;1;3;3;3;3;1;3;1;3;1;NA;3
227;HANDBALL CLUB COURNON D'AUVERGNE;D2;2324;H;28;46;1;1;3;2;1;1;2;3;1;NA;3;1;3;1;1;3;1;1;1;1;1;1;3;3;1;3;NA;1;1;1
228;ISTRES PROVENCE HANDBALL;D2;2324;H;28;68;3;3;1;3;NA;1;3;3;3;1;1;3;3;3;3;NA;2;3;3;3;3;3;3;3;1;1;2;1;3;3
229;JS CHERBOURGEOISE MANCHE HANDBALL;D2;2324;H;28;61;1;3;1;1;1;3;1;3;1;3;NA;2;3;2;3;1;3;3;3;3;1;1;1;NA;3;3;3;3;3;2
230;MASSY ESSONNE HANDBALL;D2;2324;H;28;49;1;1;3;1;3;3;NA;1;2;1;1;2;1;1;3;1;3;1;2;1;3;3;1;1;1;NA;3;3;1;1
231;NANCY METROPOLE;D2;2324;H;28;53;1;3;3;1;1;3;3;1;2;3;1;3;NA;3;1;1;1;1;1;1;3;NA;1;3;3;1;3;1;3;1
232;PONTAULT-COMBAULT HANDBALL;D2;2324;H;28;65;3;3;3;3;3;3;3;3;NA;3;3;1;1;2;1;1;3;3;3;3;3;3;1;1;1;1;2;3;2;NA
233;SARREBOURG MOSELLE SUD HANDBALL;D2;2324;H;28;49;1;1;1;NA;1;1;1;3;1;1;3;1;3;3;3;3;1;3;1;NA;1;1;3;1;3;1;1;3;2;1
234;SELESTAT ALSACE HANDBALL;D2;2324;H;28;64;3;3;1;3;1;3;3;3;3;3;3;1;1;NA;3;3;2;1;1;3;1;2;3;1;NA;3;1;3;3;3
235;TREMBLAY HANDBALL;D2;2324;H;28;82;3;NA;3;3;3;3;3;3;3;3;3;3;3;3;1;3;3;3;3;3;3;3;3;3;3;3;3;NA;3;3
236;VALENCE HANDBALL;D2;2324;H;28;48;1;3;3;1;3;NA;1;1;1;3;1;1;1;1;3;3;NA;1;3;1;1;3;1;1;1;3;1;1;1;3
