"","club","division","saison","HF","J1","J2","J3","J4","J5","J6","J7","J8","J9","J10","J11","J12","J13","J14","J15","J16","J17","J18","J19","J20","J21","J22","J23","J24","J25","J26","J27","J28","J29","J30","match_joue","total_point"
"45","SARAN LOIRET HB","D1","2324","H",3,4,5,8,9,10,11,12,15,17,18,21,22,25,26,27,28,30,31,34,35,36,38,39,40,43,44,45,48,49,30,49
"46","US CRETEIL HANDBALL","D1","2324","H",1,2,3,4,5,7,8,10,13,15,18,19,20,21,22,23,24,26,27,28,29,30,33,34,35,38,40,43,44,46,30,46
"47","US IVRY HANDBALL","D1","2324","H",2,3,4,5,6,7,8,9,12,13,16,17,20,23,24,25,28,29,30,31,34,35,38,39,40,41,42,43,44,47,30,47
"48","USAM NIMES GARD","D1","2324","H",3,6,9,12,15,16,17,18,19,20,23,24,27,30,31,32,35,38,39,40,43,46,49,50,51,54,57,60,61,62,30,62
"49","ANGERS SCO HANDBALL","D2","2324","H",1,4,5,8,11,12,13,13,16,18,19,21,22,23,24,25,26,27,27,28,29,31,32,33,34,35,36,37,40,41,28,41
"50","BILLERE HANDBALL PAU PYRENEES","D2","2324","H",0,1,2,3,4,5,8,9,12,13,14,17,20,23,26,29,32,35,37,38,38,39,40,43,44,45,47,48,49,52,28,52
"51","CAEN HANDBALL","D2","2324","H",3,4,5,7,8,9,10,11,12,14,17,17,18,19,20,21,24,25,26,29,30,31,31,34,37,40,41,44,45,46,28,46
"52","FRONTIGNAN THAU HANDBALL","D2","2324","H",3,4,7,10,13,14,16,17,20,21,24,27,30,31,31,32,33,33,36,37,40,41,44,47,50,53,55,58,59,61,28,61
"53","GRAND BESANCON DOUBS HANDBALL","D2","2324","H",3,4,4,5,8,11,12,13,14,15,16,18,19,22,23,26,27,30,31,34,37,40,43,44,47,48,51,52,52,55,28,55
"54","HANDBALL CLUB COURNON D'AUVERGNE","D2","2324","H",1,2,5,7,8,9,11,14,15,15,18,19,22,23,24,27,28,29,30,31,32,33,36,39,40,43,43,44,45,46,28,46
"55","ISTRES PROVENCE HANDBALL","D2","2324","H",3,6,7,10,10,11,14,17,20,21,22,25,28,31,34,34,36,39,42,45,48,51,54,57,58,59,61,62,65,68,28,68
"56","JS CHERBOURGEOISE MANCHE HB","D2","2324","H",1,4,5,6,7,10,11,14,15,18,18,20,23,25,28,29,32,35,38,41,42,43,44,44,47,50,53,56,59,61,28,61
"57","MASSY ESSONNE HB","D2","2324","H",1,2,5,6,9,12,12,13,15,16,17,19,20,21,24,25,28,29,31,32,35,38,39,40,41,41,44,47,48,49,28,49
"58","NANCY METROPOLE","D2","2324","H",1,4,7,8,9,12,15,16,18,21,22,25,25,28,29,30,31,32,33,34,37,37,38,41,44,45,48,49,52,53,28,53
"59","PONTAULT-COMBAULT HANDBALL","D2","2324","H",3,6,9,12,15,18,21,24,24,27,30,31,32,34,35,36,39,42,45,48,51,54,55,56,57,58,60,63,65,65,28,65
"60","SARREBOURG MOSELLE SUD HANDBALL","D2","2324","H",1,2,3,3,4,5,6,9,10,11,14,15,18,21,24,27,28,31,32,32,33,34,37,38,41,42,43,46,48,49,28,49
"61","SELESTAT ALSACE HANDBALL","D2","2324","H",3,6,7,10,11,14,17,20,23,26,29,30,31,31,34,37,39,40,41,44,45,47,50,51,51,54,55,58,61,64,28,64
"62","TREMBLAY-EN-FRANCE HANDBALL","D2","2324","H",3,3,6,9,12,15,18,21,24,27,30,33,36,39,40,43,46,49,52,55,58,61,64,67,70,73,76,76,79,82,28,82
"63","VALENCE HANDBALL","D2","2324","H",1,4,7,8,11,11,12,13,14,17,18,19,20,21,24,27,27,28,31,32,33,36,37,38,39,42,43,44,45,48,28,48
