code_rencontre,club_recevant,coach_recevant,club_visiteur,coach_visiteur,journee,score_final_r,score_final_v,fichier,score_recevant_59_min,score_visiteur_59_min,equipe,statut_59_min,statut_final,effet_positif,TM_derniere_min,TM_derniere_min_adverse,HF,DM,DM_adverse,division,saison
PADFQZS,TREMBLAY EN FRANCE HANDBALL,SILVA joel,ISTRES PROVENCE HANDBALL,DEROT gilles,J27,26,27,rencontre_D1H_2021_566.pdf,26,26,R,0,-1,0,0,1,H,0,0,D1,2021
PADFQZT,CHAMBERY SAVOIE HB,MATHE erick,CESSON RENNES METROPOLE HB,LERICHE sebastien,J28,28,28,rencontre_D1H_2021_567.pdf,28,27,R,1,0,0,1,1,H,0,0,D1,2021
PADFQZY,MONTPELLIER HANDBALL,CANAYER patrice,PAYS AIX UNIVERSITE CLUB HANDBALL,ANTI thierry,J28,28,27,rencontre_D1H_2021_572.pdf,28,26,R,1,1,1,1,0,H,0,0,D1,2021
PADFRAB,PAYS AIX UNIVERSITE CLUB HANDBALL,ANTI thierry,LIMOGES HAND,HAYATOUNE tarik,J29,29,27,rencontre_D1H_2021_575.pdf,28,27,R,1,1,1,1,0,H,0,0,D1,2021
PADFRAE,UNION SPORTIVE IVRY HANDBALL,QUINTALLET sebastien,CHAMBERY SAVOIE HB,MATHE erick,J29,27,26,rencontre_D1H_2021_578.pdf,27,25,R,1,1,1,0,0,H,0,0,D1,2021
PADFRAM,ISTRES PROVENCE HANDBALL,DEROT gilles,LIMOGES HAND,HAYATOUNE tarik,J30,30,30,rencontre_D1H_2021_586.pdf,28,29,R,-1,0,1,0,0,H,0,0,D1,2021
PADFTXJ,ANGERS SCO HANDBALL,DUPIN guillaume,VALENCE HANDBALL,FORETS eric,J1,32,34,rencontre_D2H_2021_533.pdf,30,33,R,-1,-1,0,0,0,H,0,1,D2,2021
PADFTXK,BILLERE HANDBALL PAU PYRENEES,DEHERME daniel,GRAND BESANCON DOUBS HANDBALL,ZOVKO dragan,J1,26,27,rencontre_D2H_2021_534.pdf,25,26,R,-1,-1,0,0,0,H,0,0,D2,2021
PADFTXL,JS CHERBOURGEOISE MANCHE HB,BOUGEANT frederic,CAVIGAL NICE SPORTS HANDBALL,MARCOS asier,J1,30,29,rencontre_D2H_2021_535.pdf,30,28,R,1,1,1,0,0,H,1,0,D2,2021
PADFTXM,DIJON METROPOLE HB,CHADUTEAUD ulrich,UMS PONTAULT-COMBAULT HANDBALL,HAMANI cherif,J1,25,26,rencontre_D2H_2021_536.pdf,24,26,R,-1,-1,0,0,1,H,0,0,D2,2021
PADFTXN,MASSY ESSONNE HB,ROUSSEL jeremy,GRAND NANCY METROPOLE HB,BRAUX benjamin,J1,24,27,rencontre_D2H_2021_537.pdf,24,27,R,-1,-1,0,0,0,H,0,0,D2,2021
PADFTXS,CAVIGAL NICE SPORTS HANDBALL,MARCOS asier,E. STRASBOURG SCHILTIGHEIM ALSACE HANDBALL,LATHOUD denis,J2,30,30,rencontre_D2H_2021_542.pdf,29,28,R,1,0,0,1,1,H,0,1,D2,2021
PADFTXV,SELESTAT ALSACE HANDBALL,VIENNET christophe,MASSY ESSONNE HB,ROUSSEL jeremy,J2,30,25,rencontre_D2H_2021_545.pdf,28,25,R,1,1,1,0,0,H,0,0,D2,2021
PADFTXX,ANGERS SCO HANDBALL,DUPIN guillaume,SARAN LOIRET HB,COURTIAL fabien,J3,34,33,rencontre_D2H_2021_547.pdf,32,30,R,1,1,1,1,0,H,1,0,D2,2021
PADFTYC,SARREBOURG MOSELLE SUD HANDBALL,BONDANT christophe,SELESTAT ALSACE HANDBALL,VIENNET christophe,J3,26,28,rencontre_D2H_2021_552.pdf,25,27,R,-1,-1,0,0,0,H,1,1,D2,2021
PADFTYD,E. STRASBOURG SCHILTIGHEIM ALSACE HANDBALL,LATHOUD denis,GRAND NANCY METROPOLE HB,BRAUX benjamin,J3,27,31,rencontre_D2H_2021_553.pdf,26,29,R,-1,-1,0,0,0,H,0,0,D2,2021
PADFTYI,SARREBOURG MOSELLE SUD HANDBALL,BONDANT christophe,E. STRASBOURG SCHILTIGHEIM ALSACE HANDBALL,LATHOUD denis,J4,24,23,rencontre_D2H_2021_558.pdf,22,22,R,0,1,1,0,1,H,0,0,D2,2021
PADFTYK,VALENCE HANDBALL,FORETS eric,UMS PONTAULT-COMBAULT HANDBALL,HAMANI cherif,J4,30,31,rencontre_D2H_2021_560.pdf,30,30,R,0,-1,0,1,0,H,1,0,D2,2021
