code_rencontre,club_recevant,coach_recevant,club_visiteur,coach_visiteur,journee,score_final_r,score_final_v,fichier,score_recevant_59_min,score_visiteur_59_min,equipe,statut_59_min,statut_final,effet_positif,TM_derniere_min,TM_derniere_min_adverse,HF,DM,DM_adverse,division,saison
RADNRZQ,TOULON METROPOLE VAR HB,PLANTIN stephane,MERIGNAC HANDBALL,CHAGNARD christophe,J23,24,23,rencontre_D1F_2122_334.pdf,24,23,R,1,1,1,1,0,F,0,0,D1,2122
RADNRZR,HANDBALL PLAN DE CUQUES,SPINCER angelique,JDA DIJON HANDBALL,MAZEL christophe,J23,23,24,rencontre_D1F_2122_335.pdf,22,24,R,-1,-1,0,0,1,F,0,0,D1,2122
RADNRZS,CHAMBRAY TOURAINE HANDBALL,DELARUE jerome,PARIS,MESSAOUDI yacine,J23,25,27,rencontre_D1F_2122_336.pdf,24,26,R,-1,-1,0,0,0,F,0,0,D1,2122
RADNRZU,FLEURY LOIRET HANDBALL,CASSAN christophe,TOULON METROPOLE VAR HB,PLANTIN stephane,J24,22,23,rencontre_D1F_2122_338.pdf,22,23,R,-1,-1,0,0,1,F,0,0,D1,2122
RADNRZY,JDA DIJON HANDBALL,MAZEL christophe,METZ HANDBALL,MAYONNADE emmanuel,J24,22,25,rencontre_D1F_2122_342.pdf,21,24,R,-1,-1,0,0,0,F,0,0,D1,2122
RADNRZZ,ES BESANCON FEMININ,MIZOULE sebastien,BOURG DE PEAGE DROME HANDBALL,COMTE camille,J24,23,24,rencontre_D1F_2122_343.pdf,23,24,R,-1,-1,0,1,0,F,0,0,D1,2122
RADNSAC,CHAMBRAY TOURAINE HANDBALL,DELARUE jerome,JDA DIJON HANDBALL,MAZEL christophe,J25,25,23,rencontre_D1F_2122_346.pdf,24,22,R,1,1,1,0,0,F,0,0,D1,2122
RADNSAG,CELLES SUR BELLE MELLOIS EN POITOU,VINCENT thierry,OGC NICE COTE D'AZUR HANDBALL,KOLEV marjan,J25,26,27,rencontre_D1F_2122_350.pdf,26,26,R,0,-1,0,0,0,F,0,0,D1,2122
RADNSAM,FLEURY LOIRET HANDBALL,CASSAN christophe,CELLES SUR BELLE MELLOIS EN POITOU,VINCENT thierry,J26,31,30,rencontre_D1F_2122_356.pdf,30,29,R,1,1,1,0,0,F,1,0,D1,2122
RADNSAN,JDA DIJON HANDBALL,MAZEL christophe,MERIGNAC HANDBALL,CHAGNARD christophe,J26,28,23,rencontre_D1F_2122_357.pdf,26,23,R,1,1,1,0,0,F,0,0,D1,2122
RADNURG,ACHENHEIM TRUCHTERSHEIM,FRITSCHMANN frederic,ROCHECHOUART-ST-JUNIEN HANDBALL,PAQUIER nicolas,J1,28,26,rencontre_D2F_1_2122_144.pdf,27,24,R,1,1,1,0,0,F,1,0,D2,2122
RADNURM,ROCHECHOUART-ST-JUNIEN HANDBALL 87,PAQUIER nicolas,ASUL VAULX EN VELIN,SEUTCHIE ludovic,J2,29,30,rencontre_D2F_1_2122_150.pdf,29,29,R,0,-1,0,0,1,F,1,0,D2,2122
RADNURO,HANDBALL CLERMONT AUVERGNE METROPOLE 63,SAUVAL florence,ACHENHEIM TRUCHTERSHEIM,BASNY jan,J2,30,31,rencontre_D2F_1_2122_152.pdf,29,30,R,-1,-1,0,0,1,F,1,1,D2,2122
RADNURU,ASUL VAULX EN VELIN,SEUTCHIE ludovic,HANDBALL CLERMONT AUVERGNE METROPOLE,SAUVAL florence,J3,24,22,rencontre_D2F_1_2122_158.pdf,23,21,R,1,1,1,0,0,F,0,0,D2,2122
RADNURW,ACHENHEIM TRUCHTERSHEIM,BASNY jan,HB OCTEVILLE SUR MER,BOIVIN gautier,J3,21,20,rencontre_D2F_1_2122_160.pdf,21,20,R,1,1,1,1,0,F,0,0,D2,2122
RADNUSA,HANDBALL CLERMONT AUVERGNE METROPOLE 63,SAUVAL florence,ROCHECHOUART-ST-JUNIEN HANDBALL,PAQUIER nicolas,J4,33,28,rencontre_D2F_1_2122_164.pdf,30,28,R,1,1,1,0,0,F,0,1,D2,2122
RADNUSB,NOISY LE GRAND HANDBALL,GHERRAM farid,HBC AULNOYE AYMERIES,PETIT clement,J4,28,26,rencontre_D2F_1_2122_165.pdf,28,25,R,1,1,1,0,0,F,0,0,D2,2122
RADNUSC,HB OCTEVILLE SUR MER,BOIVIN gautier,ASUL VAULX EN VELIN,SEUTCHIE ludovic,J4,23,22,rencontre_D2F_1_2122_166.pdf,22,21,R,1,1,1,1,0,F,0,0,D2,2122
RADNUSE,STELLA SAINT-MAUR HANDBALL,SAMSON remi,ACHENHEIM TRUCHTERSHEIM,BASNY jan,J4,29,25,rencontre_D2F_1_2122_168.pdf,26,24,R,1,1,1,0,0,F,0,0,D2,2122
RADNUSF,HAVRE ATHLETIC CLUB HB,PELLAN stephane,BOUILLARGUES HANDBALL NIMES METROPOLE,CENDRE delphine,J4,27,25,rencontre_D2F_1_2122_169.pdf,26,24,R,1,1,1,1,0,F,0,0,D2,2122
RADNUSI,ROCHECHOUART-ST-JUNIEN HANDBALL 87,PAQUIER nicolas,HB OCTEVILLE SUR MER,BOIVIN gautier,J5,31,28,rencontre_D2F_1_2122_172.pdf,25,22,R,1,1,1,0,0,F,0,0,D2,2122
RADNUSJ,CLUB ATHLETIQUE BEGLAIS,VASSEUR julien,NOISY LE GRAND HANDBALL,GHERRAM farid,J5,36,33,rencontre_D2F_1_2122_173.pdf,35,33,R,1,1,1,0,0,F,0,0,D2,2122
RADNUSO,HB OCTEVILLE SUR MER,BOIVIN gautier,HANDBALL CLERMONT AUVERGNE METROPOLE,SAUVAL florence,J6,23,25,rencontre_D2F_1_2122_178.pdf,22,24,R,-1,-1,0,0,1,F,0,0,D2,2122
RADNUSQ,STELLA SAINT-MAUR HANDBALL,SAMSON remi,ROCHECHOUART-ST-JUNIEN HANDBALL,PAQUIER nicolas,J6,26,24,rencontre_D2F_1_2122_180.pdf,26,24,R,1,1,1,1,0,F,0,0,D2,2122
RADNUSR,NOISY LE GRAND HANDBALL,GHERRAM farid,BOUILLARGUES HANDBALL NIMES METROPOLE,CENDRE delphine,J6,25,26,rencontre_D2F_1_2122_181.pdf,25,25,R,0,-1,0,0,0,F,0,0,D2,2122
RADNUSS,HAVRE ATHLETIC CLUB HB,PELLAN stephane,ASUL VAULX EN VELIN,SEUTCHIE ludovic,J6,24,27,rencontre_D2F_1_2122_182.pdf,24,26,R,-1,-1,0,0,0,F,0,0,D2,2122
RADNUST,RENNES METROPOLE HB,MANTES olivier,ACHENHEIM TRUCHTERSHEIM,BASNY jan,J6,26,27,rencontre_D2F_1_2122_183.pdf,24,27,R,-1,-1,0,0,0,F,0,0,D2,2122
RADNUSV,CLUB ATHLETIQUE BEGLAIS,VASSEUR julien,HBC AULNOYE AYMERIES,PETIT clement,J7,24,27,rencontre_D2F_1_2122_185.pdf,24,26,R,-1,-1,0,0,0,F,0,0,D2,2122
RADNUTA,ASUL VAULX EN VELIN,SEUTCHIE ludovic,RENNES METROPOLE HB,MANTES olivier,J7,23,22,rencontre_D2F_1_2122_190.pdf,23,22,R,1,1,1,1,0,F,0,0,D2,2122
RADNUTC,STELLA SAINT-MAUR HANDBALL,SAMSON remi,HB OCTEVILLE SUR MER,BOIVIN gautier,J8,26,25,rencontre_D2F_1_2122_192.pdf,26,24,R,1,1,1,0,0,F,0,0,D2,2122
RADNUTD,HBC AULNOYE AYMERIES,PETIT clement,BOUILLARGUES HANDBALL NIMES METROPOLE,CENDRE delphine,J8,24,22,rencontre_D2F_1_2122_193.pdf,23,21,R,1,1,1,0,0,F,0,0,D2,2122
RADNUTI,HBC ST AMAND LES EAUX PORTE DU HAINAUT,CARRACEDO felix,STELLA SAINT-MAUR HANDBALL,SAMSON remi,J9,26,25,rencontre_D2F_1_2122_198.pdf,25,25,R,0,1,1,0,1,F,0,0,D2,2122
RADNUTK,HB OCTEVILLE SUR MER,BOIVIN gautier,HAVRE ATHLETIC CLUB HB,PELLAN stephane,J9,25,27,rencontre_D2F_1_2122_200.pdf,24,26,R,-1,-1,0,0,0,F,0,1,D2,2122
RADNUTO,ROCHECHOUART-ST-JUNIEN HANDBALL 87,PAQUIER nicolas,NOISY LE GRAND HANDBALL,GHERRAM farid,J9,22,25,rencontre_D2F_1_2122_204.pdf,22,23,R,-1,-1,0,0,0,F,0,1,D2,2122
RADNUTP,BOUILLARGUES HANDBALL NIMES METROPOLE,CENDRE delphine,ST AMAND HANDBALL - PORTE DU HAINAUT,CARRACEDO felix,J10,26,27,rencontre_D2F_1_2122_205.pdf,26,27,R,-1,-1,0,0,0,F,0,0,D2,2122
RADNUTQ,HAVRE ATHLETIC CLUB HB,PELLAN stephane,STELLA SAINT-MAUR HANDBALL,SAMSON remi,J10,22,24,rencontre_D2F_1_2122_206.pdf,22,23,R,-1,-1,0,0,0,F,0,0,D2,2122
RADNUTT,HBC AULNOYE AYMERIES,PETIT clement,ASUL VAULX EN VELIN,SEUTCHIE ludovic,J10,28,31,rencontre_D2F_1_2122_209.pdf,28,30,R,-1,-1,0,0,1,F,1,0,D2,2122
RADNUTV,AS CANNES-MANDELIEU HANDBALL,PETRESKI tome,ROCHECHOUART-ST-JUNIEN HANDBALL,PAQUIER nicolas,J10,23,29,rencontre_D2F_1_2122_211.pdf,23,26,R,-1,-1,0,0,0,F,1,0,D2,2122
RADNUTZ,ASUL VAULX EN VELIN,SEUTCHIE ludovic,CLUB ATHLETIQUE BEGLAIS,VASSEUR julien,J11,23,24,rencontre_D2F_1_2122_215.pdf,23,24,R,-1,-1,0,1,0,F,0,0,D2,2122
RADNUUD,ACHENHEIM TRUCHTERSHEIM,DURAFFOURG aurelien,ST AMAND HANDBALL - PORTE DU HAINAUT,CARRACEDO felix,J12,33,34,rencontre_D2F_1_2122_219.pdf,33,33,R,0,-1,0,1,1,F,0,0,D2,2122
RADNUUE,RENNES METROPOLE HB,BOULAIRE valentin,HAVRE ATHLETIC CLUB HB,PELLAN stephane,J12,25,27,rencontre_D2F_1_2122_220.pdf,25,26,R,-1,-1,0,1,0,F,0,0,D2,2122
RADNUUF,BOUILLARGUES HANDBALL NIMES METROPOLE,CENDRE delphine,ASUL VAULX EN VELIN,SEUTCHIE ludovic,J12,34,33,rencontre_D2F_1_2122_221.pdf,33,33,R,0,1,1,1,1,F,0,1,D2,2122
RADNUUL,ASUL VAULX EN VELIN,SEUTCHIE ludovic,ACHENHEIM TRUCHTERSHEIM,BASNY jan,J13,25,28,rencontre_D2F_1_2122_227.pdf,24,27,R,-1,-1,0,0,0,F,0,0,D2,2122
RADNUUM,HAVRE ATHLETIC CLUB HB,PELLAN stephane,NOISY LE GRAND HANDBALL,GHERRAM farid,J13,23,24,rencontre_D2F_1_2122_228.pdf,22,23,R,-1,-1,0,0,0,F,0,1,D2,2122
RADNUUN,ROCHECHOUART-ST-JUNIEN HANDBALL 87,PAQUIER nicolas,BOUILLARGUES HANDBALL NIMES METROPOLE,CENDRE delphine,J13,27,24,rencontre_D2F_1_2122_229.pdf,25,23,R,1,1,1,0,0,F,0,0,D2,2122
RADNUUZ,ASUL VAULX EN VELIN,SEUTCHIE ludovic,ROCHECHOUART-ST-JUNIEN HANDBALL,PAQUIER nicolas,J15,24,23,rencontre_D2F_1_2122_241.pdf,23,23,R,0,1,1,0,0,F,0,0,D2,2122
RADNUVC,HBC AULNOYE AYMERIES,PETIT clement,HAVRE ATHLETIC CLUB HB,PELLAN stephane,J15,24,24,rencontre_D2F_1_2122_244.pdf,24,23,R,1,0,0,1,0,F,0,1,D2,2122
RADNUVE,CLUB ATHLETIQUE BEGLAIS,VASSEUR julien,STELLA SAINT-MAUR HANDBALL,SAMSON remi,J15,24,28,rencontre_D2F_1_2122_246.pdf,24,26,R,-1,-1,0,0,0,F,1,0,D2,2122
RADNUVN,ROCHECHOUART-ST-JUNIEN HANDBALL 87,PAQUIER nicolas,HANDBALL CLERMONT AUVERGNE METROPOLE,SAUVAL florence,J17,23,25,rencontre_D2F_1_2122_255.pdf,22,23,R,-1,-1,0,0,0,F,0,0,D2,2122
RADNUVQ,CLUB ATHLETIQUE BEGLAIS,VASSEUR julien,RENNES METROPOLE HB,MANTES olivier,J17,27,24,rencontre_D2F_1_2122_258.pdf,25,23,R,1,1,1,1,0,F,1,0,D2,2122
RADNUVU,AS CANNES-MANDELIEU HANDBALL,PETRESKI tome,HBC AULNOYE AYMERIES,PETIT clement,J18,0,1,rencontre_D2F_1_2122_262.pdf,0,1,R,-1,-1,0,0,0,F,0,0,D2,2122
RADNUVY,RENNES METROPOLE HB,MANTES olivier,BOUILLARGUES HANDBALL NIMES METROPOLE,CENDRE delphine,J18,24,25,rencontre_D2F_1_2122_266.pdf,24,25,R,-1,-1,0,0,0,F,0,0,D2,2122
RADNUVZ,HAVRE ATHLETIC CLUB HB,PELLAN stephane,ACHENHEIM TRUCHTERSHEIM,BASNY jan,J18,32,31,rencontre_D2F_1_2122_267.pdf,31,30,R,1,1,1,0,0,F,0,1,D2,2122
RADNUWB,HANDBALL CLERMONT AUVERGNE METROPOLE 63,SAUVAL florence,HB OCTEVILLE SUR MER,BOIVIN gautier,J19,33,29,rencontre_D2F_1_2122_269.pdf,32,29,R,1,1,1,1,0,F,0,0,D2,2122
RADNUWD,ROCHECHOUART-ST-JUNIEN HANDBALL 87,PAQUIER nicolas,STELLA SAINT-MAUR HANDBALL,SAMSON remi,J19,24,26,rencontre_D2F_1_2122_271.pdf,23,26,R,-1,-1,0,0,0,F,0,1,D2,2122
RADNUWF,ASUL VAULX EN VELIN,SEUTCHIE ludovic,HAVRE ATHLETIC CLUB HB,PELLAN stephane,J19,28,31,rencontre_D2F_1_2122_273.pdf,28,30,R,-1,-1,0,0,0,F,0,0,D2,2122
RADNUWG,ACHENHEIM TRUCHTERSHEIM,BASNY jan,RENNES METROPOLE HB,MANTES olivier,J19,25,29,rencontre_D2F_1_2122_274.pdf,25,28,R,-1,-1,0,0,0,F,0,0,D2,2122
RADNUWJ,STELLA SAINT-MAUR HANDBALL,SAMSON remi,HANDBALL CLERMONT AUVERGNE METROPOLE,SAUVAL florence,J20,28,24,rencontre_D2F_1_2122_277.pdf,27,24,R,1,1,1,1,0,F,0,0,D2,2122
RADNUWM,NOISY LE GRAND HANDBALL,GHERRAM farid,ACHENHEIM TRUCHTERSHEIM,BASNY jan,J20,30,28,rencontre_D2F_1_2122_280.pdf,29,26,R,1,1,1,1,0,F,1,0,D2,2122
RADNUWN,RENNES METROPOLE HB,MANTES olivier,ASUL VAULX EN VELIN,SEUTCHIE ludovic,J20,24,24,rencontre_D2F_1_2122_281.pdf,23,24,R,-1,0,1,0,1,F,0,1,D2,2122
RADNUWR,HANDBALL CLERMONT AUVERGNE METROPOLE 63,SAUVAL florence,HAVRE ATHLETIC CLUB HB,PELLAN stephane,J21,26,23,rencontre_D2F_1_2122_285.pdf,25,23,R,1,1,1,1,0,F,1,0,D2,2122
RADNUWU,ASUL VAULX EN VELIN,SEUTCHIE ludovic,NOISY LE GRAND HANDBALL,GHERRAM farid,J21,25,23,rencontre_D2F_1_2122_288.pdf,24,22,R,1,1,1,0,0,F,0,0,D2,2122
RADNUWW,CLUB ATHLETIQUE BEGLAIS,VASSEUR julien,BOUILLARGUES HANDBALL NIMES METROPOLE,CENDRE delphine,J22,28,31,rencontre_D2F_1_2122_290.pdf,27,30,R,-1,-1,0,0,0,F,0,0,D2,2122
RADNUXD,STELLA SAINT-MAUR HANDBALL,SAMSON remi,HAVRE ATHLETIC CLUB HB,PELLAN stephane,J23,25,27,rencontre_D2F_1_2122_297.pdf,25,26,R,-1,-1,0,0,0,F,0,0,D2,2122
RADNUXE,ACHENHEIM TRUCHTERSHEIM,BASNY jan,CLUB ATHLETIQUE BEGLAIS,VASSEUR julien,J23,22,20,rencontre_D2F_1_2122_298.pdf,21,20,R,1,1,1,0,0,F,1,0,D2,2122
RADNUXF,HB OCTEVILLE SUR MER,BOIVIN gautier,RENNES METROPOLE HB,MANTES olivier,J23,27,30,rencontre_D2F_1_2122_299.pdf,26,29,R,-1,-1,0,0,0,F,0,0,D2,2122
RADNUXJ,HAVRE ATHLETIC CLUB HB,PELLAN stephane,ST AMAND HANDBALL - PORTE DU HAINAUT,CARRACEDO felix,J24,25,26,rencontre_D2F_1_2122_303.pdf,25,26,R,-1,-1,0,1,0,F,0,0,D2,2122
RADNUXK,BOUILLARGUES HANDBALL NIMES METROPOLE,CENDRE delphine,ACHENHEIM TRUCHTERSHEIM,BASNY jan,J24,29,30,rencontre_D2F_1_2122_304.pdf,27,28,R,-1,-1,0,0,0,F,1,0,D2,2122
RADNUXN,NOISY LE GRAND HANDBALL,GHERRAM farid,HB OCTEVILLE SUR MER,BOIVIN gautier,J24,27,26,rencontre_D2F_1_2122_307.pdf,27,26,R,1,1,1,1,0,F,0,0,D2,2122
RADNUXU,ROCHECHOUART-ST-JUNIEN HANDBALL 87,PAQUIER nicolas,CLUB ATHLETIQUE BEGLAIS,VASSEUR julien,J25,27,29,rencontre_D2F_1_2122_314.pdf,27,28,R,-1,-1,0,0,0,F,0,0,D2,2122
RADNUXV,HB OCTEVILLE SUR MER,BOIVIN gautier,AS CANNES-MANDELIEU HANDBALL,PETRESKI tome,J25,31,28,rencontre_D2F_1_2122_315.pdf,31,28,R,1,1,1,1,0,F,0,0,D2,2122
RADNUXZ,NOISY LE GRAND HANDBALL,GHERRAM farid,HAVRE ATHLETIC CLUB HB,PELLAN stephane,J26,24,25,rencontre_D2F_1_2122_319.pdf,23,25,R,-1,-1,0,0,1,F,0,0,D2,2122
RADNUYC,CLUB ATHLETIQUE BEGLAIS,VASSEUR julien,HANDBALL CLERMONT AUVERGNE METROPOLE,SAUVAL florence,J26,28,26,rencontre_D2F_1_2122_322.pdf,27,26,R,1,1,1,1,0,F,0,0,D2,2122
RADNUYD,HBC AULNOYE AYMERIES,PETIT clement,HB OCTEVILLE SUR MER,BOIVIN gautier,J26,21,18,rencontre_D2F_1_2122_323.pdf,21,18,R,1,1,1,0,0,F,0,0,D2,2122
RADNYBO,PAYS AIX UNIVERSITE CLUB HANDBALL,ANTI thierry,LIMOGES HAND,HAYATOUNE tarik,J1,31,29,rencontre_D1H_2122_439.pdf,29,28,R,1,1,1,0,0,H,0,0,D1,2122
RADNYBP,CESSON RENNES METROPOLE HB,LERICHE sebastien,HBC NANTAIS,RODRIGUEZ alberto,J1,29,27,rencontre_D1H_2122_440.pdf,27,27,R,0,1,1,0,0,H,0,0,D1,2122
RADNYBQ,CHARTRES HANDBALL,SALAET toni,GRAND NANCY METROPOLE HB,BRAUX benjamin,J1,28,27,rencontre_D1H_2122_441.pdf,27,27,R,0,1,1,1,1,H,0,1,D1,2122
RADNYBS,MONTPELLIER HANDBALL,CANAYER patrice,SAINT RAPHAEL VHB,FORTUNEANU dan,J1,29,29,rencontre_D1H_2122_443.pdf,27,28,R,-1,0,1,0,1,H,0,1,D1,2122
RADNYCD,SARAN LOIRET HB,COURTIAL fabien,US CRETEIL HANDBALL,DELGADO fernando,J2,25,28,rencontre_D1H_2122_454.pdf,25,27,R,-1,-1,0,0,0,H,0,0,D1,2122
RADNYCJ,USAM NIMES GARD,MAURICE franck,LIMOGES HAND,HAYATOUNE tarik,J3,30,28,rencontre_D1H_2122_460.pdf,29,27,R,1,1,1,1,0,H,1,0,D1,2122
RADNYCL,FENIX TOULOUSE HANDBALL,ANDELKOVIC danijel,GRAND NANCY METROPOLE HB,BRAUX benjamin,J3,22,24,rencontre_D1H_2122_462.pdf,22,23,R,-1,-1,0,0,0,H,0,0,D1,2122
RADNYCP,LIMOGES HAND 87,HAYATOUNE tarik,ISTRES PROVENCE HANDBALL,DEROT gilles,J4,34,37,rencontre_D1H_2122_466.pdf,33,36,R,-1,-1,0,0,1,H,0,0,D1,2122
RADNYCV,CHAMBERY SAVOIE HB,MATHE erick,CHARTRES HANDBALL,SALAET toni,J5,24,25,rencontre_D1H_2122_472.pdf,24,25,R,-1,-1,0,1,0,H,0,0,D1,2122
RADNYCX,DUNKERQUE HANDBALL GRAND LITTORAL,CAZAL patrick,FENIX TOULOUSE HANDBALL,ANDELKOVIC danijel,J5,26,23,rencontre_D1H_2122_474.pdf,25,22,R,1,1,1,0,0,H,0,0,D1,2122
RADNYCY,ISTRES PROVENCE HANDBALL,DEROT gilles,PAYS AIX UNIVERSITE CLUB HANDBALL,ANTI thierry,J5,28,30,rencontre_D1H_2122_475.pdf,27,29,R,-1,-1,0,0,1,H,1,0,D1,2122
RADNYCZ,HBC NANTAIS,RODRIGUEZ alberto,LIMOGES HAND,HAYATOUNE tarik,J5,27,29,rencontre_D1H_2122_476.pdf,26,28,R,-1,-1,0,0,1,H,0,0,D1,2122
RADNYDB,SAINT RAPHAEL VHB,FORTUNEANU dan,SARAN LOIRET HB,COURTIAL fabien,J5,25,28,rencontre_D1H_2122_478.pdf,25,28,R,-1,-1,0,0,0,H,0,1,D1,2122
RADNYDC,PAYS AIX UNIVERSITE CLUB HANDBALL,ANTI thierry,USAM NIMES GARD,MAURICE franck,J6,28,27,rencontre_D1H_2122_479.pdf,28,27,R,1,1,1,0,0,H,0,0,D1,2122
RADNYDG,GRAND NANCY METROPOLE HB,BRAUX benjamin,CESSON RENNES METROPOLE HB,LERICHE sebastien,J6,27,25,rencontre_D1H_2122_483.pdf,26,24,R,1,1,1,1,0,H,0,0,D1,2122
RADNYDI,SARAN LOIRET HB,COURTIAL fabien,ISTRES PROVENCE HANDBALL,DEROT gilles,J6,29,27,rencontre_D1H_2122_485.pdf,28,26,R,1,1,1,1,0,H,0,0,D1,2122
RADNYDN,DUNKERQUE HANDBALL GRAND LITTORAL,CAZAL patrick,SARAN LOIRET HB,COURTIAL fabien,J7,25,24,rencontre_D1H_2122_490.pdf,25,23,R,1,1,1,0,0,H,1,0,D1,2122
RADNYDO,MONTPELLIER HANDBALL,CANAYER patrice,PARIS SAINT-GERMAIN HANDBALL,GUTIERREZ raul,J7,33,34,rencontre_D1H_2122_491.pdf,33,33,R,0,-1,0,0,0,H,0,0,D1,2122
RADNYDQ,USAM NIMES GARD,MAURICE franck,FENIX TOULOUSE HANDBALL,ANDELKOVIC danijel,J7,25,26,rencontre_D1H_2122_493.pdf,25,25,R,0,-1,0,1,0,H,0,0,D1,2122
RADNYDT,CHAMBERY SAVOIE HB,MATHE erick,DUNKERQUE HANDBALL GRAND LITTORAL,CAZAL patrick,J8,30,27,rencontre_D1H_2122_496.pdf,29,26,R,1,1,1,0,0,H,0,0,D1,2122
RADNYDU,CHARTRES HANDBALL,SALAET toni,LIMOGES HAND,HAYATOUNE tarik,J8,27,25,rencontre_D1H_2122_497.pdf,26,24,R,1,1,1,0,0,H,0,0,D1,2122
RADNYDW,ISTRES PROVENCE HANDBALL,DEROT gilles,USAM NIMES GARD,MAURICE franck,J8,29,29,rencontre_D1H_2122_499.pdf,28,29,R,-1,0,1,0,1,H,0,0,D1,2122
RADNYDX,GRAND NANCY METROPOLE HB,BRAUX benjamin,MONTPELLIER HANDBALL,CANAYER patrice,J8,30,33,rencontre_D1H_2122_500.pdf,29,32,R,-1,-1,0,0,0,H,0,0,D1,2122
RADNYDY,SARAN LOIRET HB,COURTIAL fabien,HBC NANTAIS,RODRIGUEZ alberto,J8,28,30,rencontre_D1H_2122_501.pdf,27,29,R,-1,-1,0,0,0,H,0,0,D1,2122
RADNYDZ,FENIX TOULOUSE HANDBALL,ANDELKOVIC danijel,SAINT RAPHAEL VHB,FORTUNEANU dan,J8,29,28,rencontre_D1H_2122_502.pdf,28,28,R,0,1,1,1,1,H,1,1,D1,2122
RADNYEA,CESSON RENNES METROPOLE HB,LERICHE sebastien,FENIX TOULOUSE HANDBALL,ANDELKOVIC danijel,J9,27,27,rencontre_D1H_2122_503.pdf,26,27,R,-1,0,1,0,0,H,0,0,D1,2122
RADNYEB,DUNKERQUE HANDBALL GRAND LITTORAL,CAZAL patrick,GRAND NANCY METROPOLE HB,BRAUX benjamin,J9,24,23,rencontre_D1H_2122_504.pdf,24,22,R,1,1,1,0,0,H,0,0,D1,2122
RADNYED,MONTPELLIER HANDBALL,CANAYER patrice,PAYS AIX UNIVERSITE CLUB HANDBALL,ANTI thierry,J9,27,28,rencontre_D1H_2122_506.pdf,26,28,R,-1,-1,0,1,0,H,0,0,D1,2122
RADNYEH,SAINT RAPHAEL VHB,FORTUNEANU dan,US CRETEIL HANDBALL,DELGADO fernando,J9,33,31,rencontre_D1H_2122_510.pdf,32,30,R,1,1,1,0,0,H,0,1,D1,2122
RADNYEI,PAYS AIX UNIVERSITE CLUB HANDBALL,ANTI thierry,CESSON RENNES METROPOLE HB,LERICHE sebastien,J10,25,24,rencontre_D1H_2122_511.pdf,25,24,R,1,1,1,1,0,H,0,0,D1,2122
RADNYEJ,CHAMBERY SAVOIE HB,MATHE erick,MONTPELLIER HANDBALL,CANAYER patrice,J10,27,23,rencontre_D1H_2122_512.pdf,25,23,R,1,1,1,0,0,H,0,1,D1,2122
RADNYEL,US CRETEIL HANDBALL,DELGADO fernando,USAM NIMES GARD,MAURICE franck,J10,36,36,rencontre_D1H_2122_514.pdf,36,33,R,1,0,0,0,0,H,0,1,D1,2122
RADNYEN,GRAND NANCY METROPOLE HB,BRAUX benjamin,SARAN LOIRET HB,COURTIAL fabien,J10,27,29,rencontre_D1H_2122_516.pdf,26,28,R,-1,-1,0,0,1,H,0,0,D1,2122
RADNYEP,FENIX TOULOUSE HANDBALL,ANDELKOVIC danijel,LIMOGES HAND,STEFANOVIC rastko,J10,27,27,rencontre_D1H_2122_518.pdf,27,26,R,1,0,0,1,1,H,0,0,D1,2122
RADNYEQ,CESSON RENNES METROPOLE HB,LERICHE sebastien,CHARTRES HANDBALL,SALAET toni,J11,25,24,rencontre_D1H_2122_519.pdf,24,24,R,0,1,1,1,1,H,0,0,D1,2122
RADNYET,MONTPELLIER HANDBALL,CANAYER patrice,USAM NIMES GARD,MAURICE franck,J11,32,29,rencontre_D1H_2122_522.pdf,32,29,R,1,1,1,0,0,H,0,0,D1,2122
RADNYEV,HBC NANTAIS,RODRIGUEZ alberto,US CRETEIL HANDBALL,DELGADO fernando,J11,30,26,rencontre_D1H_2122_524.pdf,28,26,R,1,1,1,0,0,H,0,0,D1,2122
RADNYEW,SAINT RAPHAEL VHB,FORTUNEANU dan,CHAMBERY SAVOIE HB,MATHE erick,J11,30,29,rencontre_D1H_2122_525.pdf,29,29,R,0,1,1,0,1,H,0,0,D1,2122
RADNYEX,SARAN LOIRET HB,COURTIAL fabien,FENIX TOULOUSE HANDBALL,ANDELKOVIC danijel,J11,30,32,rencontre_D1H_2122_526.pdf,29,31,R,-1,-1,0,0,0,H,1,0,D1,2122
RADNYFA,CHARTRES HANDBALL,SALAET toni,DUNKERQUE HANDBALL GRAND LITTORAL,CALBRY arnaud,J12,27,26,rencontre_D1H_2122_529.pdf,27,26,R,1,1,1,0,0,H,0,1,D1,2122
RADNYFB,US CRETEIL HANDBALL,DELGADO fernando,LIMOGES HAND,STEFANOVIC rastko,J12,32,31,rencontre_D1H_2122_530.pdf,32,30,R,1,1,1,0,0,H,0,0,D1,2122
RADNYFG,CESSON RENNES METROPOLE HB,LERICHE sebastien,ISTRES PROVENCE HANDBALL,DEROT gilles,J13,30,30,rencontre_D1H_2122_535.pdf,30,29,R,1,0,0,1,0,H,0,1,D1,2122
RADNYFN,FENIX TOULOUSE HANDBALL,ANDELKOVIC danijel,US CRETEIL HANDBALL,DELGADO fernando,J13,28,28,rencontre_D1H_2122_542.pdf,26,27,R,-1,0,1,0,1,H,0,0,D1,2122
