club;division;saison;HF;match_joue;total_point;J1;J2;J3;J4;J5;J6;J7;J8;J9;J10;J11;J12;J13;J14;J15;J16;J17;J18;J19;J20;J21;J22;J23;J24;J25;J26
ROCHECHOUART-ST-JUNIEN HANDBALL;N1;2223;F;24;51;3;1;1;3;1;1;3;3;3;3;NA;3;2;3;3;3;1;2;1;3;1;2;1;NA;3;1
ROUEN HANDBALL;N1;2223;F;24;64;1;3;3;1;3;3;NA;3;3;3;3;3;3;3;3;1;1;3;3;NA;3;3;3;3;3;3
RUEIL ATHLETIC CLUB;N1;2223;F;24;45;1;1;NA;2;1;1;3;1;1;3;1;3;3;2;1;NA;3;1;2;1;1;3;3;1;3;3
SAINT-FLOUR HANDBALL;N1;2223;F;22;35;1;1;1;2;NA;1;1;1;1;1;1;3;NA;3;1;3;1;NA;1;1;1;1;3;3;3;NA
ST AMAND HANDBALL - PORTE DU HAINAUT;N1;2223;F;24;49;1;NA;3;3;1;3;1;1;1;3;1;3;3;3;NA;1;1;2;3;1;1;3;3;1;3;3
STADE PESSACAIS UNION CLUB HANDBALL;N1;2223;F;24;70;NA;3;3;3;3;3;3;3;3;3;3;3;3;NA;3;3;3;3;3;3;3;3;3;3;3;1
STELLA SAINT-MAUR HANDBALL;N1;2223;F;24;52;3;3;1;3;3;NA;3;3;1;1;3;3;1;1;3;1;3;3;NA;3;1;3;1;3;1;1
STRASBOURG ASPTT;N1;2223;F;24;52;3;1;2;1;3;2;NA;1;3;1;3;3;3;3;1;3;1;3;1;NA;1;3;1;3;3;3
UNION PAYS D'AIX BOUC HANDBALL;N1;2223;F;22;59;3;3;3;3;1;3;3;3;3;NA;3;NA;3;3;3;3;1;1;2;3;3;3;NA;3;NA;3
UNION SPORTIVE ALFORTVILLE HANDBALL;N1;2223;F;24;32;3;3;1;1;3;1;1;1;1;1;1;1;NA;1;1;1;1;3;1;1;1;1;1;1;1;NA
US MIOS BIGANOS;N1;2223;F;24;67;3;3;3;3;3;3;3;3;3;3;3;NA;1;3;3;3;3;2;3;3;1;3;3;3;NA;3
US PALAISEAU;N1;2223;F;24;41;3;1;1;3;NA;1;2;3;3;1;3;1;1;3;3;1;1;NA;1;1;1;3;1;1;1;1
YUTZ HANDBALL FEMININ;N1;2223;F;24;46;3;1;2;2;3;1;3;3;3;3;2;NA;1;2;1;1;3;1;1;1;3;1;3;1;NA;1
ANGOULEME CHARENTE HANDBALL;N1;2324;F;22;47;3;3;1;1;3;3;1;3;3;2;3;3;3;1;3;2;1;1;2;1;1;3;NA;NA;NA;NA
ANNECY CSAV HANDBALL;N1;2324;F;22;44;3;1;NA;1;NA;3;1;3;3;1;3;1;2;3;1;NA;1;NA;3;3;1;3;2;3;1;1
AS CANNES-MANDELIEU HANDBALL;N1;2324;F;22;43;1;3;3;1;NA;3;NA;1;3;3;1;2;3;1;3;3;1;NA;1;NA;1;1;3;1;1;3
BERGERAC PERIGORD POURPRE HANDBALL;N1;2324;F;22;61;3;3;3;3;3;3;3;3;3;3;3;3;3;1;3;2;3;3;1;3;3;3;NA;NA;NA;NA
BLANZAT SPORT MONTLUCON;N1;2324;F;22;32;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;2;3;3;3;1;2;1;NA;NA;NA;NA
BREST BRETAGNE HANDBALL;N1;2324;F;22;49;1;3;3;3;3;1;1;1;1;3;3;3;1;3;3;3;3;2;1;3;3;1;NA;NA;NA;NA
BRON HANDBALL;N1;2324;F;22;38;NA;1;NA;1;3;1;3;1;1;1;1;3;3;NA;1;NA;1;3;1;1;3;3;1;1;3;1
BRUGUIERES OCCITAN CLUB;N1;2324;F;22;36;3;1;1;1;1;3;1;1;1;2;1;1;1;1;2;1;1;1;3;3;3;3;NA;NA;NA;NA
CELLES SUR BELLE MELLOIS EN POITOU;N1;2324;F;22;38;1;3;3;1;1;3;1;1;3;1;1;1;3;1;1;1;3;1;3;3;1;1;NA;NA;NA;NA
CERCLE PAUL BERT RENNES HB;N1;2324;F;22;47;3;1;1;3;1;3;1;3;3;1;3;3;3;3;2;1;1;1;3;3;3;1;NA;NA;NA;NA
CHAMBRAY TOURAINE HANDBALL;N1;2324;F;22;39;3;1;2;3;1;1;1;1;1;1;1;1;3;3;3;1;1;3;1;1;3;3;NA;NA;NA;NA
CHEVIGNY ST SAUVEUR HANDBALL;N1;2324;F;22;35;1;1;1;1;2;1;3;1;1;3;3;3;3;1;1;1;1;1;1;1;1;3;NA;NA;NA;NA
CJF FLEURY LOIRET HANDBALL;N1;2324;F;22;42;1;3;1;1;2;3;2;3;3;1;1;1;1;1;1;3;3;3;3;1;1;3;NA;NA;NA;NA
CLUB LAIQUE COLOMBELLES HANDBALL;N1;2324;F;22;40;1;1;1;3;3;1;3;1;1;3;1;1;3;1;3;1;1;1;1;3;3;3;NA;NA;NA;NA
COTE BASQUE HB;N1;2324;F;22;50;1;1;3;3;3;3;3;3;1;1;3;2;1;3;2;3;3;3;1;1;3;3;NA;NA;NA;NA
ENTENTE SAONE MAMIROLLE HB;N1;2324;F;22;24;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA
ES BESANCON FEMININ;N1;2324;F;22;52;1;3;3;3;3;3;3;3;1;2;2;3;1;3;1;3;3;3;1;1;3;3;NA;NA;NA;NA
HANDBALL CLUB THUIR;N1;2324;F;22;45;3;NA;3;3;3;1;3;3;1;1;3;1;NA;2;NA;3;3;3;1;1;3;1;1;1;1;NA
HANDBALL PLAN DE CUQUES;N1;2324;F;22;45;1;1;1;3;3;3;NA;1;NA;3;3;1;2;1;1;3;1;3;1;NA;1;NA;3;3;3;3
HANDBALL ST ETIENNE METROPOLE;N1;2324;F;22;31;1;1;1;1;1;3;3;NA;2;NA;1;1;1;1;1;1;1;1;3;1;NA;1;NA;3;1;1
HARNES H.B.C.;N1;2324;F;22;46;3;1;1;1;1;3;3;3;3;3;3;3;1;2;2;1;3;3;3;1;1;1;NA;NA;NA;NA
HB FEMININ MONTPELLIER MEDITERRANEE;N1;2324;F;22;55;3;3;3;NA;1;NA;1;3;3;3;3;2;3;3;3;3;NA;2;NA;3;1;3;2;3;3;1
HB OCTEVILLE SUR MER;N1;2324;F;22;61;3;3;3;3;3;3;3;3;3;3;3;2;3;2;3;3;3;2;3;1;3;3;NA;NA;NA;NA
JDA DIJON HANDBALL;N1;2324;F;22;46;3;1;3;1;1;1;1;3;1;3;1;3;3;3;3;1;1;3;1;3;3;3;NA;NA;NA;NA
LA MOTTE SERVOLEX HB;N1;2324;F;22;57;1;3;3;3;3;1;1;3;2;3;NA;3;NA;2;3;3;3;2;3;3;3;3;3;NA;3;NA
LA ROCHE SUR YON VENDEE HB;N1;2324;F;22;56;3;1;3;3;1;1;3;3;3;3;3;2;3;3;1;2;3;3;3;3;3;3;NA;NA;NA;NA
LES NEPTUNES DE NANTES;N1;2324;F;22;38;1;2;1;3;1;1;3;1;1;2;3;1;3;3;1;1;3;1;1;1;3;1;NA;NA;NA;NA
MAZAN;N1;2324;F;22;37;1;NA;1;NA;1;3;1;1;1;1;1;3;3;2;NA;1;NA;1;3;3;3;1;1;1;1;3
MERIGNAC HANDBALL;N1;2324;F;22;38;1;1;3;1;2;1;3;1;1;3;1;1;1;3;3;3;1;1;3;1;2;1;NA;NA;NA;NA
METZ HANDBALL;N1;2324;F;22;58;3;3;1;3;3;3;3;3;3;3;3;1;3;3;1;3;3;1;3;3;3;3;NA;NA;NA;NA
OGC NICE COTE D'AZUR HANDBALL;N1;2324;F;22;46;3;3;1;3;1;1;1;3;NA;1;NA;3;1;2;3;1;3;1;3;3;2;NA;1;NA;3;3
PALENTE BESANCON HANDBALL;N1;2324;F;22;64;3;3;3;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;NA;NA;NA;NA
REIMS CHAMPAGNE HANDBALL;N1;2324;F;22;39;3;1;1;1;3;1;1;1;3;1;2;1;1;1;3;1;1;3;3;3;1;3;NA;NA;NA;NA
ROCHECHOUART-ST-JUNIEN HANDBALL;N1;2324;F;22;52;3;3;1;3;3;3;3;3;3;3;1;3;1;3;1;3;1;3;1;3;1;3;NA;NA;NA;NA
ROUEN HANDBALL;N1;2324;F;22;56;1;3;3;3;3;1;3;3;1;3;3;3;1;3;3;3;1;3;3;3;3;3;NA;NA;NA;NA
ROZ HAND'DU;N1;2324;F;22;48;3;1;3;1;3;3;2;3;1;3;1;1;3;3;1;3;3;1;2;3;1;3;NA;NA;NA;NA
RUEIL ATHLETIC CLUB;N1;2324;F;22;32;3;3;2;1;2;1;1;1;3;1;1;3;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA
SAINT-FLOUR HANDBALL;N1;2324;F;22;27;NA;1;1;1;1;1;3;1;1;NA;1;1;1;NA;1;1;3;1;1;1;2;1;NA;1;1;1
SBBL HANDBALL BETHUNE;N1;2324;F;22;24;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;NA;NA;NA;NA
ST AMAND HANDBALL - PORTE DU HAINAUT;N1;2324;F;22;44;1;3;3;1;1;3;3;1;3;1;3;2;3;1;1;1;3;3;2;3;1;1;NA;NA;NA;NA
STELLA SAINT-MAUR HANDBALL;N1;2324;F;22;42;1;1;1;3;1;3;3;3;3;2;1;1;1;1;3;3;1;3;3;2;1;1;NA;NA;NA;NA
STRASBOURG ASPTT;N1;2324;F;22;37;3;3;2;3;1;1;1;1;3;1;3;1;3;1;3;1;1;1;1;1;1;1;NA;NA;NA;NA
UNION PAYS D'AIX BOUC HANDBALL;N1;2324;F;22;60;3;3;3;3;3;NA;3;NA;3;3;3;3;1;3;3;1;3;3;NA;1;NA;3;3;3;3;3
US MIOS BIGANOS;N1;2324;F;22;50;3;3;3;1;3;1;1;1;3;2;3;3;3;3;3;3;1;3;2;3;1;1;NA;NA;NA;NA
US PALAISEAU;N1;2324;F;22;39;1;3;2;2;1;1;1;1;3;1;2;1;3;3;3;1;3;1;1;1;3;1;NA;NA;NA;NA
VILLEMOMBLE HANDBALL;N1;2324;F;22;52;3;1;3;3;2;3;3;3;1;3;2;3;1;1;1;3;3;3;3;3;3;1;NA;NA;NA;NA
YUTZ HANDBALL FEMININ;N1;2324;F;22;40;1;3;3;2;3;3;1;1;1;1;1;1;1;3;1;3;3;1;3;2;1;1;NA;NA;NA;NA
ZIBERO SPORTS TARDETS;N1;2324;F;22;30;1;2;1;3;2;1;1;1;1;1;1;3;1;1;3;1;1;1;1;1;1;1;NA;NA;NA;NA
ANNECY CSAV HANDBALL;N1;2021;H;3;7;3;1;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AS LYON CALUIRE;N1;2021;H;1;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BEAUNE HANDBALL;N1;2021;H;3;9;3;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BELFORT AUHB;N1;2021;H;5;15;3;3;3;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CERCLE SPORTIF VESULIEN HAUTE SAONE;N1;2021;H;3;5;NA;3;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CHAMBERY SAVOIE HB;N1;2021;H;3;3;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CS BOURGOIN JALLIEU HB;N1;2021;H;2;4;3;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
DRAGUIGNAN VAR HANDBALL;N1;2021;H;3;7;3;3;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
EPINAL HB;N1;2021;H;5;9;1;3;3;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FOLSCHVILLER;N1;2021;H;5;12;1;3;3;2;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
GFCA HANDBALL;N1;2021;H;3;8;3;2;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
H BAGNOLS GARD RHODANIEN;N1;2021;H;2;6;3;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
HANDBALL CLUB COURNON D'AUVERGNE;N1;2021;H;4;12;3;NA;3;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
MARTIGUES HANDBALL;N1;2021;H;4;6;3;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
METZ HANDBALL;N1;2021;H;5;8;3;1;1;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
MONTPELLIER HANDBALL;N1;2021;H;4;10;1;3;NA;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
O. ANTIBES JUAN LES PINS HB;N1;2021;H;2;3;1;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SAINT-FLOUR HANDBALL;N1;2021;H;5;6;1;1;1;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SELESTAT ALSACE HANDBALL;N1;2021;H;5;11;3;1;1;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TREMBLAY HANDBALL;N1;2021;H;3;7;1;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
U.S. CRAUROISE HANDBALL;N1;2021;H;3;4;1;NA;1;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
USAM NIMES GARD;N1;2021;H;2;4;1;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
VILLENEUVE LOUBET HANDBALL;N1;2021;H;2;2;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
VILLERS HANDBALL;N1;2021;H;5;5;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AS LYON CALUIRE;N1;2122;H;21;43;3;1;3;3;1;1;1;1;3;3;3;3;1;3;3;2;1;1;1;1;3;1;NA;NA;NA;NA
ATHLETIC CLUB BOULOGNE BILLANCOURT;N1;2122;H;22;53;1;3;3;3;3;1;3;3;2;3;3;1;1;3;3;3;3;1;3;3;1;3;NA;NA;NA;NA
BEAUNE HANDBALL;N1;2122;H;22;41;3;2;3;1;3;1;1;2;1;3;3;3;1;1;1;1;1;3;1;2;3;1;NA;NA;NA;NA
BELFORT AUHB;N1;2122;H;22;54;3;3;1;3;3;3;1;3;1;3;1;1;3;3;3;3;3;3;1;3;3;3;NA;NA;NA;NA
CERCLE SPORTIF VESULIEN HAUTE SAONE;N1;2122;H;22;54;3;3;3;3;1;3;3;1;2;3;1;2;3;3;3;3;3;3;3;1;1;3;NA;NA;NA;NA
CHAMBERY SAVOIE HB;N1;2122;H;22;49;3;2;2;3;1;3;1;3;3;3;1;3;3;1;3;1;1;1;2;3;3;3;NA;NA;NA;NA
CS BOURGOIN JALLIEU HB;N1;2122;H;22;42;1;3;1;1;3;1;2;1;3;1;1;3;3;1;1;3;1;2;1;3;3;3;NA;NA;NA;NA
DRAGUIGNAN VAR HANDBALL;N1;2122;H;22;44;1;1;3;1;3;3;3;1;1;1;1;1;1;3;1;3;3;3;3;1;3;3;NA;NA;NA;NA
EPINAL HB;N1;2122;H;22;23;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;NA;NA;NA;NA
FENIX TOULOUSE HANDBALL;N1;2122;H;22;53;3;3;3;3;1;1;3;3;3;1;3;3;3;3;2;3;1;1;3;3;3;1;NA;NA;NA;NA
FOLSCHVILLER;N1;2122;H;22;46;1;1;1;3;1;1;2;3;3;3;3;3;3;1;2;1;3;2;3;2;3;1;NA;NA;NA;NA
GFCA HANDBALL;N1;2122;H;22;53;1;2;3;3;3;3;3;3;3;3;1;1;1;1;3;3;3;3;3;3;1;3;NA;NA;NA;NA
H BAGNOLS GARD RHODANIEN;N1;2122;H;22;46;1;3;1;3;3;3;1;1;1;3;3;3;3;3;3;1;3;1;1;3;1;1;NA;NA;NA;NA
MARTIGUES HANDBALL;N1;2122;H;22;57;3;2;3;1;3;1;3;3;3;3;3;3;3;3;2;2;1;3;3;3;3;3;NA;NA;NA;NA
METZ HANDBALL;N1;2122;H;22;43;3;1;1;2;1;3;3;2;3;1;3;3;1;2;3;1;1;3;3;1;1;1;NA;NA;NA;NA
MONTPELLIER HANDBALL;N1;2122;H;22;53;3;3;3;3;1;3;1;3;3;1;1;3;3;3;3;1;3;3;3;2;1;3;NA;NA;NA;NA
O. ANTIBES JUAN LES PINS HB;N1;2122;H;22;38;1;1;1;1;3;3;1;1;3;3;3;1;1;1;3;1;3;1;1;1;3;1;NA;NA;NA;NA
SAINT-FLOUR HANDBALL;N1;2122;H;22;22;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA
SELESTAT ALSACE HANDBALL;N1;2122;H;22;42;1;3;3;2;3;3;3;3;1;1;1;2;1;3;1;3;3;1;1;1;1;1;NA;NA;NA;NA
TREMBLAY HANDBALL;N1;2122;H;22;49;3;1;3;1;3;3;3;1;3;1;3;1;3;2;2;3;3;3;2;1;3;1;NA;NA;NA;NA
U.S. CRAUROISE HANDBALL;N1;2122;H;22;42;3;3;1;3;3;1;3;1;1;3;1;1;3;1;1;3;1;3;1;3;1;1;NA;NA;NA;NA
USAM NIMES GARD;N1;2122;H;22;49;3;3;1;1;1;3;3;3;1;1;3;3;3;1;1;3;3;3;1;2;3;3;NA;NA;NA;NA
VILLENEUVE LOUBET HANDBALL;N1;2122;H;22;28;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;3;1;1;3;NA;NA;NA;NA
VILLERS HANDBALL;N1;2122;H;22;32;1;1;2;1;1;1;1;1;1;1;3;1;1;3;1;1;1;1;3;3;1;2;NA;NA;NA;NA
AS LYON CALUIRE;N1;2223;H;26;59;1;3;3;3;1;1;3;3;1;2;3;1;3;2;1;2;3;3;1;3;1;3;3;3;3;3
BILLERE HANDBALL PAU PYRENEES;N1;2223;H;26;59;3;1;3;1;2;3;1;3;3;3;3;3;1;2;3;1;1;3;3;3;1;3;3;3;1;2
CHAMBERY SAVOIE HB;N1;2223;H;26;58;3;1;2;1;3;3;3;3;3;3;1;3;1;1;3;3;3;3;2;1;1;1;3;3;1;3
CS BOURGOIN JALLIEU HB;N1;2223;H;26;57;3;3;1;1;3;3;3;1;1;3;1;3;1;1;3;3;1;1;2;3;3;3;1;3;3;3
DRAGUIGNAN VAR HANDBALL;N1;2223;H;26;55;3;3;3;3;1;3;1;3;1;3;1;1;3;2;3;3;1;1;1;3;3;1;3;1;3;1
FENIX TOULOUSE HANDBALL;N1;2223;H;26;53;1;1;3;1;3;1;1;1;3;2;3;3;3;1;3;3;3;3;1;1;3;1;1;3;3;1
GFCA HANDBALL;N1;2223;H;26;61;1;1;1;3;3;1;3;3;3;3;3;3;1;2;1;2;3;3;2;3;3;3;3;3;1;3
H BAGNOLS GARD RHODANIEN;N1;2223;H;26;42;1;3;1;1;1;1;1;1;3;1;3;1;3;3;3;1;1;1;1;1;3;1;1;1;1;3
ISTRES PROVENCE HANDBALL;N1;2223;H;26;33;1;1;2;3;1;1;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1
MONTPELLIER HANDBALL;N1;2223;H;26;70;3;3;3;3;2;3;3;2;3;3;3;1;3;3;1;3;3;3;3;3;3;3;3;3;3;1
O. ANTIBES JUAN LES PINS HB;N1;2223;H;26;40;1;3;1;1;3;1;3;1;1;1;1;1;1;3;1;1;1;1;3;1;1;1;3;1;3;1
U.S. CRAUROISE HANDBALL;N1;2223;H;26;49;3;3;1;3;2;3;3;1;1;1;3;3;3;1;1;1;3;1;3;1;3;1;1;1;1;1
USAM NIMES GARD;N1;2223;H;26;53;1;1;3;3;1;3;1;3;1;1;1;1;3;3;3;3;3;1;3;3;1;3;1;1;3;2
ZIBERO SPORTS TARDETS;N1;2223;H;26;39;3;1;1;1;2;1;1;2;1;1;1;3;1;3;1;1;1;1;2;1;1;3;1;1;1;3
AS LYON CALUIRE;N1;2324;H;22;40;1;3;1;1;3;1;3;2;1;1;1;3;1;3;1;1;3;3;1;2;3;1;NA;NA;NA;NA
BILLERE HANDBALL PAU PYRENEES;N1;2324;H;22;44;3;1;3;3;3;1;2;3;2;3;2;1;3;2;1;1;1;3;1;1;1;3;NA;NA;NA;NA
BORDEAUX BRUGES;N1;2324;H;22;44;1;1;1;3;1;1;3;1;3;1;3;1;3;1;3;3;3;1;3;1;3;3;NA;NA;NA;NA
DRAGUIGNAN VAR HANDBALL;N1;2324;H;22;50;3;3;3;1;1;3;1;3;3;3;1;3;3;3;3;2;1;3;1;2;2;2;NA;NA;NA;NA
FENIX TOULOUSE HANDBALL;N1;2324;H;22;35;3;1;1;1;1;1;2;3;1;3;3;1;1;1;1;1;1;1;1;3;1;3;NA;NA;NA;NA
GFCA HANDBALL;N1;2324;H;22;45;1;3;3;2;1;3;1;1;3;3;1;3;1;3;1;3;1;1;3;3;3;1;NA;NA;NA;NA
GRENOBLE SMH METROPOLE ISERE;N1;2324;H;22;49;3;3;3;1;3;3;1;1;3;1;3;3;3;1;2;1;3;1;3;2;3;2;NA;NA;NA;NA
MONTPELLIER HANDBALL;N1;2324;H;22;46;3;3;1;2;1;3;3;3;1;1;2;3;1;3;3;3;1;1;3;1;3;1;NA;NA;NA;NA
PAU NOUSTY SPORTS;N1;2324;H;22;43;1;1;3;3;3;3;2;1;2;3;1;1;3;1;1;2;3;1;3;3;1;1;NA;NA;NA;NA
PROVENCE AIX UNIVERSITE CLUB HANDBALL;N1;2324;H;22;49;1;1;1;3;3;3;2;3;3;1;3;2;1;3;2;3;3;3;1;3;1;3;NA;NA;NA;NA
U.S. CRAUROISE HANDBALL;N1;2324;H;22;34;1;1;3;3;1;1;1;1;1;3;1;1;1;1;3;3;1;3;1;1;1;1;NA;NA;NA;NA
USAM NIMES GARD;N1;2324;H;22;49;3;3;1;1;3;1;3;2;1;1;3;2;3;2;3;1;3;3;3;2;2;3;NA;NA;NA;NA
