"","code_rencontre","club_recevant","coach_recevant","club_visiteur","coach_visiteur","score_final_r","score_final_v","fichier","journee","score_recevant_59_min","score_visiteur_59_min","equipe","statut_59_min","statut_final","effet_positif","TM_derniere_min","TM_derniere_min_adverse","HF","DM","DM_adverse","division","saison","club_ref","club_opp","points_recevant","points_visiteur","diff_point","diff_point_norm"
"73","SAEDKNI","HAVRE ATHLETIC CLUB HB","PELLAN stephane","CLUB ATHLETIQUE BEGLAIS","VASSEUR julien",27,24,"rencontre_D2F_1_2223_456.pdf","J16",27,24,"R",1,1,1,0,0,"F",0,0,"D2",2223,"havre athletic club hb","club athletique beglais",26,28,-2,-0.121824493355556
"74","SAEDKNM","NOISY LE GRAND HANDBALL","GHERRAM farid","SAMBRE AVESNOIS HANDBALL","PETIT clement",28,27,"rencontre_D2F_1_2223_460.pdf","J16",26,26,"R",0,1,1,1,0,"F",0,0,"D2",2223,"noisy le grand handball","sambre avesnois handball",31,32,-1,-0.00229857534633126
"75","SAEDKNN","ACHENHEIM TRUCHTERSHEIM","BASNY jan","STELLA SAINT-MAUR HANDBALL","SAMSON remi",28,25,"rencontre_D2F_1_2223_461.pdf","J16",28,25,"R",1,1,1,0,0,"F",1,0,"D2",2223,"achenheim truchtersheim","stella saint-maur handball",34,42,-8,-0.838980001410907
"76","SAEDKNO","TOULOUSE FEMININ HANDBALL","VEDEL fabien","PALENTE BESANCON HANDBALL","SECK cheikh",30,28,"rencontre_D2F_1_2223_462.pdf","J16",29,27,"R",1,1,1,1,0,"F",0,0,"D2",2223,"toulouse feminin handball","palente besancon handball",21,20,1,0.236753260672119
"77","SAEDKNQ","HAVRE ATHLETIC CLUB HB","PELLAN stephane","NOISY LE GRAND HANDBALL","GHERRAM farid",29,31,"rencontre_D2F_1_2223_464.pdf","J17",28,31,"R",-1,-1,0,0,0,"F",0,1,"D2",2223,"havre athletic club hb","noisy le grand handball",29,34,-5,-0.480402247383232
"78","SAEDKNR","SAINT GREGOIRE RENNES METROPOLE HB","MANTES olivier","LOMME LILLE METROPOLE HB","WORM laurent",30,30,"rencontre_D2F_1_2223_465.pdf","J17",30,29,"R",1,0,0,0,1,"F",1,0,"D2",2223,"saint gregoire rennes metropole hb","lomme lille metropole hb",25,24,1,0.236753260672119
"79","SAEDKNT","PALENTE BESANCON HANDBALL","SECK cheikh","BOUILLARGUES HANDBALL NIMES METROPOLE","CENDRE delphine",24,24,"rencontre_D2F_1_2223_467.pdf","J17",22,24,"R",-1,0,1,0,1,"F",0,1,"D2",2223,"palente besancon handball","bouillargues handball nimes metropole",21,28,-7,-0.719454083401682
"80","SAEDKNU","STELLA SAINT-MAUR HANDBALL","SAMSON remi","HANDBALL CLERMONT AUVERGNE METROPOLE","SAUVAL florence",32,33,"rencontre_D2F_1_2223_468.pdf","J17",30,32,"R",-1,-1,0,0,0,"F",0,0,"D2",2223,"stella saint-maur handball","handball clermont auvergne metropole 63",43,36,7,0.95390876872747
"81","SAEDKNW","BOUILLARGUES HANDBALL NIMES METROPOLE","CENDRE delphine","CLUB ATHLETIQUE BEGLAIS","VASSEUR julien",30,26,"rencontre_D2F_1_2223_470.pdf","J18",29,26,"R",1,1,1,0,0,"F",0,0,"D2",2223,"bouillargues handball nimes metropole","club athletique beglais",30,29,1,0.236753260672119
"82","SAEDKNZ","NOISY LE GRAND HANDBALL","GHERRAM farid","TOULOUSE FEMININ HANDBALL","PUIGSEGUR laurent",22,19,"rencontre_D2F_1_2223_473.pdf","J18",21,19,"R",1,1,1,0,0,"F",0,0,"D2",2223,"noisy le grand handball","toulouse feminin handball",37,25,12,1.5515383587736
"83","SAEDKOB","SAMBRE AVESNOIS HANDBALL","PETIT clement","STELLA SAINT-MAUR HANDBALL","SAMSON remi",24,25,"rencontre_D2F_1_2223_475.pdf","J18",22,25,"R",-1,-1,0,0,0,"F",0,0,"D2",2223,"sambre avesnois handball","stella saint-maur handball",36,44,-8,-0.838980001410907
"84","SAEDKOC","HANDBALL CLERMONT AUVERGNE METROPOLE","SAUVAL florence","PALENTE BESANCON HANDBALL","SECK cheikh",36,34,"rencontre_D2F_1_2223_476.pdf","J18",35,34,"R",1,1,1,0,0,"F",0,1,"D2",2223,"handball clermont auvergne metropole 63","palente besancon handball",39,23,16,2.0296420308105
"85","SAEDKOD","ASUL VAULX EN VELIN","MODENEL sebastien","HANDBALL CLERMONT AUVERGNE METROPOLE","SAUVAL florence",27,27,"rencontre_D2F_1_2223_477.pdf","J19",26,27,"R",-1,0,1,0,1,"F",0,0,"D2",2223,"asul vaulx en velin","handball clermont auvergne metropole 63",23,42,-19,-2.15376509951238
"86","SAEDKOE","HAVRE ATHLETIC CLUB HB","PELLAN stephane","TOULOUSE FEMININ HANDBALL","PUIGSEGUR laurent",23,25,"rencontre_D2F_1_2223_478.pdf","J19",23,24,"R",-1,-1,0,0,1,"F",1,0,"D2",2223,"havre athletic club hb","toulouse feminin handball",33,26,7,0.95390876872747
"87","SAEDKOF","SAINT GREGOIRE RENNES METROPOLE HB","MANTES olivier","ACHENHEIM TRUCHTERSHEIM","BASNY jan",24,25,"rencontre_D2F_1_2223_479.pdf","J19",24,24,"R",0,-1,0,0,0,"F",1,0,"D2",2223,"saint gregoire rennes metropole hb","achenheim truchtersheim",27,43,-16,-1.79518734548471
"88","SAEDKOK","BOUILLARGUES HANDBALL NIMES METROPOLE","CENDRE delphine","STELLA SAINT-MAUR HANDBALL","SAMSON remi",23,24,"rencontre_D2F_1_2223_484.pdf","J20",22,23,"R",-1,-1,0,0,0,"F",0,0,"D2",2223,"bouillargues handball nimes metropole","stella saint-maur handball",34,47,-13,-1.43660959145703
"89","SAEDKON","NOISY LE GRAND HANDBALL","GHERRAM farid","SAINT GREGOIRE RENNES METROPOLE HB","MANTES olivier",28,25,"rencontre_D2F_1_2223_487.pdf","J20",27,25,"R",1,1,1,1,0,"F",1,0,"D2",2223,"noisy le grand handball","saint gregoire rennes metropole hb",43,28,15,1.91011611280127
"90","SAEDKOR","BOUILLARGUES HANDBALL NIMES METROPOLE","CENDRE delphine","ACHENHEIM TRUCHTERSHEIM","BASNY jan",25,26,"rencontre_D2F_1_2223_491.pdf","J21",23,24,"R",-1,-1,0,0,0,"F",1,0,"D2",2223,"bouillargues handball nimes metropole","achenheim truchtersheim",35,49,-14,-1.55613550946626
"91","SAEDKOU","PALENTE BESANCON HANDBALL","SECK cheikh","CLUB ATHLETIQUE BEGLAIS","VASSEUR julien",27,25,"rencontre_D2F_1_2223_494.pdf","J21",27,24,"R",1,1,1,0,0,"F",0,0,"D2",2223,"palente besancon handball","club athletique beglais",25,32,-7,-0.719454083401682
"92","SAEDKOV","STELLA SAINT-MAUR HANDBALL","SAMSON remi","SAINT GREGOIRE RENNES METROPOLE HB","MANTES olivier",25,22,"rencontre_D2F_1_2223_495.pdf","J21",24,22,"R",1,1,1,0,0,"F",0,0,"D2",2223,"stella saint-maur handball","saint gregoire rennes metropole hb",50,29,21,2.62727162085662
"93","SAEDKOX","HANDBALL CLERMONT AUVERGNE METROPOLE","SAUVAL florence","TOULOUSE FEMININ HANDBALL","PUIGSEGUR laurent",29,32,"rencontre_D2F_1_2223_497.pdf","J21",28,30,"R",-1,-1,0,0,1,"F",1,0,"D2",2223,"handball clermont auvergne metropole 63","toulouse feminin handball",47,32,15,1.91011611280127
"94","SAEDKPA","SAINT GREGOIRE RENNES METROPOLE HB","MANTES olivier","SAMBRE AVESNOIS HANDBALL","PETIT clement",26,28,"rencontre_D2F_1_2223_500.pdf","J22",25,28,"R",-1,-1,0,0,1,"F",0,1,"D2",2223,"saint gregoire rennes metropole hb","sambre avesnois handball",30,44,-14,-1.55613550946626
"95","SAEDKPB","CLUB ATHLETIQUE BEGLAIS","VASSEUR julien","STELLA SAINT-MAUR HANDBALL","SAMSON remi",20,23,"rencontre_D2F_1_2223_501.pdf","J22",20,22,"R",-1,-1,0,0,0,"F",0,0,"D2",2223,"club athletique beglais","stella saint-maur handball",33,53,-20,-2.27329101752161
"96","SAEDKPC","NOISY LE GRAND HANDBALL","GHERRAM farid","LOMME LILLE METROPOLE HB","WORM laurent",31,29,"rencontre_D2F_1_2223_502.pdf","J22",30,28,"R",1,1,1,1,0,"F",0,0,"D2",2223,"noisy le grand handball","lomme lille metropole hb",46,36,10,1.31248652275514
"97","SAEDKPE","TOULOUSE FEMININ HANDBALL","PUIGSEGUR laurent","BOUILLARGUES HANDBALL NIMES METROPOLE","CENDRE delphine",26,22,"rencontre_D2F_1_2223_504.pdf","J22",25,22,"R",1,1,1,0,0,"F",0,0,"D2",2223,"toulouse feminin handball","bouillargues handball nimes metropole",35,36,-1,-0.00229857534633126
"98","SAEDKPI","NOISY LE GRAND HANDBALL","GHERRAM farid","ASUL VAULX EN VELIN","MODENEL sebastien",25,28,"rencontre_D2F_1_2223_508.pdf","J23",24,26,"R",-1,-1,0,0,0,"F",0,0,"D2",2223,"noisy le grand handball","asul vaulx en velin",49,30,19,2.38821978483817
"99","SAEDKPM","ASUL VAULX EN VELIN","MODENEL sebastien","STELLA SAINT-MAUR HANDBALL","SAMSON remi",27,30,"rencontre_D2F_1_2223_512.pdf","J24",27,29,"R",-1,-1,0,0,0,"F",0,0,"D2",2223,"asul vaulx en velin","stella saint-maur handball",33,59,-26,-2.99044652557696
"100","SAEDKPO","SAINT GREGOIRE RENNES METROPOLE HB","MANTES olivier","BOUILLARGUES HANDBALL NIMES METROPOLE","CENDRE delphine",26,27,"rencontre_D2F_1_2223_514.pdf","J24",26,26,"R",0,-1,0,0,1,"F",0,0,"D2",2223,"saint gregoire rennes metropole hb","bouillargues handball nimes metropole",32,40,-8,-0.838980001410907
"101","SAEDKPP","CLUB ATHLETIQUE BEGLAIS","VASSEUR julien","HANDBALL CLERMONT AUVERGNE METROPOLE","SAUVAL florence",24,23,"rencontre_D2F_1_2223_515.pdf","J24",23,23,"R",0,1,1,0,1,"F",0,0,"D2",2223,"club athletique beglais","handball clermont auvergne metropole 63",37,52,-15,-1.67566142747548
"102","SAEDKPS","TOULOUSE FEMININ HANDBALL","PUIGSEGUR laurent","LOMME LILLE METROPOLE HB","SANZ aurore",26,24,"rencontre_D2F_1_2223_518.pdf","J24",25,24,"R",1,1,1,1,0,"F",0,0,"D2",2223,"toulouse feminin handball","lomme lille metropole hb",38,38,0,0.117227342662894
"103","SAEDKPU","SAINT GREGOIRE RENNES METROPOLE HB","MANTES olivier","HAVRE ATHLETIC CLUB HB","PELLAN stephane",25,25,"rencontre_D2F_1_2223_520.pdf","J25",25,24,"R",1,0,0,0,0,"F",1,1,"D2",2223,"saint gregoire rennes metropole hb","havre athletic club hb",33,40,-7,-0.719454083401682
"104","SAEDKPV","CLUB ATHLETIQUE BEGLAIS","VASSEUR julien","TOULOUSE FEMININ HANDBALL","PUIGSEGUR laurent",25,25,"rencontre_D2F_1_2223_521.pdf","J25",25,24,"R",1,0,0,0,0,"F",0,0,"D2",2223,"club athletique beglais","toulouse feminin handball",40,41,-1,-0.00229857534633126
"105","SAEDKPW","PALENTE BESANCON HANDBALL","SECK cheikh","ACHENHEIM TRUCHTERSHEIM","BASNY jan",33,33,"rencontre_D2F_1_2223_522.pdf","J25",32,33,"R",-1,0,1,0,1,"F",0,1,"D2",2223,"palente besancon handball","achenheim truchtersheim",31,58,-27,-3.10997244358618
"106","SAEDKPX","STELLA SAINT-MAUR HANDBALL","SAMSON remi","NOISY LE GRAND HANDBALL","GHERRAM farid",27,31,"rencontre_D2F_1_2223_523.pdf","J25",27,30,"R",-1,-1,0,0,0,"F",1,0,"D2",2223,"stella saint-maur handball","noisy le grand handball",62,51,11,1.43201244076437
"107","SAEDKPY","SAMBRE AVESNOIS HANDBALL","PETIT clement","LOMME LILLE METROPOLE HB","SANZ aurore",24,23,"rencontre_D2F_1_2223_524.pdf","J25",22,22,"R",0,1,1,0,1,"F",0,0,"D2",2223,"sambre avesnois handball","lomme lille metropole hb",51,39,12,1.5515383587736
"108","SAEDKQB","BOUILLARGUES HANDBALL NIMES METROPOLE","CENDRE delphine","HANDBALL CLERMONT AUVERGNE METROPOLE","SAUVAL florence",27,28,"rencontre_D2F_1_2223_527.pdf","J26",27,27,"R",0,-1,0,1,0,"F",0,0,"D2",2223,"bouillargues handball nimes metropole","handball clermont auvergne metropole 63",44,53,-9,-0.958505919420132
"109","SAEDKQG","TOULOUSE FEMININ HANDBALL","PUIGSEGUR laurent","SAINT GREGOIRE RENNES METROPOLE HB","MANTES olivier",20,23,"rencontre_D2F_1_2223_532.pdf","J26",20,23,"R",-1,-1,0,0,1,"F",0,1,"D2",2223,"toulouse feminin handball","saint gregoire rennes metropole hb",43,35,8,1.07343468673669
"110","SAEDYUR","ES BESANCON FEMININ","MIZOULE sebastien","BREST BRETAGNE HANDBALL","MOREL pablo",24,27,"rencontre_D1F_2223_3005.pdf","J6",24,26,"R",-1,-1,0,0,0,"F",1,0,"D1",2223,"es besancon feminin","brest bretagne handball",10,15,-5,-0.480402247383232
"111","SAEDZFO","TREMBLAY-EN-FRANCE HANDBALL","HAMANI cherif","BORDEAUX HANDBALL","PEYRABOUT benoit",23,24,"rencontre_D2H_2223_362.pdf","J1",22,23,"R",-1,-1,0,0,1,"H",0,0,"D2",2223,"tremblay-en-france handball","bordeaux handball",0,0,0,0.117227342662894
"112","SAEDZFS","CAEN HANDBALL","BEDOS roch","SARAN LOIRET HB","COURTIAL fabien",28,26,"rencontre_D2H_2223_366.pdf","J1",28,25,"R",1,1,1,1,0,"H",1,0,"D2",2223,"caen handball","saran loiret hb",0,0,0,0.117227342662894
"113","SAEDZFT","NANCY METROPOLE","SYLLA yerime","STRASBOURG HANDBALL","LATHOUD denis",28,26,"rencontre_D2H_2223_367.pdf","J1",27,25,"R",1,1,1,1,0,"H",1,0,"D2",2223,"nancy handball","strasbourg handball",0,0,0,0.117227342662894
"114","SAEDZFU","BILLERE HANDBALL","DEHERME daniel","BESANCON HANDBALL","GUILLAUME benoit",35,34,"rencontre_D2H_2223_368.pdf","J1",35,34,"R",1,1,1,1,1,"H",0,1,"D2",2223,"billere handball","besancon handball",0,0,0,0.117227342662894
"115","SAEDZFV","VILLEURBANNE HANDBALL","ZUZO semir","DIJON METROPOLE HB","CHADUTEAUD ulrich",27,28,"rencontre_D2H_2223_369.pdf","J1",26,26,"R",0,-1,0,1,1,"H",0,0,"D2",2223,"villeurbanne handball","dijon metropole hb",0,0,0,0.117227342662894
"116","SAEDZGA","MASSY ESSONNE HB","LEFEBVRE thomas","FRONTIGNAN HANDBALL","ANTONIO MARCOS asier",33,28,"rencontre_D2H_2223_374.pdf","J2",31,28,"R",1,1,1,0,0,"H",0,0,"D2",2223,"massy essonne hb","frontignan handball",3,3,0,0.117227342662894
"117","SAEDZGF","BESANCON HANDBALL","GUILLAUME benoit","SARAN LOIRET HB","COURTIAL fabien",30,31,"rencontre_D2H_2223_379.pdf","J3",30,30,"R",0,-1,0,0,0,"H",0,0,"D2",2223,"besancon handball","saran loiret hb",2,4,-2,-0.121824493355556
"118","SAEDZGH","VALENCE HANDBALL","BENKAHLA aziz","SARREBOURG MOSELLE SUD HANDBALL","CALBRY arnaud",25,28,"rencontre_D2H_2223_381.pdf","J3",25,26,"R",-1,-1,0,1,0,"H",1,0,"D2",2223,"valence handball","sarrebourg moselle sud handball",2,2,0,0.117227342662894
"119","SAEDZGJ","FRONTIGNAN HANDBALL","ANTONIO MARCOS asier","BILLERE HANDBALL","DEHERME daniel",29,28,"rencontre_D2H_2223_383.pdf","J3",29,27,"R",1,1,1,1,0,"H",0,0,"D2",2223,"frontignan handball","billere handball",4,4,0,0.117227342662894
"120","SAEDZGR","SARAN LOIRET HB","COURTIAL fabien","DIJON METROPOLE HB","CHADUTEAUD ulrich",31,30,"rencontre_D2H_2223_391.pdf","J4",30,28,"R",1,1,1,0,1,"H",0,0,"D2",2223,"saran loiret hb","dijon metropole hb",7,9,-2,-0.121824493355556
"121","SAEDZGU","BORDEAUX HANDBALL","Officiel B GARDENT philippe","PONTAULT-COMBAULT HANDBALL","Officiel B RUFFE didier",30,32,"rencontre_D2H_2223_394.pdf","J5",30,32,"R",-1,-1,0,0,1,"H",1,0,"D2",2223,"bordeaux handball","pontault-combault handball",12,11,1,0.236753260672119
"122","SAEDZGV","VALENCE HANDBALL","BENKAHLA aziz","FRONTIGNAN HANDBALL","ANTONIO MARCOS asier",25,25,"rencontre_D2H_2223_395.pdf","J5",25,24,"R",1,0,0,0,0,"H",0,0,"D2",2223,"valence handball","frontignan handball",4,10,-6,-0.599928165392457
"123","SAEDZGW","MASSY ESSONNE HB","LEFEBVRE thomas","SARREBOURG MOSELLE SUD HANDBALL","CALBRY arnaud",30,33,"rencontre_D2H_2223_396.pdf","J5",29,32,"R",-1,-1,0,0,0,"H",0,0,"D2",2223,"massy essonne hb","sarrebourg moselle sud handball",8,8,0,0.117227342662894
"124","SAEDZGX","TREMBLAY-EN-FRANCE HANDBALL","HAMANI cherif","BILLERE HANDBALL","DEHERME daniel",30,28,"rencontre_D2H_2223_397.pdf","J5",30,27,"R",1,1,1,0,0,"H",0,0,"D2",2223,"tremblay-en-france handball","billere handball",9,8,1,0.236753260672119
"125","SAEDZGZ","STRASBOURG HANDBALL","LATHOUD denis","CHERBOURG HB","FERNANDEZ ROURA eduard",28,31,"rencontre_D2H_2223_399.pdf","J5",27,29,"R",-1,-1,0,0,1,"H",1,1,"D2",2223,"strasbourg handball","cherbourg hb",4,6,-2,-0.121824493355556
"126","SAEDZHE","SARAN LOIRET HB","COURTIAL fabien","VALENCE HANDBALL","BENKAHLA aziz",30,30,"rencontre_D2H_2223_404.pdf","J6",28,29,"R",-1,0,1,1,0,"H",0,1,"D2",2223,"saran loiret hb","valence handball",13,6,7,0.95390876872747
"127","SAEDZHG","FRONTIGNAN HANDBALL","ANTONIO MARCOS asier","DIJON METROPOLE HB","CHADUTEAUD ulrich",28,31,"rencontre_D2H_2223_406.pdf","J6",27,30,"R",-1,-1,0,0,0,"H",0,1,"D2",2223,"frontignan handball","dijon metropole hb",12,13,-1,-0.00229857534633126
"128","SAEDZHJ","SARREBOURG MOSELLE SUD HANDBALL","CALBRY arnaud","NANCY METROPOLE","SYLLA yerime",28,26,"rencontre_D2H_2223_409.pdf","J6",27,25,"R",1,1,1,0,0,"H",0,0,"D2",2223,"sarrebourg moselle sud handball","nancy handball",11,9,2,0.356279178681344
"129","SAEDZHO","SARREBOURG MOSELLE SUD HANDBALL","CALBRY arnaud","BESANCON HANDBALL","GUILLAUME benoit",32,30,"rencontre_D2H_2223_414.pdf","J7",31,29,"R",1,1,1,0,0,"H",1,0,"D2",2223,"sarrebourg moselle sud handball","besancon handball",14,10,4,0.595331014699794
"130","SAEDZHP","STRASBOURG HANDBALL","LATHOUD denis","BORDEAUX HANDBALL","PEYRABOUT benoit",22,23,"rencontre_D2H_2223_415.pdf","J7",22,23,"R",-1,-1,0,0,1,"H",0,0,"D2",2223,"strasbourg handball","bordeaux handball",6,14,-8,-0.838980001410907
"131","SAEDZHT","BESANCON HANDBALL","GUILLAUME benoit","TREMBLAY-EN-FRANCE HANDBALL","HAMANI cherif",33,36,"rencontre_D2H_2223_419.pdf","J8",32,35,"R",-1,-1,0,0,0,"H",1,0,"D2",2223,"besancon handball","tremblay-en-france handball",11,18,-7,-0.719454083401682
"132","SAEDZHU","SARAN LOIRET HB","COURTIAL fabien","BILLERE HANDBALL","DEHERME daniel",33,29,"rencontre_D2H_2223_420.pdf","J8",32,29,"R",1,1,1,0,0,"H",0,1,"D2",2223,"saran loiret hb","billere handball",18,13,5,0.714856932709019
"133","SAEDZHW","CHERBOURG HB","FERNANDEZ ROURA eduard","VILLEURBANNE HANDBALL","ZUZO semir",20,15,"rencontre_D2H_2223_422.pdf","J8",18,15,"R",1,1,1,0,0,"H",0,0,"D2",2223,"cherbourg hb","villeurbanne handball",11,9,2,0.356279178681344
"134","SAEDZIB","STRASBOURG HANDBALL","CHAUDEUR louis","CAEN HANDBALL","BEDOS roch",24,27,"rencontre_D2H_2223_427.pdf","J9",24,26,"R",-1,-1,0,0,0,"H",0,0,"D2",2223,"strasbourg handball","caen handball",8,16,-8,-0.838980001410907
"135","SAEDZIC","FRONTIGNAN HANDBALL","ANTONIO MARCOS asier","SARAN LOIRET HB","COURTIAL fabien",36,35,"rencontre_D2H_2223_428.pdf","J9",35,34,"R",1,1,1,1,1,"H",0,1,"D2",2223,"frontignan handball","saran loiret hb",19,21,-2,-0.121824493355556
"136","SAEDZIG","DIJON METROPOLE HB","CHADUTEAUD ulrich","BORDEAUX HANDBALL","PEYRABOUT benoit",26,29,"rencontre_D2H_2223_432.pdf","J9",25,28,"R",-1,-1,0,0,0,"H",0,0,"D2",2223,"dijon metropole hb","bordeaux handball",22,18,4,0.595331014699794
"137","SAEDZII","TREMBLAY-EN-FRANCE HANDBALL","HAMANI cherif","MASSY ESSONNE HB","LEFEBVRE thomas",29,27,"rencontre_D2H_2223_434.pdf","J10",29,27,"R",1,1,1,0,0,"H",0,0,"D2",2223,"tremblay-en-france handball","massy essonne hb",24,17,7,0.95390876872747
"138","SAEDZIK","CAEN HANDBALL","BEDOS roch","VILLEURBANNE HANDBALL","BOUGEANT frederic",28,27,"rencontre_D2H_2223_436.pdf","J10",27,26,"R",1,1,1,1,0,"H",1,0,"D2",2223,"caen handball","villeurbanne handball",19,12,7,0.95390876872747
"139","SAEDZIL","SARAN LOIRET HB","COURTIAL fabien","STRASBOURG HANDBALL","CHAUDEUR louis",33,29,"rencontre_D2H_2223_437.pdf","J10",32,29,"R",1,1,1,0,0,"H",0,1,"D2",2223,"saran loiret hb","strasbourg handball",22,9,13,1.67106427678282
"140","SAEDZIN","PONTAULT-COMBAULT HANDBALL","SAURINA guillaume","FRONTIGNAN HANDBALL","ANTONIO MARCOS asier",36,34,"rencontre_D2H_2223_439.pdf","J10",34,32,"R",1,1,1,0,0,"H",0,0,"D2",2223,"pontault-combault handball","frontignan handball",24,22,2,0.356279178681344
"141","SAEDZIP","BORDEAUX HANDBALL","PEYRABOUT benoit","BILLERE HANDBALL","DEHERME daniel",22,23,"rencontre_D2H_2223_441.pdf","J10",21,22,"R",-1,-1,0,0,0,"H",0,0,"D2",2223,"bordeaux handball","billere handball",21,17,4,0.595331014699794
"142","SAEDZIZ","PONTAULT-COMBAULT HANDBALL","SAURINA guillaume","SARAN LOIRET HB","COURTIAL fabien",30,32,"rencontre_D2H_2223_451.pdf","J12",29,31,"R",-1,-1,0,0,1,"H",0,0,"D2",2223,"pontault-combault handball","saran loiret hb",30,28,2,0.356279178681344
"143","SAEDZJA","CHERBOURG HB","FERNANDEZ ROURA eduard","FRONTIGNAN HANDBALL","ANTONIO MARCOS asier",26,30,"rencontre_D2H_2223_452.pdf","J12",26,29,"R",-1,-1,0,0,0,"H",0,0,"D2",2223,"cherbourg hb","frontignan handball",19,24,-5,-0.480402247383232
"144","SAEDZJD","MASSY ESSONNE HB","LEFEBVRE thomas","BILLERE HANDBALL","DEHERME daniel",31,29,"rencontre_D2H_2223_455.pdf","J12",30,29,"R",1,1,1,0,1,"H",1,0,"D2",2223,"massy essonne hb","billere handball",21,22,-1,-0.00229857534633126
"145","SAEDZJF","BORDEAUX HANDBALL","PEYRABOUT benoit","SARREBOURG MOSELLE SUD HANDBALL","CALBRY arnaud",26,25,"rencontre_D2H_2223_457.pdf","J12",26,25,"R",1,1,1,0,1,"H",0,0,"D2",2223,"bordeaux handball","sarrebourg moselle sud handball",23,23,0,0.117227342662894
"146","SAEDZJG","BILLERE HANDBALL","DEHERME daniel","NANCY METROPOLE","SYLLA yerime",25,26,"rencontre_D2H_2223_458.pdf","J13",25,25,"R",0,-1,0,1,0,"H",0,0,"D2",2223,"billere handball","nancy handball",23,22,1,0.236753260672119
"147","SAEDZJK","FRONTIGNAN HANDBALL","ANTONIO MARCOS asier","BESANCON HANDBALL","GUILLAUME benoit",41,37,"rencontre_D2H_2223_462.pdf","J13",39,36,"R",1,1,1,1,0,"H",0,0,"D2",2223,"frontignan handball","besancon handball",27,20,7,0.95390876872747
"148","SAEDZJL","SARAN LOIRET HB","COURTIAL fabien","BORDEAUX HANDBALL","PEYRABOUT benoit",30,30,"rencontre_D2H_2223_463.pdf","J13",30,28,"R",1,0,0,1,1,"H",0,1,"D2",2223,"saran loiret hb","bordeaux handball",31,26,5,0.714856932709019
"149","SAEDZJM","STRASBOURG HANDBALL","CHAUDEUR louis","SARREBOURG MOSELLE SUD HANDBALL","CALBRY arnaud",25,26,"rencontre_D2H_2223_464.pdf","J13",25,25,"R",0,-1,0,0,1,"H",0,0,"D2",2223,"strasbourg handball","sarrebourg moselle sud handball",12,24,-12,-1.31708367344781
"150","SAEDZJP","BESANCON HANDBALL","GUILLAUME benoit","VALENCE HANDBALL","BENKAHLA aziz",29,30,"rencontre_D2H_2223_467.pdf","J14",29,29,"R",0,-1,0,0,1,"H",1,0,"D2",2223,"besancon handball","valence handball",21,19,2,0.356279178681344
"151","SAEDZJR","NANCY METROPOLE","SYLLA yerime","VILLEURBANNE HANDBALL","BOUGEANT frederic",28,27,"rencontre_D2H_2223_469.pdf","J14",28,27,"R",1,1,1,0,0,"H",0,0,"D2",2223,"nancy handball","villeurbanne handball",25,16,9,1.19296060474592
"152","SAEDZJU","SARREBOURG MOSELLE SUD HANDBALL","CALBRY arnaud","BILLERE HANDBALL","DEHERME daniel",30,31,"rencontre_D2H_2223_472.pdf","J14",29,30,"R",-1,-1,0,0,0,"H",0,0,"D2",2223,"sarrebourg moselle sud handball","billere handball",27,24,3,0.475805096690569
"153","SAEDZKB","VALENCE HANDBALL","BENKAHLA aziz","STRASBOURG HANDBALL","CHAUDEUR louis",26,25,"rencontre_D2H_2223_479.pdf","J15",25,25,"R",0,1,1,1,1,"H",0,0,"D2",2223,"valence handball","strasbourg handball",22,15,7,0.95390876872747
"154","SAEDZKE","VILLEURBANNE HANDBALL","BOUGEANT frederic","CAEN HANDBALL","BEDOS roch",27,30,"rencontre_D2H_2223_482.pdf","J16",27,29,"R",-1,-1,0,0,1,"H",0,0,"D2",2223,"villeurbanne handball","caen handball",18,32,-14,-1.55613550946626
"155","SAEDZKM","STRASBOURG HANDBALL","MANGIN pierre","VILLEURBANNE HANDBALL","BOUGEANT frederic",29,28,"rencontre_D2H_2223_490.pdf","J17",28,28,"R",0,1,1,0,0,"H",1,0,"D2",2223,"strasbourg handball","villeurbanne handball",17,19,-2,-0.121824493355556
"156","SAEDZKR","SARAN LOIRET HB","COURTIAL fabien","MASSY ESSONNE HB","LEFEBVRE thomas",33,30,"rencontre_D2H_2223_495.pdf","J17",32,30,"R",1,1,1,1,0,"H",0,1,"D2",2223,"saran loiret hb","massy essonne hb",40,34,6,0.834382850718245
"157","SAEDZKT","BILLERE HANDBALL","DEHERME daniel","TREMBLAY-EN-FRANCE HANDBALL","HAMANI cherif",25,26,"rencontre_D2H_2223_497.pdf","J17",24,25,"R",-1,-1,0,1,1,"H",0,0,"D2",2223,"billere handball","tremblay-en-france handball",31,42,-11,-1.19755775543858
"158","SAEDZKU","VILLEURBANNE HANDBALL","BOUGEANT frederic","SARREBOURG MOSELLE SUD HANDBALL","CALBRY arnaud",23,26,"rencontre_D2H_2223_498.pdf","J18",22,24,"R",-1,-1,0,0,0,"H",0,1,"D2",2223,"villeurbanne handball","sarrebourg moselle sud handball",20,31,-11,-1.19755775543858
"159","SAEDZKV","BESANCON HANDBALL","GUILLAUME benoit","BILLERE HANDBALL","DEHERME daniel",36,34,"rencontre_D2H_2223_499.pdf","J18",35,32,"R",1,1,1,1,0,"H",0,1,"D2",2223,"besancon handball","billere handball",25,32,-7,-0.719454083401682
