"","club","division","saison","HF","match_joue","total_point","journee","points"
"83","PATRONAGE LAIQUE GRANVILLE HANDBALL","N1","2021","H",2,2,"J1",0
"84","PATRONAGE LAIQUE GRANVILLE HANDBALL","N1","2021","H",2,2,"J2",0
"85","PAU NOUSTY SPORTS","N1","2021","H",3,6,"J1",0
"86","PAU NOUSTY SPORTS","N1","2021","H",3,6,"J2",1
"87","PAU NOUSTY SPORTS","N1","2021","H",3,6,"J3",4
"88","POUZAUGES VENDEE HANDBALL","N1","2021","H",4,12,"J1",0
"89","POUZAUGES VENDEE HANDBALL","N1","2021","H",4,12,"J2",3
"90","POUZAUGES VENDEE HANDBALL","N1","2021","H",4,12,"J3",6
"91","POUZAUGES VENDEE HANDBALL","N1","2021","H",4,12,"J4",9
"92","REVEIL DE NOGENT HANDBALL","N1","2021","H",1,3,"J1",0
"93","SAINT CYR HANDBALL","N1","2021","H",4,10,"J1",0
"94","SAINT CYR HANDBALL","N1","2021","H",4,10,"J2",1
"95","SAINT CYR HANDBALL","N1","2021","H",4,10,"J3",4
"96","SAINT CYR HANDBALL","N1","2021","H",4,10,"J4",7
"97","SAVIGNY HB","N1","2021","H",5,9,"J1",0
"98","SAVIGNY HB","N1","2021","H",5,9,"J2",3
"99","SAVIGNY HB","N1","2021","H",5,9,"J3",6
"100","SAVIGNY HB","N1","2021","H",5,9,"J4",7
"101","SAVIGNY HB","N1","2021","H",5,9,"J5",8
"102","TORCY HANDBALL MARNE LA VALLEE","N1","2021","H",2,4,"J1",0
"103","TORCY HANDBALL MARNE LA VALLEE","N1","2021","H",2,4,"J2",3
"104","UNION GIRONDINS DE BORDEAUX BASTIDE","N1","2021","H",1,1,"J1",0
"105","UNION SPORTIVE IVRY HANDBALL","N1","2021","H",1,3,"J1",0
"106","US CRETEIL HANDBALL","N1","2021","H",3,4,"J1",0
"107","US CRETEIL HANDBALL","N1","2021","H",3,4,"J2",1
"108","US CRETEIL HANDBALL","N1","2021","H",3,4,"J3",2
"109","US SAINTES HANDBALL","N1","2021","H",4,8,"J1",0
"110","US SAINTES HANDBALL","N1","2021","H",4,8,"J2",3
"111","US SAINTES HANDBALL","N1","2021","H",4,8,"J3",4
"112","US SAINTES HANDBALL","N1","2021","H",4,8,"J4",5
"113","VILLEURBANNE HANDBALL","N1","2021","H",2,2,"J1",0
"114","VILLEURBANNE HANDBALL","N1","2021","H",2,2,"J2",1
"115","AMIENS PICARDIE HANDBALL","N1","2122","H",22,57,"J1",0
"116","AMIENS PICARDIE HANDBALL","N1","2122","H",22,57,"J2",3
"117","AMIENS PICARDIE HANDBALL","N1","2122","H",22,57,"J3",4
"118","AMIENS PICARDIE HANDBALL","N1","2122","H",22,57,"J4",7
"119","AMIENS PICARDIE HANDBALL","N1","2122","H",22,57,"J5",10
"120","AMIENS PICARDIE HANDBALL","N1","2122","H",22,57,"J6",13
"121","AMIENS PICARDIE HANDBALL","N1","2122","H",22,57,"J7",14
"122","AMIENS PICARDIE HANDBALL","N1","2122","H",22,57,"J8",17
"123","AMIENS PICARDIE HANDBALL","N1","2122","H",22,57,"J9",20
"124","AMIENS PICARDIE HANDBALL","N1","2122","H",22,57,"J10",23
"125","AMIENS PICARDIE HANDBALL","N1","2122","H",22,57,"J11",26
"126","AMIENS PICARDIE HANDBALL","N1","2122","H",22,57,"J12",29
"127","AMIENS PICARDIE HANDBALL","N1","2122","H",22,57,"J13",31
"128","AMIENS PICARDIE HANDBALL","N1","2122","H",22,57,"J14",34
"129","AMIENS PICARDIE HANDBALL","N1","2122","H",22,57,"J15",37
"130","AMIENS PICARDIE HANDBALL","N1","2122","H",22,57,"J16",40
"131","AMIENS PICARDIE HANDBALL","N1","2122","H",22,57,"J17",43
"132","AMIENS PICARDIE HANDBALL","N1","2122","H",22,57,"J18",45
"133","AMIENS PICARDIE HANDBALL","N1","2122","H",22,57,"J19",46
"134","AMIENS PICARDIE HANDBALL","N1","2122","H",22,57,"J20",49
"135","AMIENS PICARDIE HANDBALL","N1","2122","H",22,57,"J21",52
"136","AMIENS PICARDIE HANDBALL","N1","2122","H",22,57,"J22",54
"137","ANNECY CSAV HANDBALL","N1","2122","H",22,50,"J1",0
"138","ANNECY CSAV HANDBALL","N1","2122","H",22,50,"J2",3
"139","ANNECY CSAV HANDBALL","N1","2122","H",22,50,"J3",6
"140","ANNECY CSAV HANDBALL","N1","2122","H",22,50,"J4",9
"141","ANNECY CSAV HANDBALL","N1","2122","H",22,50,"J5",10
"142","ANNECY CSAV HANDBALL","N1","2122","H",22,50,"J6",13
"143","ANNECY CSAV HANDBALL","N1","2122","H",22,50,"J7",16
"144","ANNECY CSAV HANDBALL","N1","2122","H",22,50,"J8",17
"145","ANNECY CSAV HANDBALL","N1","2122","H",22,50,"J9",18
"146","ANNECY CSAV HANDBALL","N1","2122","H",22,50,"J10",19
"147","ANNECY CSAV HANDBALL","N1","2122","H",22,50,"J11",22
"148","ANNECY CSAV HANDBALL","N1","2122","H",22,50,"J12",23
"149","ANNECY CSAV HANDBALL","N1","2122","H",22,50,"J13",26
"150","ANNECY CSAV HANDBALL","N1","2122","H",22,50,"J14",29
"151","ANNECY CSAV HANDBALL","N1","2122","H",22,50,"J15",32
"152","ANNECY CSAV HANDBALL","N1","2122","H",22,50,"J16",35
"153","ANNECY CSAV HANDBALL","N1","2122","H",22,50,"J17",36
"154","ANNECY CSAV HANDBALL","N1","2122","H",22,50,"J18",39
"155","ANNECY CSAV HANDBALL","N1","2122","H",22,50,"J19",42
"156","ANNECY CSAV HANDBALL","N1","2122","H",22,50,"J20",43
"157","ANNECY CSAV HANDBALL","N1","2122","H",22,50,"J21",46
"158","ANNECY CSAV HANDBALL","N1","2122","H",22,50,"J22",47
"159","ASB REZE HANDBALL","N1","2122","H",21,46,"J1",0
"160","ASB REZE HANDBALL","N1","2122","H",21,46,"J2",1
"161","ASB REZE HANDBALL","N1","2122","H",21,46,"J3",4
"162","ASB REZE HANDBALL","N1","2122","H",21,46,"J4",7
"163","ASB REZE HANDBALL","N1","2122","H",21,46,"J5",10
"164","ASB REZE HANDBALL","N1","2122","H",21,46,"J6",11
"165","ASB REZE HANDBALL","N1","2122","H",21,46,"J7",14
"166","ASB REZE HANDBALL","N1","2122","H",21,46,"J8",17
"167","ASB REZE HANDBALL","N1","2122","H",21,46,"J9",18
"168","ASB REZE HANDBALL","N1","2122","H",21,46,"J10",19
"169","ASB REZE HANDBALL","N1","2122","H",21,46,"J11",20
"170","ASB REZE HANDBALL","N1","2122","H",21,46,"J12",23
"171","ASB REZE HANDBALL","N1","2122","H",21,46,"J13",25
"172","ASB REZE HANDBALL","N1","2122","H",21,46,"J14",26
"173","ASB REZE HANDBALL","N1","2122","H",21,46,"J15",29
"174","ASB REZE HANDBALL","N1","2122","H",21,46,"J16",32
"175","ASB REZE HANDBALL","N1","2122","H",21,46,"J17",35
"176","ASB REZE HANDBALL","N1","2122","H",21,46,"J18",36
"177","ASB REZE HANDBALL","N1","2122","H",21,46,"J19",39
"178","ASB REZE HANDBALL","N1","2122","H",21,46,"J20",40
"179","ASB REZE HANDBALL","N1","2122","H",21,46,"J21",43
"180","ASPTT MULHOUSE/RIXHEIM","N1","2122","H",22,43,"J1",0
"181","ASPTT MULHOUSE/RIXHEIM","N1","2122","H",22,43,"J2",3
"182","ASPTT MULHOUSE/RIXHEIM","N1","2122","H",22,43,"J3",5
"183","ASPTT MULHOUSE/RIXHEIM","N1","2122","H",22,43,"J4",6
"184","ASPTT MULHOUSE/RIXHEIM","N1","2122","H",22,43,"J5",9
"185","ASPTT MULHOUSE/RIXHEIM","N1","2122","H",22,43,"J6",12
"186","ASPTT MULHOUSE/RIXHEIM","N1","2122","H",22,43,"J7",15
"187","ASPTT MULHOUSE/RIXHEIM","N1","2122","H",22,43,"J8",18
"188","ASPTT MULHOUSE/RIXHEIM","N1","2122","H",22,43,"J9",19
"189","ASPTT MULHOUSE/RIXHEIM","N1","2122","H",22,43,"J10",22
"190","ASPTT MULHOUSE/RIXHEIM","N1","2122","H",22,43,"J11",25
"191","ASPTT MULHOUSE/RIXHEIM","N1","2122","H",22,43,"J12",27
"192","ASPTT MULHOUSE/RIXHEIM","N1","2122","H",22,43,"J13",28
"193","ASPTT MULHOUSE/RIXHEIM","N1","2122","H",22,43,"J14",29
"194","ASPTT MULHOUSE/RIXHEIM","N1","2122","H",22,43,"J15",30
"195","ASPTT MULHOUSE/RIXHEIM","N1","2122","H",22,43,"J16",33
"196","ASPTT MULHOUSE/RIXHEIM","N1","2122","H",22,43,"J17",34
"197","ASPTT MULHOUSE/RIXHEIM","N1","2122","H",22,43,"J18",35
"198","ASPTT MULHOUSE/RIXHEIM","N1","2122","H",22,43,"J19",36
"199","ASPTT MULHOUSE/RIXHEIM","N1","2122","H",22,43,"J20",37
"200","ASPTT MULHOUSE/RIXHEIM","N1","2122","H",22,43,"J21",38
"201","ASPTT MULHOUSE/RIXHEIM","N1","2122","H",22,43,"J22",41
"202","ASSOCIATION SPORTIVE ST-OUEN-L'AUMONE","N1","2122","H",22,31,"J1",0
"203","ASSOCIATION SPORTIVE ST-OUEN-L'AUMONE","N1","2122","H",22,31,"J2",1
"204","ASSOCIATION SPORTIVE ST-OUEN-L'AUMONE","N1","2122","H",22,31,"J3",2
"205","ASSOCIATION SPORTIVE ST-OUEN-L'AUMONE","N1","2122","H",22,31,"J4",3
"206","ASSOCIATION SPORTIVE ST-OUEN-L'AUMONE","N1","2122","H",22,31,"J5",4
"207","ASSOCIATION SPORTIVE ST-OUEN-L'AUMONE","N1","2122","H",22,31,"J6",5
"208","ASSOCIATION SPORTIVE ST-OUEN-L'AUMONE","N1","2122","H",22,31,"J7",6
"209","ASSOCIATION SPORTIVE ST-OUEN-L'AUMONE","N1","2122","H",22,31,"J8",7
"210","ASSOCIATION SPORTIVE ST-OUEN-L'AUMONE","N1","2122","H",22,31,"J9",8
"211","ASSOCIATION SPORTIVE ST-OUEN-L'AUMONE","N1","2122","H",22,31,"J10",11
"212","ASSOCIATION SPORTIVE ST-OUEN-L'AUMONE","N1","2122","H",22,31,"J11",12
"213","ASSOCIATION SPORTIVE ST-OUEN-L'AUMONE","N1","2122","H",22,31,"J12",13
"214","ASSOCIATION SPORTIVE ST-OUEN-L'AUMONE","N1","2122","H",22,31,"J13",14
"215","ASSOCIATION SPORTIVE ST-OUEN-L'AUMONE","N1","2122","H",22,31,"J14",15
"216","ASSOCIATION SPORTIVE ST-OUEN-L'AUMONE","N1","2122","H",22,31,"J15",16
"217","ASSOCIATION SPORTIVE ST-OUEN-L'AUMONE","N1","2122","H",22,31,"J16",17
"218","ASSOCIATION SPORTIVE ST-OUEN-L'AUMONE","N1","2122","H",22,31,"J17",18
"219","ASSOCIATION SPORTIVE ST-OUEN-L'AUMONE","N1","2122","H",22,31,"J18",19
"220","ASSOCIATION SPORTIVE ST-OUEN-L'AUMONE","N1","2122","H",22,31,"J19",21
"221","ASSOCIATION SPORTIVE ST-OUEN-L'AUMONE","N1","2122","H",22,31,"J20",24
"222","ASSOCIATION SPORTIVE ST-OUEN-L'AUMONE","N1","2122","H",22,31,"J21",27
"223","ASSOCIATION SPORTIVE ST-OUEN-L'AUMONE","N1","2122","H",22,31,"J22",30
"224","BILLERE HANDBALL PAU PYRENEES","N1","2122","H",22,49,"J1",0
"225","BILLERE HANDBALL PAU PYRENEES","N1","2122","H",22,49,"J2",1
"226","BILLERE HANDBALL PAU PYRENEES","N1","2122","H",22,49,"J3",4
"227","BILLERE HANDBALL PAU PYRENEES","N1","2122","H",22,49,"J4",5
"228","BILLERE HANDBALL PAU PYRENEES","N1","2122","H",22,49,"J5",8
"229","BILLERE HANDBALL PAU PYRENEES","N1","2122","H",22,49,"J6",11
"230","BILLERE HANDBALL PAU PYRENEES","N1","2122","H",22,49,"J7",12
"231","BILLERE HANDBALL PAU PYRENEES","N1","2122","H",22,49,"J8",15
"232","BILLERE HANDBALL PAU PYRENEES","N1","2122","H",22,49,"J9",16
"233","BILLERE HANDBALL PAU PYRENEES","N1","2122","H",22,49,"J10",19
"234","BILLERE HANDBALL PAU PYRENEES","N1","2122","H",22,49,"J11",22
"235","BILLERE HANDBALL PAU PYRENEES","N1","2122","H",22,49,"J12",25
"236","BILLERE HANDBALL PAU PYRENEES","N1","2122","H",22,49,"J13",27
"237","BILLERE HANDBALL PAU PYRENEES","N1","2122","H",22,49,"J14",30
"238","BILLERE HANDBALL PAU PYRENEES","N1","2122","H",22,49,"J15",33
"239","BILLERE HANDBALL PAU PYRENEES","N1","2122","H",22,49,"J16",36
"240","BILLERE HANDBALL PAU PYRENEES","N1","2122","H",22,49,"J17",39
"241","BILLERE HANDBALL PAU PYRENEES","N1","2122","H",22,49,"J18",40
"242","BILLERE HANDBALL PAU PYRENEES","N1","2122","H",22,49,"J19",41
"243","BILLERE HANDBALL PAU PYRENEES","N1","2122","H",22,49,"J20",44
"244","BILLERE HANDBALL PAU PYRENEES","N1","2122","H",22,49,"J21",45
"245","BILLERE HANDBALL PAU PYRENEES","N1","2122","H",22,49,"J22",48
"246","BORDEAUX BRUGES","N1","2122","H",22,56,"J1",0
"247","BORDEAUX BRUGES","N1","2122","H",22,56,"J2",1
"248","BORDEAUX BRUGES","N1","2122","H",22,56,"J3",4
"249","BORDEAUX BRUGES","N1","2122","H",22,56,"J4",7
"250","BORDEAUX BRUGES","N1","2122","H",22,56,"J5",10
"251","BORDEAUX BRUGES","N1","2122","H",22,56,"J6",13
"252","BORDEAUX BRUGES","N1","2122","H",22,56,"J7",16
"253","BORDEAUX BRUGES","N1","2122","H",22,56,"J8",19
"254","BORDEAUX BRUGES","N1","2122","H",22,56,"J9",22
"255","BORDEAUX BRUGES","N1","2122","H",22,56,"J10",23
"256","BORDEAUX BRUGES","N1","2122","H",22,56,"J11",25
"257","BORDEAUX BRUGES","N1","2122","H",22,56,"J12",28
"258","BORDEAUX BRUGES","N1","2122","H",22,56,"J13",31
