"code_rencontre","club_recevant","coach_recevant","club_visiteur","coach_visiteur","score_final_r","score_final_v","fichier","score_recevant_59_min","score_visiteur_59_min","equipe","statut_59_min","statut_final","effet_positif","TM_derniere_min","TM_derniere_min_adverse","HF","DM","DM_adverse","division","saison","club_ref","club_opp","points_classement","points_opp","diff_classement"
"SAEEACS","MONTPELLIER HANDBALL","CANAYER patrice","HBC NANTES","COJEAN gregory",29,30,"rencontre_D1H_2223_3959.pdf",29,30,"R",-1,-1,0,0,1,"H",0,0,"D1","2223","le pouzin hb 07","hbc nantes",NA,50,NA
"SAEEACT","CESSON RENNES METROPOLE HB","LERICHE sebastien","SAINT RAPHAEL VHB","BRAUX benjamin",28,24,"rencontre_D1H_2223_3960 2.pdf",27,24,"R",1,1,1,0,0,"H",0,0,"D1","2223","nancy handball","saint raphael vhb",NA,26,NA
"SAEEACT","CESSON RENNES METROPOLE HB","LERICHE sebastien","SAINT RAPHAEL VHB","BRAUX benjamin",28,24,"rencontre_D1H_2223_3960.pdf",27,24,"R",1,1,1,0,0,"H",0,0,"D1","2223","nancy handball","saint raphael vhb",NA,26,NA
"SAEEACV","US CRETEIL HANDBALL","BARBEITO DELGADO fernando","CHAMBERY SAVOIE HB","MATHE erick",32,36,"rencontre_D1H_2223_3962 2.pdf",32,34,"R",-1,-1,0,0,0,"H",0,0,"D1","2223","us creteil handball","handball clermont auvergne metropole 63",16,NA,NA
"SAEEACV","US CRETEIL HANDBALL","BARBEITO DELGADO fernando","CHAMBERY SAVOIE HB","MATHE erick",32,36,"rencontre_D1H_2223_3962.pdf",32,34,"R",-1,-1,0,0,0,"H",0,0,"D1","2223","us creteil handball","handball clermont auvergne metropole 63",16,NA,NA
"SAEEACW","DUNKERQUE HANDBALL GRAND LITTORAL","MAURICE franck","USAM NIMES GARD","VRANJES ljubomir",32,34,"rencontre_D1H_2223_3963 2.pdf",30,32,"R",-1,-1,0,0,1,"H",0,0,"D1","2223","limoges hand 87","usam nimes gard",25,41,16
"SAEEACW","DUNKERQUE HANDBALL GRAND LITTORAL","MAURICE franck","USAM NIMES GARD","VRANJES ljubomir",32,34,"rencontre_D1H_2223_3963.pdf",30,32,"R",-1,-1,0,0,1,"H",0,0,"D1","2223","limoges hand 87","usam nimes gard",25,41,16
"SAEEADD","US CRETEIL HANDBALL","BARBEITO DELGADO fernando","C'CHARTRES METROPOLE HANDBALL","GERONA SALAET toni",40,38,"rencontre_D1H_2223_3970 2.pdf",38,36,"R",1,1,1,0,0,"H",0,0,"D1","2223","us creteil handball","handball clermont auvergne metropole 63",16,NA,NA
"SAEEADD","US CRETEIL HANDBALL","BARBEITO DELGADO fernando","C'CHARTRES METROPOLE HANDBALL","GERONA SALAET toni",40,38,"rencontre_D1H_2223_3970.pdf",38,36,"R",1,1,1,0,0,"H",0,0,"D1","2223","us creteil handball","handball clermont auvergne metropole 63",16,NA,NA
"SAEEADE","ISTRES PROVENCE HANDBALL","DEROT gilles","LIMOGES HAND","ENTRERRIOS RODRIGUEZ alberto",33,34,"rencontre_D1H_2223_3971 2.pdf",31,32,"R",-1,-1,0,0,1,"H",1,1,"D1","2223","bouillargues handball nimes metropole","limoges hand 87",NA,25,NA
"SAEEADE","ISTRES PROVENCE HANDBALL","DEROT gilles","LIMOGES HAND","ENTRERRIOS RODRIGUEZ alberto",33,34,"rencontre_D1H_2223_3971.pdf",31,32,"R",-1,-1,0,0,1,"H",1,1,"D1","2223","bouillargues handball nimes metropole","limoges hand 87",NA,25,NA
"SAEEADI","USAM NIMES GARD","VRANJES ljubomir","CHAMBERY SAVOIE HB","MATHE erick",34,37,"rencontre_D1H_2223_3975 2.pdf",33,36,"R",-1,-1,0,0,0,"H",0,0,"D1","2223","usam nimes gard","handball clermont auvergne metropole 63",41,NA,NA
"SAEEADI","USAM NIMES GARD","VRANJES ljubomir","CHAMBERY SAVOIE HB","MATHE erick",34,37,"rencontre_D1H_2223_3975.pdf",33,36,"R",-1,-1,0,0,0,"H",0,0,"D1","2223","usam nimes gard","handball clermont auvergne metropole 63",41,NA,NA
"SAEEADJ","SAINT RAPHAEL VHB","BRAUX benjamin","HBC NANTES","COJEAN gregory",35,38,"rencontre_D1H_2223_3976 2.pdf",35,37,"R",-1,-1,0,0,1,"H",0,1,"D1","2223","saint raphael vhb","hbc nantes",26,50,24
"SAEEADJ","SAINT RAPHAEL VHB","BRAUX benjamin","HBC NANTES","COJEAN gregory",35,38,"rencontre_D1H_2223_3976.pdf",35,37,"R",-1,-1,0,0,1,"H",0,1,"D1","2223","saint raphael vhb","hbc nantes",26,50,24
"SAEEADQ","CHAMBERY SAVOIE HB","MATHE erick","PAYS AIX UNIVERSITE CLUB HANDBALL","ANTI thierry",26,23,"rencontre_D1H_2223_3983 2.pdf",25,23,"R",1,1,1,1,0,"H",1,1,"D1","2223","handball clermont auvergne metropole 63","provence aix universite club handball",NA,NA,NA
"SAEEADQ","CHAMBERY SAVOIE HB","MATHE erick","PAYS AIX UNIVERSITE CLUB HANDBALL","ANTI thierry",26,23,"rencontre_D1H_2223_3983.pdf",25,23,"R",1,1,1,1,0,"H",1,1,"D1","2223","handball clermont auvergne metropole 63","provence aix universite club handball",NA,NA,NA
"SAEEADR","FENIX TOULOUSE HANDBALL","ANDELKOVIC danijel","US IVRY HANDBALL","QUINTALLET sebastien",32,31,"rencontre_D1H_2223_3984 2.pdf",32,31,"R",1,1,1,0,0,"H",0,0,"D1","2223","fenix toulouse handball","us ivry handball",37,18,-19
"SAEEADR","FENIX TOULOUSE HANDBALL","ANDELKOVIC danijel","US IVRY HANDBALL","QUINTALLET sebastien",32,31,"rencontre_D1H_2223_3984.pdf",32,31,"R",1,1,1,0,0,"H",0,0,"D1","2223","fenix toulouse handball","us ivry handball",37,18,-19
"SAEEADS","US CRETEIL HANDBALL","Officiel B ESPARRE christophe","USAM NIMES GARD","Officiel B BALMOSSIERE yann",27,30,"rencontre_D1H_2223_3985 2.pdf",26,29,"R",-1,-1,0,0,0,"H",0,0,"D1","2223","us creteil handball","usam nimes gard",16,41,25
"SAEEADS","US CRETEIL HANDBALL","Officiel B ESPARRE christophe","USAM NIMES GARD","Officiel B BALMOSSIERE yann",27,30,"rencontre_D1H_2223_3985.pdf",26,29,"R",-1,-1,0,0,0,"H",0,0,"D1","2223","us creteil handball","usam nimes gard",16,41,25
"SAEEADT","LIMOGES HAND 87","ENTRERRIOS RODRIGUEZ alberto","DUNKERQUE HANDBALL GRAND LITTORAL","MAURICE franck",26,27,"rencontre_D1H_2223_3986 2.pdf",26,27,"R",-1,-1,0,0,1,"H",0,0,"D1","2223","nancy handball","limoges hand 87",NA,25,NA
"SAEEADT","LIMOGES HAND 87","ENTRERRIOS RODRIGUEZ alberto","DUNKERQUE HANDBALL GRAND LITTORAL","MAURICE franck",26,27,"rencontre_D1H_2223_3986.pdf",26,27,"R",-1,-1,0,0,1,"H",0,0,"D1","2223","nancy handball","limoges hand 87",NA,25,NA
"SAEEADV","SELESTAT ALSACE HANDBALL","Officiel B HAEGELI thomas","CESSON RENNES METROPOLE HB","Officiel B LEMAIRE yann",22,23,"rencontre_D1H_2223_3988 2.pdf",22,23,"R",-1,-1,0,0,1,"H",0,0,"D1","2223","bouillargues handball nimes metropole","nancy handball",NA,NA,NA
"SAEEADV","SELESTAT ALSACE HANDBALL","Officiel B HAEGELI thomas","CESSON RENNES METROPOLE HB","Officiel B LEMAIRE yann",22,23,"rencontre_D1H_2223_3988.pdf",22,23,"R",-1,-1,0,0,1,"H",0,0,"D1","2223","bouillargues handball nimes metropole","nancy handball",NA,NA,NA
"SAEEADY","PAYS AIX UNIVERSITE CLUB HANDBALL","ANTI thierry","FENIX TOULOUSE HANDBALL","ANDELKOVIC danijel",26,24,"rencontre_D1H_2223_3991 2.pdf",25,24,"R",1,1,1,1,1,"H",0,0,"D1","2223","provence aix universite club handball","fenix toulouse handball",NA,37,NA
"SAEEADY","PAYS AIX UNIVERSITE CLUB HANDBALL","ANTI thierry","FENIX TOULOUSE HANDBALL","ANDELKOVIC danijel",26,24,"rencontre_D1H_2223_3991.pdf",25,24,"R",1,1,1,1,1,"H",0,0,"D1","2223","provence aix universite club handball","fenix toulouse handball",NA,37,NA
"SAEEADZ","USAM NIMES GARD","VRANJES ljubomir","ISTRES PROVENCE HANDBALL","DEROT gilles",37,34,"rencontre_D1H_2223_3992 2.pdf",37,34,"R",1,1,1,0,0,"H",0,0,"D1","2223","usam nimes gard","bouillargues handball nimes metropole",41,NA,NA
"SAEEADZ","USAM NIMES GARD","VRANJES ljubomir","ISTRES PROVENCE HANDBALL","DEROT gilles",37,34,"rencontre_D1H_2223_3992.pdf",37,34,"R",1,1,1,0,0,"H",0,0,"D1","2223","usam nimes gard","bouillargues handball nimes metropole",41,NA,NA
"SAEEAEB","C'CHARTRES METROPOLE HANDBALL","GERONA SALAET toni","CHAMBERY SAVOIE HB","MATHE erick",29,28,"rencontre_D1H_2223_3994 2.pdf",29,28,"R",1,1,1,1,0,"H",0,0,"D1","2223","handball clermont auvergne metropole 63","handball clermont auvergne metropole 63",NA,NA,NA
"SAEEAEB","C'CHARTRES METROPOLE HANDBALL","GERONA SALAET toni","CHAMBERY SAVOIE HB","MATHE erick",29,28,"rencontre_D1H_2223_3994.pdf",29,28,"R",1,1,1,1,0,"H",0,0,"D1","2223","handball clermont auvergne metropole 63","handball clermont auvergne metropole 63",NA,NA,NA
"SAEEAEC","DUNKERQUE HANDBALL GRAND LITTORAL","MAURICE franck","US CRETEIL HANDBALL","BARBEITO DELGADO fernando",31,32,"rencontre_D1H_2223_3995 2.pdf",31,31,"R",0,-1,0,1,1,"H",0,1,"D1","2223","limoges hand 87","us creteil handball",25,16,-9
"SAEEAEC","DUNKERQUE HANDBALL GRAND LITTORAL","MAURICE franck","US CRETEIL HANDBALL","BARBEITO DELGADO fernando",31,32,"rencontre_D1H_2223_3995.pdf",31,31,"R",0,-1,0,1,1,"H",0,1,"D1","2223","limoges hand 87","us creteil handball",25,16,-9
"SAEEAEF","CHAMBERY SAVOIE HB","MATHE erick","SAINT RAPHAEL VHB","BRAUX benjamin",25,24,"rencontre_D1H_2223_3998 2.pdf",25,23,"R",1,1,1,0,0,"H",1,0,"D1","2223","handball clermont auvergne metropole 63","saint raphael vhb",NA,26,NA
"SAEEAEF","CHAMBERY SAVOIE HB","MATHE erick","SAINT RAPHAEL VHB","BRAUX benjamin",25,24,"rencontre_D1H_2223_3998.pdf",25,23,"R",1,1,1,0,0,"H",1,0,"D1","2223","handball clermont auvergne metropole 63","saint raphael vhb",NA,26,NA
"SAEEAEP","SAINT RAPHAEL VHB","BRAUX benjamin","ISTRES PROVENCE HANDBALL","DEROT gilles",33,32,"rencontre_D1H_2223_4008 2.pdf",33,32,"R",1,1,1,1,0,"H",0,0,"D1","2223","saint raphael vhb","bouillargues handball nimes metropole",26,NA,NA
"SAEEAEP","SAINT RAPHAEL VHB","BRAUX benjamin","ISTRES PROVENCE HANDBALL","DEROT gilles",33,32,"rencontre_D1H_2223_4008.pdf",33,32,"R",1,1,1,1,0,"H",0,0,"D1","2223","saint raphael vhb","bouillargues handball nimes metropole",26,NA,NA
"SAEEAEQ","CESSON RENNES METROPOLE HB","LERICHE sebastien","LIMOGES HAND","ENTRERRIOS RODRIGUEZ alberto",30,27,"rencontre_D1H_2223_4009 2.pdf",29,26,"R",1,1,1,1,0,"H",1,0,"D1","2223","nancy handball","limoges hand 87",NA,25,NA
"SAEEAEQ","CESSON RENNES METROPOLE HB","LERICHE sebastien","LIMOGES HAND","ENTRERRIOS RODRIGUEZ alberto",30,27,"rencontre_D1H_2223_4009.pdf",29,26,"R",1,1,1,1,0,"H",1,0,"D1","2223","nancy handball","limoges hand 87",NA,25,NA
"SAEEAER","C'CHARTRES METROPOLE HANDBALL","GERONA SALAET toni","FENIX TOULOUSE HANDBALL","ANDELKOVIC danijel",24,24,"rencontre_D1H_2223_4010 2.pdf",23,24,"R",-1,0,1,1,1,"H",0,0,"D1","2223","handball clermont auvergne metropole 63","fenix toulouse handball",NA,37,NA
"SAEEAER","C'CHARTRES METROPOLE HANDBALL","GERONA SALAET toni","FENIX TOULOUSE HANDBALL","ANDELKOVIC danijel",24,24,"rencontre_D1H_2223_4010.pdf",23,24,"R",-1,0,1,1,1,"H",0,0,"D1","2223","handball clermont auvergne metropole 63","fenix toulouse handball",NA,37,NA
"SAEEAES","US IVRY HANDBALL","QUINTALLET sebastien","DUNKERQUE HANDBALL GRAND LITTORAL","MAURICE franck",30,30,"rencontre_D1H_2223_4011 2.pdf",30,29,"R",1,0,0,0,0,"H",1,1,"D1","2223","us ivry handball","limoges hand 87",18,25,7
"SAEEAES","US IVRY HANDBALL","QUINTALLET sebastien","DUNKERQUE HANDBALL GRAND LITTORAL","MAURICE franck",30,30,"rencontre_D1H_2223_4011.pdf",30,29,"R",1,0,0,0,0,"H",1,1,"D1","2223","us ivry handball","limoges hand 87",18,25,7
"SAEEAET","SELESTAT ALSACE HANDBALL","BUSSELIER laurent","USAM NIMES GARD","VRANJES ljubomir",25,28,"rencontre_D1H_2223_4012 2.pdf",24,27,"R",-1,-1,0,0,0,"H",1,0,"D1","2223","bouillargues handball nimes metropole","usam nimes gard",NA,41,NA
"SAEEAET","SELESTAT ALSACE HANDBALL","BUSSELIER laurent","USAM NIMES GARD","VRANJES ljubomir",25,28,"rencontre_D1H_2223_4012.pdf",24,27,"R",-1,-1,0,0,0,"H",1,0,"D1","2223","bouillargues handball nimes metropole","usam nimes gard",NA,41,NA
"SAEEAEV","CHAMBERY SAVOIE HB","MATHE erick","MONTPELLIER HANDBALL","CANAYER patrice",30,31,"rencontre_D1H_2223_4014 2.pdf",29,30,"R",-1,-1,0,0,0,"H",0,0,"D1","2223","handball clermont auvergne metropole 63","le pouzin hb 07",NA,NA,NA
"SAEEAEV","CHAMBERY SAVOIE HB","MATHE erick","MONTPELLIER HANDBALL","CANAYER patrice",30,31,"rencontre_D1H_2223_4014.pdf",29,30,"R",-1,-1,0,0,0,"H",0,0,"D1","2223","handball clermont auvergne metropole 63","le pouzin hb 07",NA,NA,NA
"SAEEAEZ","DUNKERQUE HANDBALL GRAND LITTORAL","MAURICE franck","SAINT RAPHAEL VHB","BRAUX benjamin",31,29,"rencontre_D1H_2223_4018 2.pdf",30,27,"R",1,1,1,0,0,"H",1,0,"D1","2223","limoges hand 87","saint raphael vhb",25,26,1
"SAEEAEZ","DUNKERQUE HANDBALL GRAND LITTORAL","MAURICE franck","SAINT RAPHAEL VHB","BRAUX benjamin",31,29,"rencontre_D1H_2223_4018.pdf",30,27,"R",1,1,1,0,0,"H",1,0,"D1","2223","limoges hand 87","saint raphael vhb",25,26,1
"SAEEAFB","ISTRES PROVENCE HANDBALL","DEROT gilles","C'CHARTRES METROPOLE HANDBALL","GERONA SALAET toni",32,34,"rencontre_D1H_2223_4020 2.pdf",32,33,"R",-1,-1,0,0,0,"H",0,0,"D1","2223","bouillargues handball nimes metropole","handball clermont auvergne metropole 63",NA,NA,NA
"SAEEAFB","ISTRES PROVENCE HANDBALL","DEROT gilles","C'CHARTRES METROPOLE HANDBALL","GERONA SALAET toni",32,34,"rencontre_D1H_2223_4020.pdf",32,33,"R",-1,-1,0,0,0,"H",0,0,"D1","2223","bouillargues handball nimes metropole","handball clermont auvergne metropole 63",NA,NA,NA
"SAEEAFF","SAINT RAPHAEL VHB","BRAUX benjamin","FENIX TOULOUSE HANDBALL","ANDELKOVIC danijel",36,32,"rencontre_D1H_2223_4024 2.pdf",35,32,"R",1,1,1,1,1,"H",0,0,"D1","2223","saint raphael vhb","fenix toulouse handball",26,37,11
"SAEEAFF","SAINT RAPHAEL VHB","BRAUX benjamin","FENIX TOULOUSE HANDBALL","ANDELKOVIC danijel",36,32,"rencontre_D1H_2223_4024.pdf",35,32,"R",1,1,1,1,1,"H",0,0,"D1","2223","saint raphael vhb","fenix toulouse handball",26,37,11
"SAEEAFH","C'CHARTRES METROPOLE HANDBALL","GERONA SALAET toni","PARIS SAINT-GERMAIN HANDBALL","GONZALEZ GUTIERREZ raul",32,33,"rencontre_D1H_2223_4026 2.pdf",32,32,"R",0,-1,0,1,1,"H",0,0,"D1","2223","handball clermont auvergne metropole 63","paris saint-germain handball",NA,54,NA
"SAEEAFH","C'CHARTRES METROPOLE HANDBALL","GERONA SALAET toni","PARIS SAINT-GERMAIN HANDBALL","GONZALEZ GUTIERREZ raul",32,33,"rencontre_D1H_2223_4026.pdf",32,32,"R",0,-1,0,1,1,"H",0,0,"D1","2223","handball clermont auvergne metropole 63","paris saint-germain handball",NA,54,NA
"SAEEAFM","USAM NIMES GARD","VRANJES ljubomir","PAYS AIX UNIVERSITE CLUB HANDBALL","ANTI thierry",31,33,"rencontre_D1H_2223_4031 2.pdf",31,31,"R",0,-1,0,0,0,"H",0,0,"D1","2223","usam nimes gard","provence aix universite club handball",41,NA,NA
"SAEEAFM","USAM NIMES GARD","VRANJES ljubomir","PAYS AIX UNIVERSITE CLUB HANDBALL","ANTI thierry",31,33,"rencontre_D1H_2223_4031.pdf",31,31,"R",0,-1,0,0,0,"H",0,0,"D1","2223","usam nimes gard","provence aix universite club handball",41,NA,NA
"SAEEAFN","FENIX TOULOUSE HANDBALL","ANDELKOVIC danijel","HBC NANTES","COJEAN gregory",32,31,"rencontre_D1H_2223_4032 2.pdf",32,31,"R",1,1,1,0,0,"H",0,0,"D1","2223","fenix toulouse handball","hbc nantes",37,50,13
"SAEEAFN","FENIX TOULOUSE HANDBALL","ANDELKOVIC danijel","HBC NANTES","COJEAN gregory",32,31,"rencontre_D1H_2223_4032.pdf",32,31,"R",1,1,1,0,0,"H",0,0,"D1","2223","fenix toulouse handball","hbc nantes",37,50,13
"SAEEAFP","DUNKERQUE HANDBALL GRAND LITTORAL","MAURICE franck","CESSON RENNES METROPOLE HB","LERICHE sebastien",32,31,"rencontre_D1H_2223_4034 2.pdf",31,30,"R",1,1,1,1,0,"H",0,0,"D1","2223","limoges hand 87","nancy handball",25,NA,NA
"SAEEAFP","DUNKERQUE HANDBALL GRAND LITTORAL","MAURICE franck","CESSON RENNES METROPOLE HB","LERICHE sebastien",32,31,"rencontre_D1H_2223_4034.pdf",31,30,"R",1,1,1,1,0,"H",0,0,"D1","2223","limoges hand 87","nancy handball",25,NA,NA
"SAEEAFU","SAINT RAPHAEL VHB","BRAUX benjamin","US CRETEIL HANDBALL","BARBEITO DELGADO fernando",35,33,"rencontre_D1H_2223_4039 2.pdf",32,31,"R",1,1,1,0,0,"H",0,1,"D1","2223","saint raphael vhb","us creteil handball",26,16,-10
"SAEEAFU","SAINT RAPHAEL VHB","BRAUX benjamin","US CRETEIL HANDBALL","BARBEITO DELGADO fernando",35,33,"rencontre_D1H_2223_4039.pdf",32,31,"R",1,1,1,0,0,"H",0,1,"D1","2223","saint raphael vhb","us creteil handball",26,16,-10
"SAEEAFW","C'CHARTRES METROPOLE HANDBALL","GERONA SALAET toni","USAM NIMES GARD","CHAUVET jerome",28,31,"rencontre_D1H_2223_4041 2.pdf",28,30,"R",-1,-1,0,0,1,"H",1,0,"D1","2223","handball clermont auvergne metropole 63","usam nimes gard",NA,41,NA
"SAEEAFW","C'CHARTRES METROPOLE HANDBALL","GERONA SALAET toni","USAM NIMES GARD","CHAUVET jerome",28,31,"rencontre_D1H_2223_4041.pdf",28,30,"R",-1,-1,0,0,1,"H",1,0,"D1","2223","handball clermont auvergne metropole 63","usam nimes gard",NA,41,NA
"SAEEAFX","LIMOGES HAND 87","ENTRERRIOS RODRIGUEZ alberto","CHAMBERY SAVOIE HB","MATHE erick",24,23,"rencontre_D1H_2223_4042 2.pdf",24,23,"R",1,1,1,1,0,"H",0,0,"D1","2223","nancy handball","handball clermont auvergne metropole 63",NA,NA,NA
"SAEEAFX","LIMOGES HAND 87","ENTRERRIOS RODRIGUEZ alberto","CHAMBERY SAVOIE HB","MATHE erick",24,23,"rencontre_D1H_2223_4042.pdf",24,23,"R",1,1,1,1,0,"H",0,0,"D1","2223","nancy handball","handball clermont auvergne metropole 63",NA,NA,NA
"SAEEAGB","PAYS AIX UNIVERSITE CLUB HANDBALL","ANTI thierry","US IVRY HANDBALL","QUINTALLET sebastien",34,34,"rencontre_D1H_2223_4046 2.pdf",34,33,"R",1,0,0,0,0,"H",0,0,"D1","2223","provence aix universite club handball","us ivry handball",NA,18,NA
"SAEEAGB","PAYS AIX UNIVERSITE CLUB HANDBALL","ANTI thierry","US IVRY HANDBALL","QUINTALLET sebastien",34,34,"rencontre_D1H_2223_4046.pdf",34,33,"R",1,0,0,0,0,"H",0,0,"D1","2223","provence aix universite club handball","us ivry handball",NA,18,NA
"SAEEAGD","USAM NIMES GARD","VRANJES ljubomir","FENIX TOULOUSE HANDBALL","ANDELKOVIC danijel",37,38,"rencontre_D1H_2223_4048 2.pdf",35,38,"R",-1,-1,0,0,0,"H",0,0,"D1","2223","usam nimes gard","fenix toulouse handball",41,37,-4
"SAEEAGD","USAM NIMES GARD","VRANJES ljubomir","FENIX TOULOUSE HANDBALL","ANDELKOVIC danijel",37,38,"rencontre_D1H_2223_4048.pdf",35,38,"R",-1,-1,0,0,0,"H",0,0,"D1","2223","usam nimes gard","fenix toulouse handball",41,37,-4
"SAEEAGG","DUNKERQUE HANDBALL GRAND LITTORAL","MAURICE franck","HBC NANTES","COJEAN gregory",29,32,"rencontre_D1H_2223_4051 2.pdf",29,31,"R",-1,-1,0,0,0,"H",1,1,"D1","2223","limoges hand 87","hbc nantes",25,50,25
"SAEEAGG","DUNKERQUE HANDBALL GRAND LITTORAL","MAURICE franck","HBC NANTES","COJEAN gregory",29,32,"rencontre_D1H_2223_4051.pdf",29,31,"R",-1,-1,0,0,0,"H",1,1,"D1","2223","limoges hand 87","hbc nantes",25,50,25
"SAEEAGJ","MONTPELLIER HANDBALL","CANAYER patrice","PARIS SAINT-GERMAIN HANDBALL","GONZALEZ GUTIERREZ raul",31,30,"rencontre_D1H_2223_4054 2.pdf",31,30,"R",1,1,1,1,1,"H",0,1,"D1","2223","le pouzin hb 07","paris saint-germain handball",NA,54,NA
"SAEEAGJ","MONTPELLIER HANDBALL","CANAYER patrice","PARIS SAINT-GERMAIN HANDBALL","GONZALEZ GUTIERREZ raul",31,30,"rencontre_D1H_2223_4054.pdf",31,30,"R",1,1,1,1,1,"H",0,1,"D1","2223","le pouzin hb 07","paris saint-germain handball",NA,54,NA
"SAEEAGK","FENIX TOULOUSE HANDBALL","ANDELKOVIC danijel","CHAMBERY SAVOIE HB","MATHE erick",30,31,"rencontre_D1H_2223_4055 2.pdf",30,31,"R",-1,-1,0,0,1,"H",0,0,"D1","2223","fenix toulouse handball","handball clermont auvergne metropole 63",37,NA,NA
"SAEEAGK","FENIX TOULOUSE HANDBALL","ANDELKOVIC danijel","CHAMBERY SAVOIE HB","MATHE erick",30,31,"rencontre_D1H_2223_4055.pdf",30,31,"R",-1,-1,0,0,1,"H",0,0,"D1","2223","fenix toulouse handball","handball clermont auvergne metropole 63",37,NA,NA
"SAEEAGL","CESSON RENNES METROPOLE HB","LERICHE sebastien","USAM NIMES GARD","VRANJES ljubomir",22,23,"rencontre_D1H_2223_4056 2.pdf",22,22,"R",0,-1,0,1,1,"H",0,0,"D1","2223","nancy handball","usam nimes gard",NA,41,NA
"SAEEAGL","CESSON RENNES METROPOLE HB","LERICHE sebastien","USAM NIMES GARD","VRANJES ljubomir",22,23,"rencontre_D1H_2223_4056.pdf",22,22,"R",0,-1,0,1,1,"H",0,0,"D1","2223","nancy handball","usam nimes gard",NA,41,NA
"SAEEAGN","LIMOGES HAND 87","ENTRERRIOS RODRIGUEZ alberto","SELESTAT ALSACE HANDBALL","BUSSELIER laurent",29,31,"rencontre_D1H_2223_4058 2.pdf",28,30,"R",-1,-1,0,0,0,"H",0,1,"D1","2223","nancy handball","bouillargues handball nimes metropole",NA,NA,NA
"SAEEAGN","LIMOGES HAND 87","ENTRERRIOS RODRIGUEZ alberto","SELESTAT ALSACE HANDBALL","BUSSELIER laurent",29,31,"rencontre_D1H_2223_4058.pdf",28,30,"R",-1,-1,0,0,0,"H",0,1,"D1","2223","nancy handball","bouillargues handball nimes metropole",NA,NA,NA
"SAEEAGO","ISTRES PROVENCE HANDBALL","DEROT gilles","US CRETEIL HANDBALL","BARBEITO DELGADO fernando",26,26,"rencontre_D1H_2223_4059 2.pdf",25,26,"R",-1,0,1,0,1,"H",0,0,"D1","2223","bouillargues handball nimes metropole","us creteil handball",NA,16,NA
"SAEEAGO","ISTRES PROVENCE HANDBALL","DEROT gilles","US CRETEIL HANDBALL","BARBEITO DELGADO fernando",26,26,"rencontre_D1H_2223_4059.pdf",25,26,"R",-1,0,1,0,1,"H",0,0,"D1","2223","bouillargues handball nimes metropole","us creteil handball",NA,16,NA
"SAEEAGP","US IVRY HANDBALL","QUINTALLET sebastien","SAINT RAPHAEL VHB","BRAUX benjamin",30,28,"rencontre_D1H_2223_4060 2.pdf",30,27,"R",1,1,1,0,0,"H",1,0,"D1","2223","us ivry handball","saint raphael vhb",18,26,8
"SAEEAGP","US IVRY HANDBALL","QUINTALLET sebastien","SAINT RAPHAEL VHB","BRAUX benjamin",30,28,"rencontre_D1H_2223_4060.pdf",30,27,"R",1,1,1,0,0,"H",1,0,"D1","2223","us ivry handball","saint raphael vhb",18,26,8
"SAEEAGQ","HBC NANTES","COJEAN gregory","PARIS SAINT-GERMAIN HANDBALL","GONZALEZ GUTIERREZ raul",32,33,"rencontre_D1H_2223_4061 2.pdf",31,32,"R",-1,-1,0,0,1,"H",0,0,"D1","2223","hbc nantes","paris saint-germain handball",50,54,4
"SAEEAGQ","HBC NANTES","COJEAN gregory","PARIS SAINT-GERMAIN HANDBALL","GONZALEZ GUTIERREZ raul",32,33,"rencontre_D1H_2223_4061.pdf",31,32,"R",-1,-1,0,0,1,"H",0,0,"D1","2223","hbc nantes","paris saint-germain handball",50,54,4
"SAEEAGR","CHAMBERY SAVOIE HB","MATHE erick","CESSON RENNES METROPOLE HB","LERICHE sebastien",24,24,"rencontre_D1H_2223_4062 2.pdf",23,24,"R",-1,0,1,1,1,"H",0,0,"D1","2223","handball clermont auvergne metropole 63","nancy handball",NA,NA,NA
"SAEEAGR","CHAMBERY SAVOIE HB","MATHE erick","CESSON RENNES METROPOLE HB","LERICHE sebastien",24,24,"rencontre_D1H_2223_4062.pdf",23,24,"R",-1,0,1,1,1,"H",0,0,"D1","2223","handball clermont auvergne metropole 63","nancy handball",NA,NA,NA
"SAEEAGS","USAM NIMES GARD","VRANJES ljubomir","LIMOGES HAND","ENTRERRIOS RODRIGUEZ alberto",34,29,"rencontre_D1H_2223_4063 2.pdf",32,29,"R",1,1,1,0,0,"H",0,0,"D1","2223","usam nimes gard","limoges hand 87",41,25,-16
"SAEEAGS","USAM NIMES GARD","VRANJES ljubomir","LIMOGES HAND","ENTRERRIOS RODRIGUEZ alberto",34,29,"rencontre_D1H_2223_4063.pdf",32,29,"R",1,1,1,0,0,"H",0,0,"D1","2223","usam nimes gard","limoges hand 87",41,25,-16
"SAEEAGU","SAINT RAPHAEL VHB","BRAUX benjamin","PAYS AIX UNIVERSITE CLUB HANDBALL","ANTI thierry",31,34,"rencontre_D1H_2223_4065 2.pdf",31,34,"R",-1,-1,0,0,0,"H",0,0,"D1","2223","saint raphael vhb","provence aix universite club handball",26,NA,NA
"SAEEAGU","SAINT RAPHAEL VHB","BRAUX benjamin","PAYS AIX UNIVERSITE CLUB HANDBALL","ANTI thierry",31,34,"rencontre_D1H_2223_4065.pdf",31,34,"R",-1,-1,0,0,0,"H",0,0,"D1","2223","saint raphael vhb","provence aix universite club handball",26,NA,NA
