"code_rencontre","club_recevant","coach_recevant","club_visiteur","coach_visiteur","score_final_r","score_final_v","fichier","score_recevant_59_min","score_visiteur_59_min","equipe","statut_59_min","statut_final","effet_positif","TM_derniere_min","TM_derniere_min_adverse","HF","DM","DM_adverse","division","saison","club_ref","club_opp","points_classement","points_opp","diff_classement"
"SAECVCG","LES NEPTUNES DE NANTES","THOMSEN helle","ES BESANCON FEMININ","MIZOULE sebastien",23,23,"rencontre_D1F_2223_3055.pdf",22,23,"R",-1,0,1,0,0,"F",0,0,"D1","2223","les neptunes de nantes","handball clermont auvergne metropole 63",56,NA,NA
"SAECVCM","PARIS 92","MESSAOUDI yacine","CELLES SUR BELLE MELLOIS EN POITOU","VINCENT thierry",21,21,"rencontre_D1F_2223_3061.pdf",21,19,"R",1,0,0,1,0,"F",1,1,"D1","2223","nancy handball","provence aix universite club handball",NA,NA,NA
"SAECVCU","JDA DIJON HANDBALL","MAZEL christophe","OGC NICE COTE D'AZUR HANDBALL","ALCACER clement",25,27,"rencontre_D1F_2223_3069 2.pdf",24,26,"R",-1,-1,0,0,0,"F",0,0,"D1","2223","jda dijon handball","bouillargues handball nimes metropole",52,NA,NA
"SAECVCU","JDA DIJON HANDBALL","MAZEL christophe","OGC NICE COTE D'AZUR HANDBALL","ALCACER clement",25,27,"rencontre_D1F_2223_3069.pdf",24,26,"R",-1,-1,0,0,0,"F",0,0,"D1","2223","jda dijon handball","bouillargues handball nimes metropole",52,NA,NA
"SAECVDB","CHAMBRAY TOURAINE HANDBALL","LANFRANCHI mathieu","TOULON METROPOLE VAR HANDBALL","PLANTIN stephane",28,27,"rencontre_D1F_2223_3076 2.pdf",28,26,"R",1,1,1,1,0,"F",0,0,"D1","2223","st amand handball -  porte du hainaut","le pouzin hb 07",34,NA,NA
"SAECVDB","CHAMBRAY TOURAINE HANDBALL","LANFRANCHI mathieu","TOULON METROPOLE VAR HANDBALL","PLANTIN stephane",28,27,"rencontre_D1F_2223_3076.pdf",28,26,"R",1,1,1,1,0,"F",0,0,"D1","2223","st amand handball -  porte du hainaut","le pouzin hb 07",34,NA,NA
"SAECVDC","OGC NICE COTE D'AZUR HANDBALL","ALCACER clement","LES NEPTUNES DE NANTES","THOMSEN helle",24,25,"rencontre_D1F_2223_3077 2.pdf",24,25,"R",-1,-1,0,0,1,"F",1,0,"D1","2223","bouillargues handball nimes metropole","les neptunes de nantes",NA,56,NA
"SAECVDC","OGC NICE COTE D'AZUR HANDBALL","ALCACER clement","LES NEPTUNES DE NANTES","THOMSEN helle",24,25,"rencontre_D1F_2223_3077.pdf",24,25,"R",-1,-1,0,0,1,"F",1,0,"D1","2223","bouillargues handball nimes metropole","les neptunes de nantes",NA,56,NA
"SAECVDF","ST AMAND HANDBALL - PORTE DU HAINAUT","GARCIA CARRACEDO felix","ES BESANCON FEMININ","MIZOULE sebastien",28,28,"rencontre_D1F_2223_3080 2.pdf",26,28,"R",-1,0,1,0,0,"F",0,1,"D1","2223","st amand handball -  porte du hainaut","handball clermont auvergne metropole 63",34,NA,NA
"SAECVDF","ST AMAND HANDBALL - PORTE DU HAINAUT","GARCIA CARRACEDO felix","ES BESANCON FEMININ","MIZOULE sebastien",28,28,"rencontre_D1F_2223_3080.pdf",26,28,"R",-1,0,1,0,0,"F",0,1,"D1","2223","st amand handball -  porte du hainaut","handball clermont auvergne metropole 63",34,NA,NA
