"","club","division","saison","HF","J1","J2","J3","J4","J5","J6","J7","J8","J9","J10","J11","J12","J13","J14","J15","J16","J17","J18","J19","J20","J21","J22","J23","J24","J25","J26","match_joue"
"147","ROUEN HANDBALL","N1","2324","H",3,1,3,1,1,1,3,3,1,3,3,NA,3,3,1,3,2,2,1,3,3,3,3,3,NA,3,"24"
"148","SAINT CYR HANDBALL","N1","2324","H",3,1,3,3,3,3,NA,1,1,1,2,3,1,3,1,3,3,3,1,NA,3,1,3,3,3,1,"24"
"149","SARAN LOIRET HANDBALL","N1","2324","H",3,3,2,NA,1,3,3,3,1,3,3,1,3,3,2,3,NA,2,1,3,3,3,1,1,3,3,"24"
"150","SMV VERNON - SAINT MARCEL","N1","2324","H",1,3,1,2,NA,3,3,1,1,3,2,3,2,1,3,3,3,NA,1,1,1,1,3,1,3,1,"24"
"151","THIONVILLE MOSELLE HANDBALL","N1","2324","H",3,NA,3,1,3,1,1,1,1,1,1,1,1,1,NA,1,1,3,3,1,3,3,2,3,1,3,"24"
"152","TORCY HANDBALL MARNE-LA-VALLEE","N1","2324","H",3,3,1,3,3,1,1,3,3,1,1,3,NA,2,3,1,1,2,1,3,1,3,1,3,3,NA,"24"
"153","TREMBLAY HANDBALL","N1","2324","H",1,1,3,3,3,1,1,NA,3,3,1,NA,3,3,1,3,3,2,3,1,1,1,NA,NA,NA,NA,"20"
"154","UNION SPORTIVE DREUX VERNOUILLET HANDBALL","N1","2324","H",3,NA,3,3,3,3,3,1,3,3,3,1,3,3,3,3,3,3,3,3,1,3,NA,NA,NA,NA,"21"
"155","UNION SPORTIVE IVRY HANDBALL","N1","2324","H",NA,1,1,1,1,2,1,3,3,1,1,1,3,NA,1,1,1,1,3,1,3,3,3,1,1,3,"24"
"156","US CRETEIL HANDBALL","N1","2324","H",1,3,1,2,1,NA,3,3,1,3,1,1,3,3,1,3,1,3,NA,3,3,3,3,1,1,1,"24"
"157","US SAINTES HANDBALL","N1","2324","H",2,3,3,1,3,2,3,1,1,1,NA,2,3,3,3,3,2,3,1,3,3,3,NA,NA,NA,NA,"21"
"158","AS ST BRICE","N1","2425","H",1,1,3,1,3,1,1,3,3,NA,3,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13"
"159","ASB REZE HANDBALL","N1","2425","H",NA,3,1,2,1,3,NA,2,1,1,3,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11"
"160","ASPTT MULHOUSE","N1","2425","H",1,3,3,3,3,3,3,1,NA,1,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12"
"161","ATHLETIC CLUB BOULOGNE-BILLANCOURT","N1","2425","H",3,3,NA,3,1,1,1,1,1,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13"
"162","BELFORT AUHB","N1","2425","H",3,1,NA,1,3,1,3,3,1,1,3,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13"
"163","BILLY MONTIGNY","N1","2425","H",1,3,1,1,1,1,NA,1,3,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12"
"164","BRUGES","N1","2425","H",NA,3,3,3,1,3,3,3,3,1,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12"
"165","CERCLE PAUL BERT RENNES HB","N1","2425","H",3,1,3,1,1,1,3,3,3,1,1,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13"
"166","CERCLE SPORTIF VESULIEN HAUTE SAONE","N1","2425","H",1,2,1,NA,1,3,1,3,1,1,1,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12"
"167","CESSON RENNES METROPOLE HB","N1","2425","H",1,2,1,3,NA,2,1,3,NA,3,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11"
"168","DRAGUIGNAN VAR HANDBALL","N1","2425","H",1,1,1,3,3,2,NA,3,3,3,1,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13"
"169","ELITE VAL-D'OISE","N1","2425","H",NA,NA,3,NA,3,3,3,2,1,3,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10"
"170","FOLSCHVILLER","N1","2425","H",3,3,3,3,3,3,2,3,1,3,3,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13"
"171","GONFREVILLE HANDBALL","N1","2425","H",NA,3,3,3,1,3,3,3,1,3,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12"
"172","GRAND LIBOURNAIS HB","N1","2425","H",1,1,1,1,2,2,2,1,NA,3,1,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13"
"173","GRAND POITIERS HANDBALL","N1","2425","H",1,1,3,3,3,NA,2,1,NA,3,3,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11"
"174","HANDBALL CLUB DE LIVRY-GARGAN","N1","2425","H",1,1,3,1,3,3,3,1,1,1,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13"
"175","HANDBALL HAZEBROUCK","N1","2425","H",3,1,3,1,1,1,3,3,2,NA,1,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13"
"176","HBC NANTES","N1","2425","H",3,3,3,1,3,NA,2,1,1,1,NA,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12"
"177","HENNEBONT-LOCHRIST HB","N1","2425","H",1,NA,NA,3,3,2,2,2,3,1,3,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12"
"178","L'HUISSERIE (N","N1","2425","H",2,NA,NA,1,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4"
"179","LANESTER HB","N1","2425","H",1,NA,1,1,3,1,2,1,3,NA,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12"
"180","LILLE METROPOLE - HANDBALL CLUB","N1","2425","H",3,3,1,3,1,NA,1,1,3,1,3,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13"
"181","LORMONT HB","N1","2425","H",NA,1,1,NA,3,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7"
"182","MAINVILLIERS-CHARTRES HANDBALL","N1","2425","H",1,2,1,2,1,2,1,1,NA,3,NA,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12"
"183","MARTIGUES HANDBALL","N1","2425","H",3,1,1,1,1,NA,1,2,3,3,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12"
"184","METZ HANDBALL","N1","2425","H",1,3,1,3,3,1,NA,1,3,3,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13"
"185","MOLSHEIM","N1","2425","H",3,1,3,3,1,3,2,NA,3,3,3,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13"
"186","PARIS SAINT-GERMAIN HANDBALL","N1","2425","H",3,1,3,1,3,2,3,NA,2,1,3,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12"
"187","RIXHEIM","N1","2425","H",3,NA,1,1,NA,1,NA,3,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7"
"188","ROUEN HANDBALL","N1","2425","H",3,3,3,1,NA,1,1,3,3,3,1,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13"
"189","SAINT CYR HANDBALL","N1","2425","H",3,3,NA,1,NA,2,3,3,3,NA,3,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11"
"190","SARAN LOIRET HANDBALL","N1","2425","H",3,NA,NA,3,3,1,1,NA,1,1,3,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11"
"191","SELESTAT ALSACE HANDBALL","N1","2425","H",3,1,1,NA,3,3,1,1,1,1,1,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13"
"192","THIONVILLE MOSELLE HANDBALL","N1","2425","H",1,1,1,1,1,1,NA,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12"
"193","TORCY HANDBALL MARNE-LA-VALLEE","N1","2425","H",3,3,1,NA,1,2,NA,1,3,3,3,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12"
"194","TREMBLAY HANDBALL","N1","2425","H",1,2,1,1,1,3,1,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13"
"195","UNION SPORTIVE DREUX VERNOUILLET HANDBALL","N1","2425","H",NA,3,3,3,1,NA,2,3,3,3,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11"
"196","UNION SPORTIVE IVRY HANDBALL","N1","2425","H",3,1,3,NA,2,1,3,3,1,NA,1,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12"
"197","UNION SUD MAYENNE","N1","2425","H",2,NA,3,3,3,1,1,NA,1,NA,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11"
"198","US CRETEIL HANDBALL","N1","2425","H",1,NA,1,3,1,3,3,3,1,3,1,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13"
"199","US SAINTES HANDBALL","N1","2425","H",1,3,3,3,NA,3,3,1,3,1,3,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13"
