"Pos.","Club","Points","Joués","Gagnés","Nuls","Perdus","Buts +","Buts -","Diff."
1,"METZ HANDBALL",76,26,25,0,1,937,588,349
2,"BREST BRETAGNE HANDBALL",75,26,24,1,1,822,631,191
3,"LES NEPTUNES DE NANTES",64,26,19,0,7,843,673,170
4,"PARIS 92",62,26,18,0,8,778,723,55
5,"JDA BOURGOGNE DIJON HANDBALL",56,26,13,4,9,753,754,-1
6,"CHAMBRAY TOURAINE HANDBALL",56,26,14,2,10,700,691,9
7,"HANDBALL PLAN DE CUQUES",53,26,13,1,12,715,721,-6
8,"ES BESANCON FEMININ",53,26,12,3,11,732,699,33
9,"OGC NICE COTE D'AZUR HANDBALL",44,26,8,2,16,727,808,-81
10,"MERIGNAC HANDBALL",40,26,6,2,18,698,828,-130
11,"STRASBOURG ACHENHEIM TRUCHTERSHEIM HANDBALL",39,26,6,1,19,638,810,-172
12,"ST AMAND HANDBALL -  PORTE DU HAINAUT",38,26,6,0,20,699,796,-97
13,"TOULON METROPOLE VAR HANDBALL",37,26,5,1,20,682,830,-148
14,"STELLA SAINT-MAUR HANDBALL",35,26,4,1,21,613,785,-172
