"Pos.","Club","Points","Joués","Gagnés","Nuls","Perdus","Buts +","Buts -","Diff."
1,"SAMBRE AVESNOIS HANDBALL",64,24,21,1,2,701,566,135
2,"STADE PESSACAIS UNION CLUB HANDBALL",60,24,17,2,5,751,649,102
3,"CELLES SUR BELLE MELLOIS EN POITOU",57,24,16,1,7,658,583,75
4,"HANDBALL CLERMONT AUVERGNE METROPOLE 63",54,24,13,4,7,642,598,44
5,"CLUB ATHLETIQUE BEGLAIS",53,24,13,3,8,691,681,10
6,"NOISY-LE-GRAND HANDBALL",49,24,14,1,9,647,618,29
7,"SAINT GREGOIRE RENNES METROPOLE HB",43,24,9,1,14,563,617,-54
8,"HAVRE ATHLETIC CLUB HB",42,24,8,2,14,666,691,-25
9,"BOUILLARGUES HANDBALL NIMES MEDITERRANEE",41,24,8,3,13,672,707,-35
10,"LOMME LILLE METROPOLE HB",40,24,7,2,15,645,681,-36
11,"LE POUZIN HB 07",39,24,5,5,14,545,609,-64
12,"ASUL VAULX EN VELIN",38,24,6,2,16,590,696,-106
13,"TOULOUSE FEMININ HANDBALL",35,24,4,3,17,623,698,-75
