"Pos.","Club","Points","Joués","Gagnés","Nuls","Perdus","Buts +","Buts -","Diff."
1,"PARIS SAINT-GERMAIN HANDBALL",55,30,27,1,2,1083,893,190
2,"HBC NANTES",54,30,26,2,2,1045,855,190
3,"MONTPELLIER HANDBALL",48,30,23,2,5,988,860,128
4,"FENIX TOULOUSE HANDBALL",39,30,18,3,9,964,921,43
5,"LIMOGES HAND 87",36,30,16,4,10,986,966,20
6,"CHAMBERY SAVOIE HB",32,30,15,2,13,926,919,7
7,"USAM NIMES GARD",32,30,16,0,14,882,910,-28
8,"PROVENCE AIX UNIVERSITE CLUB HANDBALL",30,30,15,0,15,944,960,-16
9,"SAINT-RAPHAEL VHB",28,30,11,6,13,988,1018,-30
10,"DUNKERQUE HANDBALL GRAND LITTORAL",26,30,12,2,16,911,930,-19
11,"CESSON RENNES METROPOLE HB",23,30,10,3,17,885,909,-24
12,"C'CHARTRES METROPOLE HANDBALL",20,30,9,2,19,890,966,-76
13,"US IVRY HANDBALL",16,30,7,2,21,882,939,-57
14,"US CRETEIL HANDBALL",16,30,5,6,19,893,991,-98
15,"SARAN LOIRET HB",15,30,6,3,21,855,954,-99
16,"DIJON METROPOLE HB",10,30,4,2,24,907,1038,-131
