"Pos.","Club","Points","Joués","Gagnés","Nuls","Perdus","Buts +","Buts -","Diff."
1,"BREST BRETAGNE HANDBALL",21,7,7,0,0,243,162,81
2,"METZ HANDBALL",21,7,7,0,0,228,156,72
3,"JDA BOURGOGNE DIJON HANDBALL",19,7,6,0,1,226,185,41
4,"PARIS 92",15,7,4,0,3,189,185,4
5,"OGC NICE COTE D'AZUR HANDBALL",15,7,4,0,3,180,183,-3
6,"CHAMBRAY TOURAINE HANDBALL",14,7,3,1,3,173,183,-10
7,"HANDBALL PLAN DE CUQUES",13,7,3,0,4,197,208,-11
8,"ES BESANCON FEMININ",13,7,3,0,4,199,217,-18
9,"SAMBRE AVESNOIS HANDBALL",13,7,3,0,4,169,182,-13
10,"STRASBOURG ACHENHEIM TRUCHTERSHEIM",13,7,3,0,4,183,189,-6
11,"STELLA SAINT-MAUR HANDBALL",11,7,1,2,4,174,190,-16
12,"TOULON METROPOLE VAR HANDBALL",10,7,1,1,5,182,225,-43
13,"ST AMAND HANDBALL -  PORTE DU HAINAUT",9,7,1,0,6,169,197,-28
14,"MERIGNAC HANDBALL",9,7,1,0,6,174,224,-50
