0	170717	558486	404328	161041	355501	63386	475992	371173	64727	106351	186572	49501	4993	85231	90627	13103	27805	89687	76042
11386	0	14606	14483	5859	10777	1949	21493	11294	1402	2691	6380	1140	83	2052	4310	261	1323	3670	4584
144744	71223	0	182774	119308	120076	24357	123618	191269	30090	19937	97814	10695	880	85085	37054	4074	9662	35428	32128
464398	224307	799788	0	1031280	1165058	239216	1702360	994788	193905	377359	584004	178919	12394	230203	266173	32132	86420	264362	213477
23031	5519	18596	97984	0	296844	33862	162608	75874	16437	30907	40094	18559	838	29529	39151	2091	6099	18128	23707
115402	23969	80630	437626	838370	0	219994	478916	325078	101336	132930	208652	57525	4337	77089	113206	11333	24942	90870	62288
24559	4358	18528	109987	127016	211904	0	106276	63802	19789	25285	54913	8860	942	30089	28243	2653	5284	23174	14008
108839	40271	124191	398669	623178	438172	78562	0	437570	111953	237183	220390	81958	7210	116134	156583	18246	30762	94506	70949
81510	34313	89990	299506	283626	266928	43530	465375	0	105811	89577	218665	42035	3952	66146	98278	14184	31535	75923	71534
18159	5293	14290	68116	54653	55874	9924	174087	97369	0	102684	53386	40887	1970	42089	47747	5282	10952	18602	16890
25848	7942	18055	124750	125551	101243	18144	170116	109781	59545	0	86542	46599	5310	257319	77026	8661	12074	26461	17427
104268	30520	116463	442485	345797	380792	66904	487161	766949	351113	228189	0	334777	24045	183172	336078	55776	148441	191793	140402
14174	3424	13621	76259	40229	65706	10662	124123	74319	41562	58026	76809	0	9115	26458	78697	9783	15280	21425	14335
3855	908	2696	17095	5673	10640	2131	28324	15016	8076	9333	18527	19240	0	621745	28557	2438	4554	4762	6095
50757	11073	75665	249419	73150	179749	35047	285713	303593	173480	85627	422597	164849	42772	0	353313	82834	277103	132428	54500
38401	10363	39045	204196	77739	150655	28547	256604	147767	108547	90250	217046	123926	27496	86127	0	121968	146304	74675	23299
7543	1076	4709	29690	7807	18217	3241	43416	26310	12653	10906	67220	12968	2041	68843	50149	0	27418	11780	5296
18284	3542	16543	92647	18806	51944	8252	86483	73065	34756	17028	134039	13333	2234	104342	97216	18503	0	91792	8450
50326	8595	37948	197122	43681	128731	22484	145622	123866	48228	27478	227798	19271	2802	55000	123017	15476	158169	0	23858
15754	4195	15315	78467	23435	51842	8497	53942	52029	15111	9275	80340	6072	551	10671	14655	1334	3915	18055	0
